Date,1_PER,1_PBR,2_PER,2_PBR,3_PER,3_PBR,4_PER,4_PBR,5_PER,5_PBR,6_PER,6_PBR,7_PER,7_PBR,8_PER,8_PBR,9_PER,9_PBR
20210104,27.83,1.27,9.68,0.86,,0.93,45.01,0.54,,1.22,53.8,1.77,5.88,0.4,24.95,0.82,37.1,0.9
20210105,28.26,1.29,10.08,0.9,,0.97,47.63,0.57,,1.25,54.83,1.81,5.98,0.41,25.26,0.83,37.39,0.91
20210106,27.98,1.28,10.15,0.9,,0.97,46.87,0.56,,1.27,54.28,1.79,6.04,0.42,25.13,0.83,36.55,0.89
20210107,28.59,1.31,10.27,0.92,,0.98,48.27,0.58,,1.33,56.15,1.85,6.28,0.43,25.34,0.83,37.6,0.91
20210108,29.94,1.37,10.31,0.92,,0.98,48.92,0.58,,1.37,58.26,1.92,6.33,0.43,25.83,0.85,41.52,1.01
20210111,30.01,1.37,10.35,0.92,,0.95,47.31,0.56,,1.36,57.43,1.89,6.28,0.43,25.2,0.83,42.04,1.02
20210112,29.78,1.36,10.42,0.93,,0.95,46.49,0.55,,1.34,57.15,1.89,6.29,0.43,25.29,0.83,41.35,1.0
20210113,29.95,1.37,10.35,0.92,,0.95,46.94,0.56,,1.36,57.92,1.91,6.42,0.44,25.62,0.84,41.78,1.01
20210114,29.92,1.37,10.5,0.94,,0.97,46.74,0.56,,1.36,58.35,1.93,6.39,0.44,25.91,0.85,41.66,1.01
20210115,29.26,1.34,10.26,0.92,,0.94,45.83,0.55,,1.34,56.97,1.88,6.24,0.43,25.69,0.84,40.73,0.99
20210119,29.35,1.34,10.61,0.95,,0.93,46.37,0.55,,1.37,57.43,1.89,6.2,0.43,25.4,0.83,42.95,1.04
20210120,29.54,1.35,10.68,0.95,,0.92,46.52,0.55,,1.4,58.96,1.95,6.15,0.42,25.49,0.84,43.15,1.05
20210121,29.98,1.37,10.65,0.95,,0.93,46.92,0.56,,1.42,60.57,2.0,6.15,0.42,25.6,0.84,44.75,1.09
20210122,29.76,1.36,10.74,0.96,,0.92,46.09,0.55,,1.41,60.25,1.99,6.04,0.42,25.74,0.85,43.89,1.07
20210125,30.52,1.4,10.77,0.96,,0.93,46.82,0.56,,1.45,61.49,2.03,6.07,0.42,26.57,0.87,44.59,1.08
20210126,29.75,1.36,9.82,0.88,,0.92,45.65,0.54,,1.43,60.12,1.98,5.96,0.41,26.04,0.86,43.31,1.05
20210127,29.54,1.35,9.76,0.87,,0.91,45.44,0.54,,1.41,59.66,1.97,5.94,0.41,25.79,0.85,42.95,1.04
20210128,29.03,1.33,9.61,0.86,,0.88,44.1,0.53,,1.4,58.26,1.92,5.82,0.4,25.49,0.84,41.94,1.02
20210129,28.21,1.29,9.18,0.82,,0.84,42.89,0.51,,1.37,56.25,1.86,5.61,0.39,24.79,0.81,40.18,0.98
20210201,28.97,1.33,9.61,0.86,,0.87,44.24,0.53,,1.44,57.33,1.89,5.81,0.4,24.97,0.82,42.02,1.02
20210202,29.36,1.34,9.68,0.86,,0.87,45.09,0.54,,1.46,58.15,1.92,5.84,0.4,25.35,0.83,42.15,1.02
20210203,29.65,1.36,10.0,0.89,,0.88,45.04,0.54,,1.48,58.76,1.94,5.85,0.4,25.42,0.84,43.77,1.06
20210204,29.17,1.34,9.75,0.87,,0.87,44.94,0.54,,1.46,57.36,1.89,5.77,0.4,25.42,0.83,43.81,1.06
20210205,29.52,1.35,9.76,0.87,,0.88,45.1,0.54,,1.48,58.28,1.92,5.94,0.41,25.52,0.84,44.18,1.07
20210208,29.21,1.34,9.79,0.87,,0.9,45.39,0.54,,1.45,57.73,1.9,6.05,0.42,25.85,0.85,41.63,1.01
20210209,29.14,1.33,9.8,0.87,,0.9,45.37,0.54,,1.44,58.0,1.91,6.03,0.41,25.82,0.85,41.69,1.01
20210210,29.26,1.34,9.96,0.89,,0.91,45.59,0.54,,1.46,58.61,1.93,6.06,0.42,25.93,0.85,42.36,1.03
20210211,,,,,,,,,,,,,,,,,,
20210212,,,,,,,,,,,,,,,,,,
20210216,29.94,1.37,10.04,0.9,,0.92,46.28,0.55,,1.47,60.54,2.0,6.08,0.42,26.0,0.85,42.4,1.03
20210217,29.58,1.36,10.04,0.9,,0.91,46.85,0.56,,1.46,60.05,1.98,6.12,0.42,25.95,0.85,41.69,1.01
20210218,29.11,1.33,9.98,0.89,,0.89,45.74,0.55,,1.43,58.67,1.94,5.99,0.41,25.9,0.85,40.88,0.99
20210219,29.36,1.34,10.25,0.91,,0.9,45.63,0.54,,1.43,59.13,1.95,6.04,0.42,25.95,0.85,41.29,1.0
