Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2013-06-04,-1726017799.0,-1303.08,11151.79,63.12,27.57,22.09,81.72,33.02
2013-06-05,-1726034209.0,-15080.0,65044.68,60.14,23.16,20.41,76.47,33.0
2013-06-07,-1726049289.0,-20801.02,6325.94,57.21,19.77,18.76,62.57,30.33
2013-06-10,-1726027809.0,6676.4,6015.04,63.18,19.27,17.89,62.3,29.79
2013-06-11,-1726044769.0,2192.76,6493.66,60.13,16.5,17.4,61.25,30.6
2013-06-12,-1726059589.0,-7142.37,22270.09,57.26,13.5,17.06,61.95,31.44
2013-06-13,-1726070489.0,-17080.0,13296.38,55.06,10.62,16.96,61.69,30.97
2013-06-14,-1726053409.0,-1177.36,16184.54,59.44,9.35,17.21,61.33,31.2
2013-06-17,-1726065889.0,-10222.7,-5046.35,57.13,7.07,17.97,61.58,31.34
2013-06-18,-1726051729.0,12830.0,-25947.38,60.74,5.97,19.09,70.98,31.33
2013-06-19,-1726064559.0,-5698.19,47505.14,58.52,1.63,20.3,65.12,31.3
2013-06-20,-1726075739.0,-8433.3,44801.88,56.52,-2.94,20.82,62.69,30.19
2013-06-21,-1726090639.0,17219.82,-777.24,53.83,-5.39,22.3,49.34,30.21
2013-06-24,-1726108709.0,-11930.0,50504.57,50.45,-7.08,22.38,44.44,30.6
2013-06-25,-1726120639.0,-7654.86,-553.51,48.13,-6.69,22.47,38.82,29.45
2013-06-26,-1726102939.0,2810.6,-53421.87,51.38,-4.04,21.65,42.25,28.51
2013-06-27,-1726089219.0,2183.91,-17601.15,54.02,-1.75,21.12,47.25,27.07
2013-06-28,-1726074839.0,11548.24,-7212.13,56.94,-2.35,22.02,53.86,26.83
2013-07-01,-1726087979.0,1001.53,8774.15,54.85,-5.06,23.66,57.68,27.63
2013-07-02,-1726099029.0,-27897.88,12728.7,53.06,-8.39,25.19,55.07,27.82
2013-07-03,-1726128539.0,-16470.13,38978.64,47.97,-10.88,27.05,43.65,26.56
2013-07-04,-1726107959.0,25425.98,-1929.2,51.53,-11.54,28.79,42.61,25.5
2013-07-05,-1726133459.0,-14128.73,41608.33,47.05,-12.86,28.81,36.35,25.87
2013-07-08,-1726155139.0,-5307.5,-9992.16,42.89,-12.3,28.82,30.22,24.21
2013-07-09,-1726136799.0,14469.86,961.85,45.66,-9.76,26.74,41.33,23.5
2013-07-10,-1726153579.0,-11436.32,-35737.16,42.49,-8.14,24.91,34.26,23.98
2013-07-11,-1726135959.0,26600.0,-17345.58,45.04,-4.3,22.94,52.76,21.56
2013-07-12,-1726109359.0,18817.85,825.08,49.31,-4.53,21.44,50.28,20.42
2013-07-15,-1726086599.0,17502.85,-9104.06,53.35,-4.8,20.88,51.24,20.67
2013-07-16,-1726105459.0,-1615.0,-606.32,50.21,-5.59,20.27,48.46,20.29
2013-07-17,-1726091399.0,18743.49,-5412.38,52.67,-5.91,20.33,51.86,20.66
2013-07-18,-1726121799.0,-18731.05,5380.69,47.49,-7.28,20.39,57.97,20.04
2013-07-19,-1726148069.0,-23600.83,5221.05,42.42,-8.19,21.28,51.19,19.43
2013-07-22,-1726175019.0,-21829.64,-3648.57,36.66,-7.38,21.71,46.54,19.03
2013-07-23,-1726145539.0,19906.82,-16356.77,40.79,-5.87,21.53,57.83,18.57
2013-07-24,-1726124059.0,13915.21,-5951.45,44.18,-6.15,21.57,47.21,17.54
2013-07-25,-1726141829.0,-12959.55,2411.37,40.33,-7.58,22.88,42.58,17.95
2013-07-26,-1726123159.0,443.61,6410.99,43.25,-9.28,24.33,48.88,18.43
2013-07-29,-1726147469.0,-22934.07,2130.82,37.8,-11.36,26.2,39.13,17.9
2013-07-30,-1726113129.0,18000.87,-460.0,43.18,-11.8,27.35,49.06,17.98
2013-07-31,-1726141069.0,-15210.0,387.18,36.35,-12.67,27.93,51.36,18.58
2013-08-01,-1726125859.0,13150.6,-3839.16,38.7,-12.99,28.7,57.16,19.41
2013-08-02,-1726100449.0,-9375.59,2154.73,43.01,-13.83,29.52,50.04,20.0
2013-08-05,-1726081419.0,7441.19,-1053.46,46.65,-14.98,30.9,46.04,20.7
2013-08-06,-1726066159.0,7583.91,6872.91,49.78,-16.29,31.95,48.72,21.68
2013-08-07,-1726086259.0,-18610.0,3873.16,45.28,-18.01,33.09,41.71,21.34
2013-08-08,-1726104869.0,-18314.41,507.81,40.78,-17.64,33.63,38.55,21.6
