Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2013-06-04,-555549548.0,-973.33,17616.58,57.58,10.22,31.05,93.54,10.03
2013-06-05,-555553198.0,-2431.28,638.53,54.36,9.25,29.69,89.65,9.72
2013-06-07,-555556298.0,-3796.17,1969.17,51.49,8.65,28.87,81.21,9.88
2013-06-10,-555552318.0,-1236.83,4135.78,55.65,7.95,27.98,75.7,9.97
2013-06-11,-555554678.0,-1277.02,7317.06,53.58,6.72,27.32,73.63,10.29
2013-06-12,-555558958.0,-2361.62,8974.82,49.67,5.36,26.62,69.12,10.33
2013-06-13,-555561698.0,-3934.63,-627.66,47.03,3.97,26.35,72.16,10.35
2013-06-14,-555556318.0,-748.25,4239.95,51.91,2.78,26.53,73.92,10.68
2013-06-17,-555559318.0,-2062.91,5038.99,49.18,1.0,26.49,72.25,10.97
2013-06-18,-555555758.0,1447.45,8421.14,52.44,-0.87,26.64,73.84,11.35
2013-06-19,-555558828.0,-2543.11,45426.55,49.78,-3.25,27.1,68.63,11.37
2013-06-20,-555563468.0,-4830.15,23004.31,45.59,-5.25,27.7,60.22,10.14
2013-06-21,-555571208.0,4733.77,-2514.3,37.89,-5.95,29.66,43.81,9.69
2013-06-24,-555577838.0,-1716.37,3842.44,30.24,-6.31,29.37,40.55,9.68
2013-06-25,-555581828.0,-2152.62,2227.1,25.08,-6.39,29.47,35.68,9.81
2013-06-26,-555576648.0,677.37,-10922.34,27.51,-5.97,29.58,40.77,9.63
2013-06-27,-555572358.0,2225.0,-4306.65,29.73,-5.56,29.12,44.17,9.54
2013-06-28,-555567908.0,3862.49,-5528.65,32.28,-5.61,29.46,52.02,9.5
2013-07-01,-555562988.0,409.52,-840.0,35.44,-6.33,30.2,55.44,9.63
2013-07-02,-555559978.0,2683.81,9215.04,37.55,-7.26,31.56,44.54,9.9
2013-07-03,-555563328.0,-3929.41,30380.02,33.45,-8.63,33.04,26.14,9.53
2013-07-04,-555559068.0,2040.98,-10061.26,36.2,-8.83,34.53,23.54,9.14
2013-07-05,-555555538.0,-1331.41,11054.05,38.61,-8.99,33.94,26.59,9.2
2013-07-08,-555558178.0,-1424.44,5041.89,35.61,-9.08,33.78,20.96,9.17
2013-07-09,-555555288.0,1248.98,-2057.84,37.45,-8.63,32.75,30.77,9.29
2013-07-10,-555557698.0,-2110.57,-15327.39,34.85,-8.07,30.91,26.61,9.58
2013-07-11,-555555248.0,4530.0,-15252.62,36.27,-6.93,28.98,33.62,9.15
2013-07-12,-555550718.0,746.3,2832.92,39.08,-6.89,27.16,30.84,8.9
2013-07-15,-555547468.0,2321.67,-5354.45,41.23,-6.84,25.95,31.12,9.17
2013-07-16,-555550448.0,-1692.57,8242.1,38.35,-6.77,24.61,27.44,9.22
2013-07-17,-555547828.0,2332.39,-1401.86,39.95,-6.22,23.41,28.12,9.4
