Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2013-06-04,235608574.0,-1519.86,31226.52,60.63,5.2,18.42,76.41,43.08
2013-06-05,235595904.0,-9338.22,114624.41,56.5,-1.3,17.61,68.16,42.75
2013-06-07,235585334.0,-3850.45,37608.45,52.71,-5.84,17.02,50.48,41.7
2013-06-10,235574764.0,-4049.42,22166.35,48.61,-9.45,17.38,42.29,42.23
2013-06-11,235565864.0,-4136.25,22632.73,44.9,-12.53,18.24,43.55,43.28
2013-06-12,235555774.0,-6478.97,81698.33,40.38,-15.68,19.43,47.7,43.93
2013-06-13,235548264.0,-12280.0,36853.68,36.82,-17.84,20.9,46.66,43.09
2013-06-14,235560544.0,-4337.64,523.86,40.44,-17.58,21.94,45.35,43.41
2013-06-17,235569024.0,-4172.74,-40627.66,43.15,-17.05,22.43,44.54,44.55
2013-06-18,235576344.0,8636.49,-109690.35,45.6,-16.28,22.79,52.19,44.29
2013-06-19,235586424.0,2623.01,19599.11,49.22,-19.5,23.18,49.93,43.6
2013-06-20,235578584.0,-7175.09,162118.86,46.11,-23.38,24.65,47.16,44.61
2013-06-21,235567624.0,-7981.38,31046.64,41.49,-25.46,26.24,34.96,42.55
2013-06-24,235555344.0,-7176.26,-28639.54,35.9,-23.76,25.92,40.71,42.84
2013-06-25,235564024.0,-1466.71,-55998.1,38.28,-18.97,24.77,41.83,44.34
2013-06-26,235577684.0,-1742.48,-97490.49,42.4,-14.37,23.53,45.2,43.69
2013-06-27,235588624.0,8628.49,-159817.09,46.13,-9.87,22.8,50.21,41.19
2013-06-28,235600144.0,13765.88,1083.06,50.6,-10.78,22.97,57.03,38.37
2013-07-01,235586264.0,1070.48,66889.43,44.45,-15.72,24.54,53.62,39.07
2013-07-02,235577464.0,-9520.87,146299.53,40.06,-20.47,26.24,44.42,37.7
2013-07-03,235565604.0,-7665.03,-17811.55,33.58,-21.95,28.2,38.57,35.16
2013-07-04,235574854.0,-3861.87,-42493.68,36.39,-21.47,28.13,39.02,35.67
2013-07-05,235581184.0,-4610.31,70905.21,38.44,-21.61,28.32,40.6,36.61
2013-07-08,235574274.0,-1877.61,-31375.47,34.69,-22.31,28.79,34.46,36.6
2013-07-09,235581114.0,2388.86,-14097.22,36.74,-21.8,28.65,35.45,36.35
2013-07-10,235574184.0,-3522.56,-78276.86,33.01,-22.42,28.88,25.99,37.07
2013-07-11,235583364.0,8880.0,83101.58,35.59,-22.17,29.17,36.21,36.02
2013-07-12,235574484.0,-6205.85,53985.7,30.65,-25.73,30.41,19.72,34.63
2013-07-15,235586164.0,7786.43,-4698.74,33.75,-24.39,30.59,26.13,33.97
2013-07-16,235577134.0,510.79,-45976.26,28.58,-23.11,29.23,25.92,34.62
2013-07-17,235585264.0,4533.46,-55297.03,30.57,-20.26,27.89,30.29,34.0
2013-07-18,235594164.0,4813.22,-41618.49,32.93,-19.64,26.51,48.02,32.51
2013-07-19,235601454.0,-4243.3,-7419.84,34.99,-18.72,25.77,48.43,33.42
2013-07-22,235610184.0,-4462.5,9613.33,37.63,-17.89,25.49,53.42,34.33
2013-07-23,235618284.0,-8.75,-2964.64,40.25,-16.8,25.29,52.12,35.31
2013-07-24,235626334.0,4524.86,-10917.11,43.01,-15.4,25.04,47.93,35.91
2013-07-25,235632844.0,2718.65,-34790.07,45.35,-14.22,24.91,44.5,37.08
2013-07-26,235641744.0,5105.97,-53778.48,48.72,-12.51,24.81,45.27,37.5
2013-07-29,235651054.0,-2594.33,-84227.19,52.53,-11.71,25.08,47.71,38.16
2013-07-30,235659904.0,8624.24,-54751.79,56.47,-11.52,26.03,66.62,36.41
2013-07-31,235649834.0,-7916.74,32164.24,52.65,-16.39,27.81,65.84,35.82
2013-08-01,235640354.0,-2982.38,-2420.88,48.71,-20.81,29.11,66.16,36.3
2013-08-02,235632424.0,-8631.41,72081.27,45.19,-25.16,31.0,59.3,36.82
2013-08-05,235622584.0,-6340.0,11536.17,40.5,-29.11,33.04,49.67,36.11
2013-08-06,235628924.0,1852.56,112869.58,42.67,-32.88,34.61,51.2,37.62
2013-08-07,235622144.0,-7460.0,12884.5,39.44,-37.96,36.28,36.37,35.98
2013-08-08,235629604.0,-7480.0,33129.38,41.8,-38.81,36.62,34.67,36.34
2013-08-09,235622124.0,-6643.15,-207.19,38.37,-39.78,36.32,23.74,36.46
2013-08-12,235630134.0,-2756.9,-37501.95,40.74,-38.56,35.4,26.87,37.13
2013-08-13,235637924.0,6987.71,-46562.1,43.14,-37.22,34.46,30.96,37.35
2013-08-14,235646113.0,5540.85,-45860.65,45.81,-37.73,33.74,33.51,37.14
2013-08-16,235654293.0,4902.0,-10781.89,48.61,-39.71,33.2,32.61,36.83
2013-08-19,235645633.0,4972.28,27023.86,45.3,-42.78,32.75,28.15,36.21
