Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2013-06-04,-695661864.0,-2609.87,23440.04,63.76,12.1,35.64,98.26,20.52
2013-06-05,-695667394.0,-5750.0,14856.94,61.26,9.48,35.32,96.42,20.22
2013-06-07,-695673144.0,-6173.88,14276.27,58.53,7.12,35.29,81.2,20.14
2013-06-10,-695666234.0,-1904.07,16340.0,63.5,4.5,35.45,71.35,20.35
2013-06-11,-695671474.0,-1114.42,21290.76,61.19,1.0,36.08,68.07,20.54
2013-06-12,-695678274.0,331.47,8581.27,58.02,-2.16,36.96,67.3,20.33
2013-06-13,-695683144.0,-7010.0,4999.07,55.62,-5.74,38.59,67.38,20.68
2013-06-14,-695676134.0,-2305.82,9196.66,60.18,-8.99,40.48,61.43,21.28
2013-06-17,-695681464.0,-3562.73,46381.31,57.74,-13.16,42.72,58.85,21.77
2013-06-18,-695687364.0,3854.7,13257.71,54.91,-17.53,45.2,58.54,21.98
2013-06-19,-695693784.0,-1733.83,99226.88,51.68,-22.28,48.65,52.35,22.21
2013-06-20,-695700194.0,-3404.52,67456.76,48.28,-26.68,52.24,42.95,20.48
2013-06-21,-695709814.0,9824.13,-1739.93,42.85,-28.73,54.26,25.62,19.6
2013-06-24,-695719834.0,-3939.96,-4119.74,36.57,-29.24,53.45,20.16,19.84
2013-06-25,-695726294.0,-4837.11,11597.03,32.11,-28.45,52.68,17.75,20.59
2013-06-26,-695717034.0,-603.46,-65273.36,35.43,-26.88,51.85,18.18,20.1
2013-06-27,-695710464.0,725.44,-45419.8,38.01,-24.7,50.21,20.69,19.2
2013-06-28,-695704354.0,4191.04,-7116.42,40.62,-23.82,48.92,28.41,18.43
2013-07-01,-695697154.0,669.79,-3975.0,43.99,-24.42,48.05,27.19,18.87
2013-07-02,-695701314.0,-194.03,9272.8,41.37,-24.99,47.19,23.28,19.1
2013-07-03,-695705814.0,-5156.7,-8061.55,38.48,-25.31,46.36,14.85,19.12
2013-07-04,-695700064.0,3026.28,-35123.26,40.85,-24.07,45.47,16.29,19.0
2013-07-05,-695695194.0,-4902.17,25856.24,42.95,-23.73,44.68,16.26,19.47
