Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2013-06-04,-420631100.0,-2141.05,10070.39,57.65,6.45,25.21,83.69,13.19
2013-06-05,-420639400.0,-13385.08,3783.48,54.91,4.67,23.47,78.66,12.69
2013-06-07,-420656690.0,-11254.22,3929.97,48.57,3.75,21.96,69.4,12.28
2013-06-10,-420645180.0,5290.0,-1068.88,53.16,2.98,20.7,66.47,12.25
2013-06-11,-420650470.0,-2984.84,3024.89,51.2,1.31,19.81,65.62,12.62
2013-06-12,-420661030.0,-4141.54,21274.11,47.08,-0.41,18.84,59.98,12.72
2013-06-13,-420667580.0,-15630.0,5302.13,44.4,-2.04,18.02,57.56,11.72
2013-06-14,-420651950.0,7665.85,-3303.43,49.88,-2.34,18.09,58.75,11.54
2013-06-17,-420641450.0,2680.95,-1198.49,54.03,-3.02,19.21,59.78,11.66
2013-06-18,-420633280.0,2975.57,2362.22,57.51,-4.33,19.77,57.69,11.97
2013-06-19,-420640470.0,4180.24,7166.43,55.15,-6.07,20.1,53.73,12.41
2013-06-20,-420647030.0,-1541.49,11991.11,52.93,-8.06,20.61,49.25,12.55
2013-06-21,-420659400.0,-4928.44,3686.32,48.53,-9.55,21.49,32.49,12.03
2013-06-24,-420674630.0,-6095.67,2253.08,42.48,-10.11,22.24,26.21,11.95
2013-06-25,-420683410.0,-6216.0,1195.04,38.66,-9.89,21.87,24.97,12.09
2013-06-26,-420671060.0,-1472.43,-5854.54,42.31,-8.98,21.47,27.1,11.87
2013-06-27,-420657360.0,-2138.95,-3514.94,46.86,-7.93,20.36,28.64,11.77
2013-06-28,-420642650.0,8406.08,-937.64,52.58,-7.42,20.02,42.37,11.63
2013-07-01,-420657880.0,-445.97,-2835.4,46.19,-7.7,20.17,41.1,11.68
2013-07-02,-420649030.0,3020.04,835.01,49.81,-7.74,20.59,43.91,11.87
2013-07-03,-420657290.0,-10850.0,15950.58,46.13,-8.19,21.26,23.55,11.58
2013-07-04,-420646440.0,2897.58,-5474.59,50.63,-7.39,21.98,24.11,11.0
2013-07-05,-420638690.0,-4341.39,-3829.42,54.1,-6.44,20.24,29.03,11.3
2013-07-08,-420631450.0,-2230.29,-1417.44,57.56,-5.46,18.75,32.17,11.31
2013-07-09,-420623220.0,4415.89,-463.16,61.74,-4.57,17.33,35.79,11.3
2013-07-10,-420629000.0,1553.67,-13184.9,59.83,-3.88,16.11,31.62,11.66
2013-07-11,-420621780.0,12114.65,-2426.39,63.51,-2.82,14.79,41.89,10.88
2013-07-12,-420638250.0,8570.0,2596.06,57.92,-3.14,14.12,35.71,10.52
2013-07-15,-420646820.0,3333.79,-3410.67,54.54,-3.47,14.23,30.61,10.9
2013-07-16,-420653030.0,462.41,-2343.37,51.97,-3.49,14.25,32.67,10.79
2013-07-17,-420646270.0,5087.2,8264.92,55.13,-3.32,14.84,41.63,10.97
2013-07-18,-420659690.0,1243.17,3076.7,49.43,-3.58,15.48,37.56,10.68
2013-07-19,-420668450.0,3466.64,-13345.01,45.27,-2.87,14.63,34.88,10.8
2013-07-22,-420661780.0,-5609.32,-10680.51,48.05,-1.89,13.47,36.83,10.7
2013-07-23,-420655500.0,11744.74,-3110.57,50.81,-0.65,13.16,56.68,10.17
2013-07-24,-420640150.0,4059.55,2393.02,58.56,-0.8,13.49,47.38,9.88
2013-07-25,-420646830.0,1893.08,290.53,55.83,-0.99,14.17,46.4,10.17
2013-07-26,-420652850.0,185.64,726.67,53.26,-0.86,15.25,50.09,10.46
2013-07-29,-420657960.0,-129.09,-4996.53,51.02,-0.56,16.29,52.2,10.86
2013-07-30,-420651910.0,1333.83,-2969.3,53.86,-0.09,17.41,60.38,11.02
2013-07-31,-420646530.0,-290.0,-3235.52,56.47,-0.03,18.41,65.77,11.21
2013-08-01,-420635800.0,4080.49,-16411.71,62.05,-0.03,19.22,78.78,11.16
2013-08-02,-420628100.0,-6905.76,7712.69,66.47,-0.84,19.88,80.14,10.98
2013-08-05,-420639370.0,-850.77,8330.7,62.84,-2.04,19.21,78.43,10.77
2013-08-06,-420644110.0,1586.0,2927.36,61.21,-3.23,19.55,77.22,10.94
2013-08-07,-420652040.0,-6180.0,-220.47,58.41,-4.17,20.45,77.83,10.94
2013-08-08,-420645860.0,379.82,2071.76,61.62,-4.72,21.96,64.8,11.36
2013-08-09,-420652840.0,167.45,3053.06,59.27,-5.67,23.6,54.69,11.37
2013-08-12,-420660630.0,-2261.55,-3019.34,56.52,-6.66,25.22,53.08,11.35
2013-08-13,-420654700.0,6570.0,-2352.13,59.34,-7.43,26.52,49.86,11.34
2013-08-14,-420661270.0,2885.77,2721.27,57.12,-9.19,28.1,48.79,11.44
2013-08-16,-420670080.0,167.52,3209.14,54.0,-11.04,30.2,43.81,11.79
2013-08-19,-420677430.0,228.81,1354.86,51.27,-12.74,32.05,42.99,12.16
2013-08-20,-420682990.0,-4086.62,5657.73,49.15,-14.38,33.5,35.28,12.62
2013-08-21,-420691280.0,-6468.68,15660.04,45.92,-15.88,35.06,26.69,12.53
2013-08-22,-420701170.0,-1748.11,1392.13,41.86,-16.81,36.32,16.44,11.99
2013-08-23,-420690340.0,2325.74,-495.11,45.26,-16.81,35.83,16.91,12.11
2013-08-26,-420681730.0,2775.6,319.44,48.14,-16.62,34.95,23.44,12.34
