Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2013-06-04,-42532730.0,12563.01,472.84,61.5,-0.16,23.77,81.91,9.32
2013-06-05,-42550360.0,-27980.0,118.16,58.76,-1.21,23.79,76.73,9.23
2013-06-07,-42522380.0,-8167.6,-287.73,65.59,-1.56,23.81,69.79,9.05
2013-06-10,-42507550.0,690.0,2358.48,69.58,-2.38,24.23,63.68,9.28
2013-06-11,-42522040.0,7885.66,1131.22,67.79,-3.66,24.68,64.59,9.08
2013-06-12,-42542230.0,-9568.51,2002.6,65.17,-5.04,25.94,56.11,9.09
2013-06-13,-42559580.0,1080.9,-170.0,62.77,-6.01,27.74,60.85,9.16
2013-06-14,-42580920.0,-13082.9,496.53,59.62,-6.92,29.28,58.53,9.33
2013-06-17,-42609130.0,-1657.21,1140.89,54.95,-7.86,31.02,53.87,9.52
2013-06-18,-42626150.0,7818.06,-965.97,51.84,-8.87,32.63,46.31,9.67
2013-06-19,-42598610.0,11897.48,781.58,57.81,-9.9,33.91,47.27,9.76
2013-06-20,-42632650.0,-1329.41,2844.53,51.32,-11.47,35.81,45.53,9.93
2013-06-21,-42652240.0,15638.12,1284.41,47.01,-12.73,37.3,38.36,10.09
2013-06-24,-42673460.0,-8958.74,3504.53,41.91,-13.81,37.81,31.75,10.08
2013-06-25,-42684180.0,-3713.53,1418.27,39.19,-14.07,37.49,23.79,10.02
2013-06-26,-42670390.0,2640.22,-5889.06,41.48,-13.69,36.58,24.93,9.81
2013-06-27,-42653040.0,1110.0,-3499.05,44.51,-13.11,35.08,25.54,9.41
2013-06-28,-42643050.0,6990.1,434.01,46.36,-13.07,34.34,34.15,9.29
2013-07-01,-42653340.0,-3637.89,-698.89,44.1,-13.62,34.15,28.29,9.55
2013-07-02,-42643930.0,9681.86,737.37,45.73,-13.78,33.54,25.35,9.92
2013-07-03,-42664360.0,-8938.23,3007.57,41.34,-14.13,32.99,19.97,9.88
2013-07-04,-42652320.0,-1526.53,-4700.87,43.23,-13.45,32.41,19.43,9.64
2013-07-05,-42639610.0,-13118.51,-3944.64,45.25,-12.56,30.58,20.85,9.74
2013-07-08,-42625560.0,-6960.99,-43.27,47.57,-11.73,29.2,23.76,9.72
2013-07-09,-42601460.0,2899.05,480.55,51.88,-11.49,28.38,26.73,9.8
2013-07-10,-42614560.0,-3736.53,-3110.37,49.57,-11.26,27.51,20.81,9.9
2013-07-11,-42606560.0,12130.0,-864.59,50.95,-10.48,26.21,23.44,9.89
2013-07-12,-42618690.0,-884.02,-693.65,48.92,-10.16,25.18,19.9,10.19
2013-07-15,-42606440.0,6169.09,-13626.72,50.9,-9.47,24.25,24.88,10.19
2013-07-16,-42613980.0,-5176.34,-2256.95,49.73,-9.2,23.25,29.16,9.87
2013-07-17,-42606320.0,5414.36,1127.67,50.88,-8.66,23.39,36.35,10.01
2013-07-18,-42622180.0,-5241.05,-947.02,48.56,-8.55,23.55,35.88,9.83
2013-07-19,-42614350.0,4744.16,-9738.98,49.63,-7.75,22.67,32.54,10.11
2013-07-22,-42606620.0,5434.08,-3724.2,50.66,-7.16,21.77,42.59,9.56
2013-07-23,-42616810.0,-9938.12,20.5,49.34,-7.49,21.77,33.78,9.4
