Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2013-06-18,135346740.0,4244.43,7016.02,56.71,-5.3,25.86,55.38,18.5
2013-06-19,135338960.0,-1764.96,18892.06,53.89,-8.88,26.07,52.4,19.0
2013-06-20,135331560.0,-2622.35,28479.2,51.08,-12.32,26.56,50.38,18.95
2013-06-21,135323510.0,-95.79,17926.81,47.93,-15.25,27.82,39.1,18.33
2013-06-24,135310770.0,-9750.0,20685.9,42.6,-16.73,29.35,30.0,17.55
2013-06-25,135301020.0,-6438.93,1597.42,38.19,-16.29,29.43,23.04,16.71
2013-06-26,135314310.0,1462.7,-13035.73,42.23,-13.88,28.31,28.31,16.09
2013-06-27,135323330.0,3548.26,-23164.67,45.25,-11.18,25.83,29.87,15.7
2013-06-28,135331850.0,6229.09,-7600.17,48.33,-9.25,23.67,34.51,14.74
2013-07-01,135320550.0,-5544.41,-2663.22,43.5,-8.62,21.94,31.58,14.21
2013-07-02,135328250.0,4388.45,-3523.68,46.24,-7.23,20.83,34.0,14.5
2013-07-03,135320840.0,-6170.35,-9203.54,43.02,-6.3,19.64,27.58,14.59
2013-07-04,135330870.0,6439.38,-22083.73,46.52,-4.44,18.55,34.14,14.24
2013-07-05,135341920.0,14400.0,1516.31,50.79,-3.73,17.71,40.75,13.09
2013-07-08,135327520.0,-4404.93,11308.68,44.53,-4.23,18.25,29.6,13.06
2013-07-09,135336100.0,3823.95,3776.35,47.88,-3.49,18.83,27.21,12.65
2013-07-10,135326800.0,440.12,-16093.08,43.63,-2.64,18.08,20.54,12.86
2013-07-11,135332820.0,6955.23,-9490.13,45.87,-0.97,16.52,24.46,12.17
2013-07-12,135340520.0,6821.39,275.13,48.9,-0.62,15.69,25.82,11.96
2013-07-15,135332710.0,965.78,7037.63,45.49,-0.43,15.83,26.06,12.39
2013-07-16,135323520.0,-1957.3,-207.22,41.22,0.07,15.97,13.11,12.34
2013-07-17,135330330.0,9961.45,-10971.9,43.56,1.49,15.18,32.22,12.26
2013-07-18,135342660.0,2655.91,-1836.75,48.15,2.34,14.33,48.2,11.78
2013-07-19,135354030.0,1233.31,-13902.89,52.97,3.18,14.31,43.71,11.38
2013-07-22,135360960.0,-7288.88,74.29,56.15,4.18,14.78,50.01,11.35
2013-07-23,135368720.0,5403.22,-1287.23,59.91,5.23,15.3,61.19,11.34
2013-07-24,135361420.0,1171.57,170.88,57.41,5.62,16.08,60.68,11.56
2013-07-25,135369930.0,2048.62,1978.92,61.57,6.2,16.61,58.29,11.94
2013-07-26,135362310.0,4200.52,-3693.42,59.11,6.81,17.18,57.87,12.32
2013-07-29,135368070.0,5258.4,-5399.84,61.89,7.64,18.22,67.45,12.44
2013-07-30,135376690.0,5303.85,-2517.51,66.23,7.9,19.26,75.81,12.41
2013-07-31,135386540.0,8550.0,-5008.46,71.59,7.95,19.42,88.41,12.42
2013-08-01,135377990.0,2127.57,-344.83,69.6,7.16,19.31,90.17,12.57
2013-08-02,135369470.0,-2689.03,781.62,67.48,6.05,18.4,89.92,12.86
2013-08-05,135361880.0,-2667.72,7603.62,65.5,4.82,17.43,84.65,13.04
2013-08-06,135355570.0,-2138.97,9239.38,63.8,3.18,16.59,80.71,13.09
2013-08-07,135348780.0,-6370.0,4201.77,61.93,1.84,16.14,74.1,12.7
2013-08-08,135355150.0,770.14,6255.21,64.82,1.23,16.02,70.97,12.59
2013-08-09,135346110.0,1535.19,550.26,62.52,-0.13,16.28,61.64,12.8
2013-08-12,135337820.0,-3209.81,3544.7,60.32,-1.32,17.21,56.47,13.14
2013-08-13,135332010.0,-3662.99,564.39,58.74,-2.43,18.23,51.51,13.43
2013-08-14,135339290.0,3615.21,3744.68,61.58,-3.71,19.48,57.33,14.1
2013-08-16,135332640.0,3222.16,-5299.16,59.94,-5.56,20.82,50.79,14.57
2013-08-19,135326410.0,1652.98,1584.41,58.4,-7.75,22.26,52.43,14.37
2013-08-20,135302350.0,-15424.25,9232.22,51.74,-10.19,23.4,41.81,14.27
2013-08-21,135285070.0,-14995.87,17401.6,46.03,-11.82,24.92,32.99,13.41
2013-08-22,135266280.0,1241.35,1333.22,38.82,-12.37,26.15,19.18,12.33
2013-08-23,135251210.0,4237.84,-4630.24,32.2,-11.61,24.63,15.97,12.35
2013-08-26,135263320.0,911.41,-4037.71,35.02,-10.42,22.47,20.68,12.44
2013-08-27,135270830.0,-1782.39,2782.11,36.9,-9.26,20.5,27.02,12.76
2013-08-28,135281040.0,8095.04,-14676.02,39.58,-7.88,18.54,32.42,12.93
2013-08-29,135291950.0,2667.49,-8319.47,42.66,-6.32,16.23,32.58,12.36
2013-08-30,135302270.0,8865.54,-4716.55,45.83,-5.12,14.47,36.38,12.06
2013-09-02,135312420.0,1766.68,-4036.72,49.19,-4.33,13.31,37.31,12.15
2013-09-03,135325600.0,5216.9,1915.3,53.99,-3.66,12.56,39.93,12.16
2013-09-04,135313950.0,-10026.65,-970.38,49.95,-3.43,12.45,32.75,12.33
2013-09-05,135325420.0,8650.0,-2429.38,54.28,-2.29,11.89,36.63,12.43
2013-09-06,135316770.0,-3277.77,-4213.39,51.32,-1.86,11.28,30.74,12.49
2013-09-09,135324950.0,3050.1,4132.34,54.42,-0.71,10.95,38.4,12.69
2013-09-10,135317540.0,9838.4,-8072.12,51.96,0.01,11.01,35.54,13.04
2013-09-11,135327420.0,8620.08,-7241.31,55.66,1.0,10.69,44.93,12.76
2013-09-12,135336780.0,11350.45,-7231.31,59.41,1.52,11.32,63.37,12.2
2013-09-13,135323650.0,-6752.31,2517.89,55.46,0.87,11.89,65.49,11.83
2013-09-16,135311870.0,-5058.79,29143.27,51.52,0.43,11.15,54.36,11.73
2013-09-17,135300490.0,4212.85,-4031.28,47.36,0.58,10.35,50.86,10.71
2013-09-23,135310610.0,12770.0,-3814.92,50.93,1.36,10.06,55.42,10.43
2013-09-24,135297840.0,-555.6,1125.63,46.15,1.49,10.26,55.43,10.39
2013-09-25,135307390.0,8610.02,-987.9,49.51,1.77,10.78,69.81,10.49
2013-09-26,135316850.0,3817.92,-3670.95,53.06,1.92,11.44,61.14,10.78
2013-09-27,135324450.0,1058.11,-686.5,56.06,1.98,12.19,54.09,10.96
2013-09-30,135331460.0,3184.04,-3845.98,58.93,1.87,12.39,51.59,11.41
2013-10-01,135322850.0,-3140.08,387.44,56.38,1.45,12.61,49.46,11.53
2013-10-02,135312920.0,-11960.0,2223.08,53.27,0.88,12.3,43.92,11.67
2013-10-04,135324880.0,5606.68,-671.95,57.88,0.45,12.09,48.07,11.93
2013-10-07,135314050.0,-7086.55,6418.45,54.58,-0.44,12.19,45.9,12.15
2013-10-08,135302110.0,-1546.36,5814.29,50.62,-1.13,12.21,40.79,12.03
2013-10-10,135293080.0,-3850.27,-3577.93,47.43,-1.35,13.08,36.95,11.98
2013-10-11,135302080.0,-422.13,2166.61,50.43,-0.88,13.37,40.34,12.04
2013-10-14,135291030.0,669.84,-4289.37,46.57,-0.79,14.19,38.91,12.29
2013-10-15,135302600.0,-3815.17,1801.96,50.37,-0.43,14.61,47.01,12.59
2013-10-16,135293380.0,-3927.77,5885.03,47.16,-0.4,15.73,52.98,12.8
2013-10-17,135282450.0,-21640.0,4480.0,43.1,-0.24,16.64,41.41,12.05
2013-10-18,135305390.0,7077.62,-6374.18,50.59,1.68,17.59,51.42,11.22
2013-10-21,135316370.0,9794.41,-13429.09,54.82,3.15,16.96,66.31,10.72
2013-10-22,135327290.0,-1141.96,-2989.95,59.45,3.94,16.94,78.92,10.18
2013-10-23,135341900.0,-2056.01,-865.29,66.5,4.26,17.89,76.6,10.01
