Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2013-06-04,3526419.0,-1557.79,25318.28,69.87,13.68,29.86,89.46,18.78
2013-06-05,3522869.0,-2911.12,45243.87,67.52,11.13,29.01,84.53,18.53
2013-06-07,3519549.0,-2189.6,96272.03,65.2,9.36,28.4,79.29,18.03
2013-06-10,3516689.0,1556.17,-2223.92,63.11,8.02,28.05,69.94,17.82
2013-06-11,3518779.0,2445.82,-2232.83,65.76,6.51,28.68,71.71,18.4
2013-06-12,3516129.0,-2630.0,34996.12,63.98,4.18,29.35,64.64,18.88
2013-06-13,3513499.0,-1258.17,-42163.97,62.17,2.18,29.95,69.64,19.07
2013-06-14,3517139.0,-1895.47,19448.37,66.41,0.24,31.0,73.8,19.29
2013-06-17,3512609.0,-3239.07,18849.43,63.49,-3.45,31.09,68.03,19.32
2013-06-18,3507279.0,-830.79,9592.7,59.72,-6.94,31.42,66.13,19.49
2013-06-19,3501319.0,-3869.14,48528.81,54.9,-11.15,32.24,60.18,19.86
2013-06-20,3495939.0,-4104.51,105211.35,49.92,-15.44,33.38,53.62,18.65
2013-06-21,3490179.0,902.3,-2598.86,43.95,-18.04,35.74,31.86,16.92
2013-06-24,3483919.0,-830.63,13488.13,36.61,-18.53,35.53,31.39,17.2
2013-06-25,3481089.0,-2063.18,2089.9,32.93,-18.7,35.37,26.98,17.38
2013-06-26,3484709.0,290.58,-28715.33,35.36,-18.04,35.14,32.68,17.32
2013-06-27,3487319.0,-764.03,-19268.73,37.2,-17.47,34.4,32.27,17.76
2013-06-28,3489989.0,2458.49,-30571.27,39.15,-17.11,34.01,40.3,17.75
2013-07-01,3487029.0,212.15,-15293.36,35.62,-17.98,33.73,39.76,17.86
2013-07-02,3489199.0,2657.68,39511.67,37.09,-18.74,33.93,39.13,18.2
2013-07-03,3486469.0,-5332.76,64521.27,33.88,-20.4,34.28,18.0,17.38
2013-07-04,3492449.0,2113.15,-22978.14,37.72,-19.3,34.63,18.04,16.4
2013-07-05,3497709.0,-1049.97,1890.25,41.53,-17.91,32.73,19.15,16.48
2013-07-08,3501319.0,3580.16,-17635.74,44.42,-16.61,31.13,22.72,17.28
2013-07-09,3506139.0,2549.32,-11477.55,48.62,-15.07,29.41,29.85,17.27
2013-07-10,3502709.0,-4330.0,-40423.09,45.16,-13.77,27.87,26.01,17.8
2013-07-11,3507039.0,3190.0,-76542.07,49.04,-11.37,26.35,37.55,16.67
2013-07-12,3503849.0,-1309.47,20730.78,45.76,-11.45,25.19,33.85,16.33
2013-07-15,3507908.0,9650.0,-17586.24,49.56,-11.31,24.76,30.85,16.68
2013-07-16,3498258.0,-2297.21,12674.65,38.28,-11.51,24.04,28.1,16.32
2013-07-17,3501268.0,1522.94,20355.43,40.94,-10.73,23.88,40.02,16.38
2013-07-18,3498508.0,-29.74,2274.48,37.23,-10.36,23.45,39.21,16.46
2013-07-19,3500928.0,432.43,-42411.25,39.22,-8.93,22.26,39.06,17.04
2013-07-22,3503488.0,2304.86,-60862.82,41.4,-7.02,20.97,46.79,16.93
2013-07-23,3506568.0,2355.49,-27080.72,44.18,-5.65,20.1,49.36,15.85
2013-07-24,3510448.0,1594.12,-4463.62,48.05,-6.18,20.07,46.66,15.63
2013-07-25,3513388.0,581.91,14783.67,51.23,-7.03,20.75,45.43,16.08
2013-07-26,3511208.0,83.98,14567.08,48.9,-8.02,21.57,37.69,16.55
2013-07-29,3508398.0,-2238.85,10653.9,45.82,-8.72,22.12,31.55,16.84
2013-07-30,3511168.0,1498.03,-5070.96,48.48,-8.62,22.3,47.19,17.45
2013-07-31,3507888.0,-1419.58,-2518.34,44.97,-8.64,22.24,50.41,18.02
2013-08-01,3511568.0,2370.6,-80711.88,48.4,-8.33,22.37,57.92,18.65
2013-08-02,3514598.0,594.27,-388.71,51.42,-8.62,22.5,59.79,18.07
2013-08-05,3510258.0,-1567.55,68447.84,46.93,-10.33,23.75,51.1,18.54
2013-08-06,3508358.0,-1669.68,69474.16,44.87,-11.88,25.18,45.54,18.17
2013-08-07,3505508.0,-228.85,-10906.67,41.77,-12.23,26.04,42.73,18.0
2013-08-08,3507848.0,-1343.78,16093.23,43.62,-11.84,25.63,41.12,18.75
2013-08-09,3505898.0,-1569.18,-32807.73,41.61,-11.24,25.36,38.78,19.31
2013-08-12,3508428.0,1941.32,-114473.01,43.47,-9.82,24.87,41.62,19.24
2013-08-13,3510618.0,-52.28,-229.52,45.1,-9.71,24.56,41.34,18.92
2013-08-14,3513138.0,1142.58,-40670.58,47.02,-10.24,25.2,43.89,19.82
2013-08-16,3515568.0,2291.73,-45835.02,48.89,-11.04,25.9,46.04,19.73
2013-08-19,3519728.0,510.48,45051.97,52.23,-13.23,26.81,45.51,19.49
