Date,Close,Open,High,Low,Volume
2023-06-30,3333.62,3334.38,3345.57,3288.31,18510000
2023-06-29,3333.2,3313.7,3373.89,3311.99,21470000
2023-06-28,3308.39,3348.61,3350.79,3299.58,15180000
2023-06-27,3329.18,3336.23,3336.23,3302.38,16090000
2023-06-26,3335.46,3320.63,3340.55,3306.5,16840000
2023-06-23,3324.39,3359.31,3367.36,3315.89,18170000
2023-06-22,3348.81,3337.01,3367.43,3336.11,17400000
2023-06-21,3352.19,3375.36,3398.41,3347.33,17620000
2023-06-20,3383.37,3364.83,3389.88,3337.4,19230000
2023-06-19,3386.5,3423.18,3425.99,3372.27,20550000
2023-06-16,3429.86,3426.54,3431.73,3395.22,24510000
2023-06-15,3423.03,3440.38,3451.53,3400.45,21910000
2023-06-14,3425.78,3443.17,3451.52,3410.87,20330000
2023-06-13,3450.74,3434.11,3457.73,3424.35,24210000
2023-06-12,3400.96,3424.14,3433.44,3388.18,19510000
2023-06-09,3416.39,3360.54,3419.2,3344.29,27730000
2023-06-08,3353.91,3341.64,3353.91,3317.76,29620000
2023-06-07,3355.12,3360.11,3372.59,3351.38,23230000
2023-06-05,3353.91,3370.14,3370.14,3346.05,21560000
2023-06-02,3353.04,3354.6,3366.58,3331.48,24140000
2023-06-01,3323.2,3308.42,3329.38,3293.74,24550000
2023-05-31,3327.33,3357.19,3365.9,3324.52,43590000
2023-05-30,3361.02,3298.2,3366.68,3296.84,46060000
2023-05-26,3253.75,3232.96,3268.67,3227.03,35110000
2023-05-25,3204.92,3219.9,3227.9,3193.82,25620000
2023-05-24,3183.08,3159.93,3186.87,3156.32,13250000
2023-05-23,3186.26,3188.05,3199.12,3168.35,14560000
2023-05-22,3181.22,3176.8,3200.78,3159.37,23120000
2023-05-19,3173.54,3140.16,3174.12,3127.26,31080000
2023-05-18,3107.43,3092.78,3110.43,3079.8,21980000
2023-05-17,3073.54,3042.43,3076.52,3036.89,20210000
2023-05-16,3031.67,3038.03,3046.17,3026.56,21960000
2023-05-15,3000.38,2990.29,3004.0,2967.84,14680000
2023-05-12,2998.44,3006.68,3017.51,2991.31,15940000
2023-05-11,3013.27,3027.27,3039.82,3007.36,18380000
2023-05-10,3021.91,3032.51,3039.15,3009.39,19480000
2023-05-09,3036.24,3060.36,3063.38,3018.19,15210000
2023-05-08,3061.07,3052.49,3067.1,3045.31,17500000
2023-05-04,3028.01,3038.02,3046.67,3011.2,15910000
2023-05-03,3047.16,3041.13,3050.14,3031.21,16180000
2023-05-02,3062.72,3049.62,3069.4,3040.42,20690000
2023-04-28,3044.99,3064.46,3074.05,3026.3,29860000
2023-04-27,3036.24,3017.86,3041.48,2983.72,25040000
2023-04-26,3013.85,3017.87,3039.93,3001.01,21060000
2023-04-25,3004.37,3071.34,3074.36,2977.82,25760000
2023-04-24,3058.11,3078.88,3087.96,3049.81,19400000
2023-04-21,3092.86,3099.42,3116.72,3077.24,19550000
2023-04-20,3102.15,3110.53,3120.64,3089.01,16110000
2023-04-19,3132.53,3138.11,3148.15,3111.58,17770000
2023-04-18,3135.36,3140.1,3143.36,3118.26,24400000
2023-04-17,3135.63,3154.79,3158.41,3123.44,21060000
2023-04-14,3172.28,3199.55,3199.99,3143.07,27050000
2023-04-13,3175.58,3163.97,3182.56,3152.04,34720000
2023-04-12,3177.05,3165.47,3187.44,3127.84,28650000
2023-04-11,3160.59,3146.13,3170.89,3124.04,30010000
2023-04-10,3133.6,3103.31,3159.38,3102.53,31220000
