Date,Close,Open,High,Low,Volume
2023-06-30,307.74,305.98,308.52,302.15,5030000
2023-06-29,305.58,312.2,313.0,305.58,9760000
2023-06-28,311.61,319.01,319.38,311.59,4320000
2023-06-27,317.02,320.56,321.86,315.36,6410000
2023-06-26,321.37,316.95,329.11,316.9,12450000
2023-06-23,316.29,324.55,324.92,316.21,5480000
2023-06-22,324.32,321.91,325.38,319.6,5520000
2023-06-21,321.0,322.9,324.26,319.67,4550000
2023-06-20,321.97,324.98,327.67,321.61,5310000
2023-06-19,326.61,322.46,327.8,322.24,6300000
2023-06-16,321.52,318.69,321.53,317.1,5750000
2023-06-15,316.68,321.11,322.36,314.17,6170000
2023-06-14,319.44,328.86,329.52,319.04,6870000
2023-06-13,328.24,329.23,330.91,325.7,6150000
2023-06-12,326.64,330.14,330.57,325.81,3470000
2023-06-09,328.61,330.73,331.5,327.23,4260000
2023-06-08,327.85,326.55,330.81,325.58,5320000
2023-06-07,327.84,329.0,329.19,326.29,4040000
2023-06-05,327.31,325.0,329.86,324.66,5030000
2023-06-02,320.43,316.23,322.09,314.52,4670000
2023-06-01,314.92,314.38,316.03,311.29,5010000
2023-05-31,313.02,314.1,315.6,312.09,7070000
2023-05-30,313.38,313.23,313.92,310.58,4370000
2023-05-26,308.76,313.38,313.95,307.95,4550000
2023-05-25,313.67,317.19,319.08,313.24,4260000
2023-05-24,318.8,317.09,322.22,315.77,5540000
2023-05-23,318.02,318.27,323.74,317.35,5360000
2023-05-22,315.69,308.72,315.82,308.69,6450000
2023-05-19,308.68,307.98,310.21,305.82,5750000
2023-05-18,305.63,304.89,307.13,303.04,3740000
2023-05-17,302.59,301.36,303.5,300.11,3400000
2023-05-16,303.33,304.09,304.97,301.15,3890000
2023-05-15,303.11,300.13,303.11,297.95,3400000
2023-05-12,302.38,305.53,305.73,301.32,4490000
2023-05-11,305.88,307.2,310.81,305.43,5350000
2023-05-10,305.63,310.48,310.99,304.16,5170000
2023-05-09,312.25,310.99,313.05,306.57,5270000
2023-05-08,313.02,314.02,317.26,311.34,9290000
2023-05-04,312.02,312.94,316.17,309.72,6060000
2023-05-03,313.52,316.01,318.02,312.69,5850000
2023-05-02,318.22,314.61,320.93,314.11,8199999
2023-04-28,315.08,319.54,319.91,312.02,7720000
2023-04-27,317.05,314.7,318.11,310.53,6990000
2023-04-26,313.84,318.15,323.09,312.73,6980000
2023-04-25,319.73,327.41,327.41,315.11,7090000
2023-04-24,325.06,331.69,334.41,323.25,6730000
2023-04-21,332.7,335.05,337.61,328.83,7150000
2023-04-20,336.96,338.39,343.59,334.46,5870000
2023-04-19,340.53,330.79,344.36,330.63,7850000
2023-04-18,330.44,339.71,339.71,328.62,8460000
2023-04-17,335.42,322.73,335.45,322.54,8960000
2023-04-14,320.3,310.29,321.97,310.18,9240000
2023-04-13,306.13,304.37,306.98,298.95,5330000
2023-04-12,306.79,306.14,311.97,305.43,6970000
2023-04-11,305.8,302.23,306.79,300.44,5600000
2023-04-10,301.37,301.88,304.38,299.33,6260000
2023-04-07,301.84,299.89,302.42,297.68,6130000
2023-04-06,300.05,302.27,304.55,299.35,7790000
2023-04-05,304.42,304.78,306.28,301.54,6050000
2023-04-04,303.45,304.55,308.45,301.65,6640000
2023-04-03,303.8,301.23,307.12,300.18,9150000
2023-03-31,297.72,290.65,301.55,290.32,11010000
2023-03-30,291.01,289.77,293.24,285.93,9080000
2023-03-29,289.57,288.12,290.65,286.78,5720000
2023-03-28,288.65,286.56,288.65,284.34,5770000
2023-03-27,285.26,288.28,291.25,284.44,5570000
2023-03-24,285.77,285.6,286.03,281.65,5240000
2023-03-23,285.27,283.86,287.39,282.18,7280000
2023-03-22,286.03,289.09,290.17,285.53,5460000
2023-03-21,286.6,289.43,291.7,285.42,6690000
2023-03-20,287.47,286.68,292.61,285.84,5540000
2023-03-17,287.79,293.04,294.05,287.48,7330000
2023-03-16,291.14,285.94,294.35,285.73,9360000
2023-03-15,286.75,283.7,289.08,282.1,7450000
2023-03-14,277.94,285.58,286.35,276.18,7200000
2023-03-13,286.14,284.7,286.19,278.3,6930000
2023-03-10,285.67,285.25,291.37,284.43,8550000
2023-03-09,288.51,287.42,290.11,284.73,14560000
2023-03-08,285.27,283.06,285.44,281.38,7230000
2023-03-07,286.1,277.4,289.69,277.2,9670000
2023-03-06,278.0,281.1,282.19,275.7,5700000
2023-03-03,277.84,276.7,279.47,274.15,5410000
2023-03-02,274.91,271.58,277.66,271.56,7660000
2023-02-28,271.9,277.45,278.45,271.33,7750000
2023-02-27,275.74,273.7,275.85,271.36,4940000
2023-02-24,276.0,279.63,281.6,275.54,5190000
2023-02-23,279.89,280.86,281.85,274.6,6190000
2023-02-22,279.5,280.95,283.65,278.66,6530000
2023-02-21,285.82,279.63,287.46,278.6,10690000
2023-02-20,278.92,281.04,281.44,275.72,6430000
2023-02-17,280.63,276.33,284.36,275.86,11650000
2023-02-16,278.61,275.42,279.17,274.64,4980000
2023-02-15,272.75,277.77,278.92,272.52,5870000
2023-02-14,277.11,278.16,278.84,275.48,4550000
2023-02-13,276.39,274.99,277.85,273.55,6230000
2023-02-10,275.92,277.09,277.95,273.61,6030000
2023-02-09,276.95,271.56,277.74,271.2,6400000
2023-02-08,272.99,273.18,274.02,271.55,4220000
2023-02-07,271.78,272.47,274.31,270.66,5490000
2023-02-06,272.44,275.41,276.98,271.74,5610000
2023-02-03,277.15,276.3,279.34,275.05,6140000
2023-02-02,275.86,281.21,282.21,274.75,7170000
2023-02-01,278.63,278.7,282.12,277.2,10170000
2023-01-31,278.12,274.77,280.99,271.79,16210000
2023-01-30,272.14,274.95,275.66,270.6,5770000
2023-01-27,273.18,271.18,275.93,269.62,7260000
2023-01-26,270.28,261.9,270.62,261.02,6490000
2023-01-25,261.42,265.01,265.63,260.99,5170000
2023-01-20,263.65,255.45,264.08,255.44,5760000
2023-01-19,256.34,256.72,259.29,255.62,4300000
2023-01-18,259.01,262.6,262.79,257.53,5330000
2023-01-17,261.91,262.62,265.48,260.89,5010000
2023-01-16,262.06,263.98,264.09,261.06,5090000
2023-01-13,262.27,261.82,264.72,261.22,5930000
2023-01-12,260.15,262.86,263.68,259.63,6440000
2023-01-11,260.83,263.67,264.17,259.57,6500000
2023-01-10,262.85,260.95,264.72,260.92,8230000
2023-01-09,259.79,259.74,260.58,257.37,6020000
2023-01-06,257.29,244.27,258.83,243.7,11930000
2023-01-05,246.76,245.52,247.49,243.65,8080000
2023-01-04,245.37,236.73,245.96,234.54,7920000
2023-01-03,239.41,242.53,242.55,233.19,7010000
2023-01-02,242.15,245.88,247.04,240.71,5970000
2022-12-29,242.77,246.43,249.78,242.37,5080000
2022-12-28,248.2,250.29,251.43,246.91,5770000
2022-12-27,253.72,249.12,253.88,248.9,6670000
2022-12-26,248.39,247.21,249.26,246.12,4099999
2022-12-23,246.53,249.54,250.07,246.07,4670000
2022-12-22,253.74,253.25,254.29,251.68,4590000
2022-12-21,251.37,253.49,253.77,249.35,3680000
2022-12-20,251.69,251.99,255.74,250.75,4460000
2022-12-19,252.27,251.73,254.65,250.79,3570000
2022-12-16,252.35,250.86,254.32,250.16,5740000
2022-12-15,255.36,258.32,259.17,255.3,4620000
2022-12-14,259.67,256.72,259.84,256.14,4410000
2022-12-13,255.31,258.5,259.73,255.0,4780000
2022-12-12,256.79,260.54,260.69,255.16,6110000
2022-12-09,261.91,265.63,266.14,260.14,4840000
2022-12-08,264.03,268.79,268.91,262.04,6240000
2022-12-07,267.87,268.13,269.69,265.53,4520000
2022-12-06,269.05,269.19,273.13,267.75,4670000
2022-12-05,271.87,276.87,276.93,270.47,4450000
2022-12-02,275.08,283.03,283.03,274.74,5870000
2022-12-01,283.88,285.39,289.17,282.79,8810000
2022-11-30,281.14,280.85,282.4,277.13,14500000
2022-11-29,281.6,280.66,282.37,279.99,4120000
2022-11-28,280.04,281.84,281.97,278.11,4920000
2022-11-25,282.88,285.63,287.09,282.13,4110000
2022-11-24,284.87,284.85,286.26,282.82,3730000
2022-11-23,282.64,282.42,283.52,280.02,4640000
2022-11-22,280.8,279.44,282.91,278.88,5240000
2022-11-21,280.4,284.14,284.45,277.87,5840000
2022-11-18,283.54,284.05,287.15,282.58,6430000
2022-11-17,282.86,291.11,291.46,282.48,9030000
2022-11-16,290.22,293.36,293.36,283.83,10130000
2022-11-15,292.86,294.15,295.01,290.58,5640000
2022-11-14,292.54,290.25,297.0,289.61,8230000
2022-11-11,288.43,283.73,289.06,283.73,10370000
2022-11-10,279.84,278.23,284.52,277.83,6690000
2022-11-09,280.42,276.41,280.48,275.83,6660000
2022-11-08,276.28,277.81,280.97,271.51,8390000
2022-11-07,276.44,272.65,277.75,270.33,8610000
2022-11-04,271.14,271.29,273.79,269.26,7580000
2022-11-03,271.44,255.39,272.76,255.14,15330000
2022-11-02,261.04,265.37,267.54,260.27,9710000
2022-11-01,264.35,254.93,264.57,254.0,11080000
2022-10-31,253.83,258.58,258.85,252.23,5750000
2022-10-28,256.19,255.11,259.26,254.81,5640000
2022-10-27,256.63,249.07,257.05,248.49,9370000
