Date,Close,Open,High,Low,Volume
2023-06-30,1559.71,1544.03,1564.81,1544.03,10320000
2023-06-29,1530.52,1541.91,1547.68,1530.52,8000000
2023-06-28,1549.88,1545.56,1553.58,1537.65,8890000
2023-06-27,1544.96,1517.41,1545.24,1514.82,9230000
2023-06-26,1515.64,1501.58,1519.78,1496.15,8289999
2023-06-23,1498.65,1518.82,1518.82,1498.65,7590000
2023-06-22,1519.77,1522.07,1523.82,1509.05,6510000
2023-06-21,1526.2,1499.57,1528.73,1491.45,10680000
2023-06-20,1502.68,1510.34,1516.91,1498.67,7990000
2023-06-19,1513.14,1506.69,1513.3,1503.21,6370000
2023-06-16,1510.03,1522.24,1523.79,1504.62,8660000
2023-06-15,1511.51,1524.26,1529.24,1509.4,7850000
2023-06-14,1518.55,1516.87,1526.73,1513.21,8210000
2023-06-13,1515.35,1513.78,1520.69,1509.85,8980000
2023-06-12,1511.05,1524.5,1526.49,1504.18,8870000
2023-06-09,1522.53,1516.77,1525.98,1511.74,12090000
2023-06-08,1509.42,1511.17,1516.44,1500.81,11550000
2023-06-07,1512.34,1557.49,1559.66,1508.28,12120000
2023-06-05,1549.08,1541.96,1551.94,1539.34,6880000
2023-06-02,1531.97,1526.77,1533.33,1517.08,7340000
2023-06-01,1517.71,1532.29,1537.39,1516.1,7920000
2023-05-31,1533.14,1542.44,1558.13,1532.35,13270000
2023-05-30,1539.9,1567.24,1567.63,1537.68,8560000
2023-05-26,1561.84,1555.09,1563.31,1544.51,7320000
2023-05-25,1559.58,1574.91,1579.74,1558.97,8650000
2023-05-24,1586.67,1579.35,1589.41,1575.06,8610000
2023-05-23,1586.87,1595.16,1597.61,1583.45,7280000
2023-05-22,1587.48,1582.31,1594.92,1572.69,7700000
2023-05-19,1579.33,1581.36,1589.82,1571.28,10370000
2023-05-18,1586.67,1575.04,1587.45,1570.65,13520000
2023-05-17,1564.93,1549.9,1567.57,1549.61,12660000
2023-05-16,1547.71,1569.96,1573.67,1540.24,15180000
2023-05-15,1581.64,1573.55,1583.55,1558.82,13830000
2023-05-12,1573.91,1582.89,1583.44,1568.64,11050000
2023-05-11,1586.55,1593.7,1600.61,1580.29,10960000
2023-05-10,1585.96,1561.07,1593.18,1559.2,12540000
2023-05-09,1561.93,1548.85,1564.19,1537.3,7640000
2023-05-08,1553.6,1542.96,1558.67,1541.23,8950000
2023-05-04,1534.25,1539.24,1539.24,1527.23,6780000
2023-05-03,1543.57,1548.27,1558.26,1537.39,7400000
2023-05-02,1556.65,1527.62,1557.7,1525.77,9780000
2023-04-28,1519.95,1534.74,1536.67,1514.68,9240000
2023-04-27,1534.02,1532.74,1552.66,1525.67,9420000
2023-04-26,1535.13,1573.12,1581.29,1533.26,13480000
2023-04-25,1561.09,1543.36,1564.03,1523.0,12330000
2023-04-24,1537.65,1529.43,1541.61,1525.12,9580000
2023-04-21,1524.17,1528.62,1533.38,1508.51,12220000
2023-04-20,1542.25,1548.81,1554.66,1535.44,9460000
2023-04-19,1554.13,1537.69,1558.96,1533.65,9770000
2023-04-18,1534.4,1536.13,1536.6,1508.97,13680000
2023-04-17,1547.71,1556.94,1557.82,1540.72,9510000
2023-04-14,1558.84,1570.39,1574.62,1555.23,10570000
2023-04-13,1566.47,1556.44,1566.47,1546.02,13440000
2023-04-12,1564.35,1546.36,1568.37,1544.86,21200000
2023-04-11,1527.93,1480.26,1530.19,1477.02,19860000
2023-04-10,1477.44,1475.21,1488.18,1465.68,13060000
2023-04-07,1475.04,1483.69,1483.69,1472.35,8300000
2023-04-06,1482.2,1502.0,1507.42,1480.65,12840000
2023-04-05,1498.73,1491.3,1502.05,1487.06,9750000
2023-04-04,1485.76,1488.43,1497.57,1481.42,9880000
2023-04-03,1487.66,1495.5,1501.6,1484.23,9170000
2023-03-31,1494.5,1481.94,1497.24,1479.72,9910000
2023-03-30,1472.06,1461.83,1479.48,1456.95,9960000
2023-03-29,1471.23,1451.15,1472.2,1450.83,9420000
2023-03-28,1446.64,1438.92,1446.64,1434.23,6590000
2023-03-27,1433.84,1437.65,1437.86,1421.43,7950000
2023-03-24,1437.96,1446.64,1451.22,1427.26,7520000
2023-03-23,1457.29,1446.71,1465.89,1443.1,9960000
2023-03-22,1457.59,1456.14,1458.18,1445.88,8890000
2023-03-21,1445.92,1449.4,1454.67,1439.18,7020000
2023-03-20,1437.28,1457.67,1459.21,1436.66,7460000
2023-03-17,1456.72,1450.0,1456.76,1437.12,9690000
2023-03-16,1436.13,1438.92,1442.35,1421.86,7920000
2023-03-15,1452.0,1438.34,1461.68,1437.19,9360000
2023-03-14,1421.7,1456.67,1458.67,1420.65,11920000
2023-03-13,1465.64,1462.96,1468.99,1450.56,12680000
2023-03-10,1464.14,1466.99,1474.58,1461.76,8199999
2023-03-09,1479.25,1474.07,1490.55,1474.07,12430000
2023-03-08,1470.79,1460.99,1473.16,1459.66,9850000
