Date,Close,Open,High,Low,Volume
2023-06-30,1490.35,1480.08,1494.67,1469.48,7990000
2023-06-29,1472.14,1495.18,1504.46,1472.14,9950000
2023-06-28,1495.19,1548.44,1549.9,1494.83,11280000
2023-06-27,1539.77,1544.97,1552.94,1534.67,9150000
2023-06-26,1548.29,1555.95,1556.35,1541.02,9010000
2023-06-23,1575.81,1607.28,1609.84,1571.28,9770000
2023-06-22,1601.41,1591.95,1606.68,1583.96,10620000
2023-06-21,1593.45,1616.83,1617.5,1591.97,8039999
2023-06-20,1618.33,1628.98,1634.26,1615.09,9520000
2023-06-19,1626.66,1612.17,1628.87,1602.69,7870000
2023-06-16,1610.61,1610.62,1619.43,1604.56,9430000
2023-06-15,1600.78,1618.39,1626.56,1590.33,13020000
2023-06-14,1612.95,1632.96,1648.02,1609.24,16649999
2023-06-13,1629.86,1649.82,1649.82,1627.59,9240000
2023-06-12,1643.34,1656.37,1662.63,1639.02,10530000
2023-06-09,1648.07,1644.62,1653.8,1634.92,12070000
2023-06-08,1637.44,1643.29,1654.23,1628.36,8150000
2023-06-07,1647.55,1624.2,1653.9,1623.62,6370000
2023-06-05,1617.7,1615.77,1624.35,1610.4,5880000
2023-06-02,1601.73,1564.85,1602.14,1560.28,9030000
2023-06-01,1555.55,1560.85,1572.16,1554.16,5560000
2023-05-31,1553.06,1566.85,1577.28,1553.06,10490000
2023-05-30,1572.94,1574.06,1582.68,1564.6,10020000
2023-05-26,1560.74,1571.67,1574.6,1552.46,4320000
2023-05-25,1572.58,1580.49,1588.95,1571.77,4980000
2023-05-24,1585.54,1580.01,1590.97,1576.31,3930000
2023-05-23,1585.11,1576.83,1601.75,1576.83,5610000
2023-05-22,1570.43,1552.99,1573.71,1548.94,5680000
2023-05-19,1551.06,1565.33,1566.42,1548.11,5410000
2023-05-18,1563.77,1562.59,1566.58,1550.1,3810000
2023-05-17,1554.64,1527.1,1557.86,1523.42,4480000
2023-05-16,1533.23,1535.46,1546.72,1529.14,3900000
2023-05-15,1533.05,1530.1,1534.79,1518.34,6660000
2023-05-12,1528.51,1541.97,1543.71,1526.62,4990000
2023-05-11,1541.09,1549.62,1563.23,1541.09,5720000
2023-05-10,1546.24,1561.26,1567.66,1541.01,4790000
2023-05-09,1569.34,1576.5,1584.76,1553.46,5210000
2023-05-08,1573.2,1573.65,1592.12,1570.55,6040000
2023-05-04,1562.86,1550.09,1565.38,1545.82,5500000
2023-05-03,1556.38,1572.54,1575.96,1555.33,7160000
2023-05-02,1581.26,1563.11,1583.95,1563.11,6600000
2023-04-28,1558.12,1582.21,1583.45,1547.56,10190000
2023-04-27,1571.07,1568.22,1575.25,1548.55,9480000
2023-04-26,1570.35,1577.83,1588.86,1568.59,7580000
2023-04-25,1585.14,1619.78,1620.86,1568.26,9670000
2023-04-24,1618.34,1627.72,1636.64,1614.93,7910000
2023-04-21,1629.39,1635.4,1643.24,1609.53,9870000
2023-04-20,1646.72,1655.92,1664.05,1638.04,9160000
2023-04-19,1662.47,1670.84,1682.23,1662.05,11720000
2023-04-18,1674.03,1681.61,1682.33,1662.68,18350000
2023-04-17,1670.94,1671.14,1680.97,1653.04,14200000
2023-04-14,1669.95,1680.12,1681.18,1656.85,11250000
2023-04-13,1666.66,1638.53,1669.06,1626.91,9950000
2023-04-12,1650.24,1673.99,1695.53,1650.13,11690000
2023-04-11,1682.17,1667.13,1706.54,1652.48,15470000
2023-04-10,1643.7,1617.26,1655.9,1613.61,23140000
2023-04-07,1605.17,1585.47,1613.03,1575.61,15000000
2023-04-06,1585.09,1600.17,1601.97,1579.57,16079999
2023-04-05,1607.59,1618.43,1622.89,1602.23,13320000
2023-04-04,1612.52,1612.3,1641.5,1607.13,22290000
2023-04-03,1595.7,1622.37,1623.56,1591.38,24710000
2023-03-31,1607.04,1603.46,1616.76,1590.82,28190000
2023-03-30,1600.95,1560.88,1618.7,1549.35,29680000
2023-03-29,1557.4,1544.02,1558.79,1542.08,44890000
2023-03-28,1544.51,1537.46,1544.51,1529.05,5290000
2023-03-27,1529.88,1529.25,1538.67,1519.2,6630000
2023-03-24,1518.04,1531.62,1535.31,1507.97,5150000
2023-03-23,1533.15,1520.71,1539.26,1518.7,8970000
2023-03-22,1531.74,1524.34,1531.87,1518.86,5720000
2023-03-21,1510.03,1514.97,1518.62,1505.48,3920000
2023-03-20,1506.82,1514.81,1527.19,1504.26,4059999
2023-03-17,1515.4,1542.26,1542.34,1508.48,5440000
2023-03-16,1530.6,1520.71,1532.56,1509.44,4840000
2023-03-15,1537.01,1553.5,1556.89,1527.03,5050000
2023-03-14,1532.89,1562.16,1563.65,1526.93,4700000
2023-03-13,1572.92,1562.16,1574.4,1539.7,4380000
2023-03-10,1560.6,1547.49,1567.6,1541.7,5540000
2023-03-09,1565.06,1591.54,1594.52,1561.55,7370000
2023-03-08,1583.57,1601.59,1602.13,1580.47,5900000
2023-03-07,1627.5,1612.8,1643.58,1608.39,8119999
2023-03-06,1608.21,1606.38,1609.11,1584.64,7790000
2023-03-03,1591.37,1579.23,1592.93,1573.04,8790000
2023-03-02,1567.58,1534.48,1572.45,1534.48,6550000
2023-02-28,1536.71,1537.9,1544.74,1531.46,5870000
2023-02-27,1529.31,1538.73,1538.73,1520.59,5850000
2023-02-24,1548.67,1559.81,1568.1,1546.45,6650000
2023-02-23,1559.15,1564.41,1570.38,1547.49,7060000
2023-02-22,1560.7,1579.85,1583.08,1560.7,9160000
2023-02-21,1597.57,1566.97,1599.81,1563.93,8480000
2023-02-20,1564.52,1576.73,1577.03,1551.3,10070000
2023-02-17,1580.62,1572.15,1597.66,1568.52,8029999
2023-02-16,1590.32,1555.73,1597.23,1554.76,15570000
2023-02-15,1543.35,1580.77,1581.08,1538.2,8670000
2023-02-14,1586.55,1597.05,1602.71,1579.63,4520000
2023-02-13,1587.87,1583.6,1600.45,1578.35,5000000
2023-02-10,1586.77,1592.12,1595.4,1579.03,5600000
2023-02-09,1600.75,1582.11,1613.57,1580.03,7040000
2023-02-08,1592.94,1600.61,1602.86,1590.93,6640000
2023-02-07,1592.49,1591.58,1605.89,1585.49,8430000
2023-02-06,1591.29,1591.38,1613.96,1582.68,5470000
2023-02-03,1603.09,1596.0,1605.45,1588.87,5620000
2023-02-02,1608.1,1626.22,1634.55,1605.52,7510000
2023-02-01,1606.82,1594.1,1606.87,1585.26,4870000
2023-01-31,1589.0,1587.05,1604.56,1576.54,4920000
2023-01-30,1588.65,1615.27,1621.24,1584.9,5040000
2023-01-27,1617.35,1609.54,1625.67,1593.91,6000000
2023-01-26,1599.65,1570.58,1600.71,1557.68,5630000
2023-01-25,1567.48,1563.63,1576.4,1561.81,4400000
2023-01-20,1545.43,1532.47,1545.59,1522.5,4250000
2023-01-19,1535.0,1512.64,1537.97,1512.64,3990000
2023-01-18,1526.19,1542.76,1544.32,1518.14,3740000
2023-01-17,1538.72,1546.66,1556.42,1533.32,4590000
2023-01-16,1547.89,1549.03,1562.0,1544.78,4590000
2023-01-13,1547.69,1545.35,1560.75,1537.45,5940000
2023-01-12,1534.85,1535.87,1541.69,1528.88,9960000
2023-01-11,1520.5,1501.47,1524.12,1498.83,8240000
2023-01-10,1492.9,1497.83,1510.47,1485.83,5020000
2023-01-09,1493.8,1459.05,1495.32,1447.53,5500000
2023-01-06,1440.94,1411.34,1448.49,1404.31,5390000
2023-01-05,1420.38,1443.72,1446.29,1412.41,7210000
2023-01-04,1435.02,1421.19,1442.09,1400.07,4240000
2023-01-03,1435.69,1452.47,1453.59,1408.24,4990000
2023-01-02,1447.48,1467.03,1482.67,1446.16,3420000
2022-12-29,1460.21,1485.84,1490.09,1459.88,4940000
2022-12-28,1499.75,1516.42,1516.42,1491.86,5530000
2022-12-27,1549.56,1549.59,1558.22,1538.74,5750000
2022-12-26,1540.13,1526.66,1544.45,1524.77,3540000
2022-12-23,1528.93,1539.83,1549.0,1527.6,4670000
2022-12-22,1558.41,1547.75,1562.26,1541.42,3790000
2022-12-21,1538.66,1555.59,1555.87,1534.07,2900000
2022-12-20,1545.61,1561.2,1564.69,1540.99,3570000
2022-12-19,1565.5,1567.99,1573.01,1556.83,2760000
2022-12-16,1580.5,1558.81,1580.5,1552.78,4460000
2022-12-15,1579.55,1593.9,1605.76,1579.52,3950000
2022-12-14,1603.29,1578.46,1603.49,1576.55,4970000
2022-12-13,1573.65,1578.67,1584.38,1560.33,4740000
2022-12-12,1572.62,1563.0,1576.43,1559.95,3820000
2022-12-09,1568.49,1592.82,1595.23,1559.18,6460000
2022-12-08,1591.5,1601.42,1607.64,1576.46,5670000
2022-12-07,1598.18,1609.96,1622.7,1596.86,4510000
2022-12-06,1616.76,1627.3,1637.84,1612.24,5180000
2022-12-05,1643.4,1654.25,1655.48,1632.55,5180000
2022-12-02,1650.81,1673.35,1678.19,1650.81,4530
2022-12-01,1683.22,1717.33,1720.47,1681.36,5900000
2022-11-30,1696.96,1666.16,1697.85,1652.4,9160000
2022-11-29,1674.36,1656.93,1678.73,1645.51,4470000
2022-11-28,1660.39,1671.48,1680.88,1651.84,6280000
2022-11-25,1676.8,1669.79,1686.61,1662.02,6240000
2022-11-24,1669.83,1661.75,1671.88,1646.98,14330000
2022-11-23,1641.36,1635.61,1649.45,1627.62,4890000
2022-11-22,1619.62,1626.01,1651.97,1617.79,5780000
2022-11-21,1630.81,1648.39,1650.1,1616.99,5650000
2022-11-18,1648.31,1649.32,1675.5,1644.73,5400000
2022-11-17,1652.14,1681.11,1685.31,1652.14,5600000
2022-11-16,1682.21,1689.39,1689.62,1652.31,7840000
2022-11-15,1685.38,1705.21,1709.82,1675.96,6670000
2022-11-14,1698.17,1703.65,1724.72,1694.61,11390000
2022-11-11,1696.59,1699.43,1711.62,1681.76,10530000
2022-11-10,1646.04,1651.52,1675.1,1645.66,8279999
2022-11-09,1670.55,1647.95,1671.74,1639.11,8890000
2022-11-08,1644.56,1654.48,1658.56,1619.98,7610000
2022-11-07,1646.03,1624.87,1646.03,1618.39,10840000
2022-11-04,1614.49,1615.45,1623.49,1594.1,7470000
2022-11-03,1619.91,1585.41,1631.64,1580.07,7920000
2022-11-02,1613.31,1610.35,1636.23,1603.98,9350000
2022-11-01,1615.28,1551.76,1618.33,1551.27,10190000
2022-10-31,1538.32,1544.39,1545.93,1516.12,6670000
2022-10-28,1529.26,1518.65,1549.27,1514.98,10090000
2022-10-27,1525.72,1470.91,1525.72,1469.96,12970000
2022-10-26,1452.17,1451.85,1468.69,1448.03,6400000
