Date,Close,Open,High,Low,Volume
2023-06-30,587.76,588.11,591.94,581.99,13230000
2023-06-29,582.18,588.22,591.82,582.18,12160000
2023-06-28,593.1,592.11,594.94,591.14,10800000
2023-06-27,589.73,588.71,589.78,586.4,8940000
2023-06-26,588.82,584.97,592.55,581.96,10490000
2023-06-23,585.0,593.53,593.67,584.86,11640000
2023-06-22,596.83,591.7,597.76,590.49,9390000
2023-06-21,590.54,592.53,593.76,589.52,12450000
2023-06-20,594.3,596.79,598.95,593.31,9230000
2023-06-19,597.36,602.75,602.75,596.25,10470000
2023-06-16,602.58,605.66,608.07,600.51,22310000
2023-06-15,601.37,605.02,608.82,600.22,11470000
2023-06-14,604.71,607.01,607.01,602.03,12120000
2023-06-13,608.21,612.87,612.87,607.33,13150000
2023-06-12,614.04,617.94,618.87,612.11,11640000
2023-06-09,617.52,617.71,619.96,614.32,16540000
2023-06-08,615.42,614.56,617.67,613.93,18550000
2023-06-07,615.06,620.47,622.81,614.63,13340000
2023-06-05,615.05,612.41,618.24,612.15,11610000
2023-06-02,608.07,602.77,608.07,602.51,11900000
2023-06-01,600.09,606.08,609.0,599.59,12570000
2023-05-31,605.85,606.92,612.95,603.38,33000000
2023-05-30,606.64,605.81,607.36,600.27,13220000
2023-05-26,603.06,605.65,606.62,602.38,8820000
2023-05-25,607.87,610.37,612.89,606.54,11700000
2023-05-24,615.43,613.64,616.55,611.04,10880000
2023-05-23,614.8,614.19,617.61,613.88,10960000
2023-05-22,612.63,610.78,615.82,609.8,13610000
2023-05-19,610.67,605.54,611.06,604.82,12200000
2023-05-18,605.61,605.06,606.33,601.3,9450000
2023-05-17,601.21,602.06,605.29,600.56,9850000
2023-05-16,603.68,602.9,609.57,601.82,12030000
2023-05-15,602.47,602.47,603.25,597.89,12410000
2023-05-12,601.55,610.08,610.45,600.64,18030000
2023-05-11,610.89,606.83,615.88,606.46,16210000
2023-05-10,604.63,607.31,609.37,600.48,14700000
2023-05-09,609.54,608.78,610.54,604.9,10590000
2023-05-08,610.77,603.22,614.27,602.61,14930000
2023-05-04,600.23,598.28,601.66,594.99,12070000
2023-05-03,600.07,603.99,606.39,598.35,18440000
2023-05-02,604.3,600.5,606.24,598.04,11200000
2023-04-28,601.19,595.44,603.49,595.44,18880000
2023-04-27,593.71,597.83,598.04,589.16,16540000
2023-04-26,601.06,604.7,604.72,596.1,13820000
2023-04-25,608.26,602.89,613.55,600.66,16890000
2023-04-24,601.02,607.13,607.13,599.61,11630000
2023-04-21,607.55,607.07,609.03,604.43,10110000
2023-04-20,611.24,604.33,611.26,601.88,12110000
2023-04-19,605.24,601.11,607.03,600.67,13440000
2023-04-18,599.97,597.91,600.7,593.29,12190000
2023-04-17,597.18,600.67,601.94,594.17,11550000
2023-04-14,599.21,590.59,602.44,590.56,18930000
2023-04-13,587.23,581.99,587.57,580.36,17410000
2023-04-12,584.32,581.09,586.02,580.76,14280000
2023-04-11,581.31,576.25,584.13,574.73,15950000
2023-04-10,575.6,577.02,582.4,575.55,12650000
2023-04-07,580.23,573.49,581.8,572.16,13100000
2023-04-06,573.74,585.21,585.51,573.7,16309999
2023-04-05,586.35,586.78,591.69,585.36,11630000
2023-04-04,586.53,582.26,586.56,578.69,12380000
2023-04-03,581.02,587.18,587.18,580.15,14700000
2023-03-31,586.77,581.51,588.8,580.95,28790000
2023-03-30,582.3,584.85,587.02,580.14,53640000
2023-03-29,588.17,585.65,590.57,583.23,13620000
2023-03-28,586.06,581.72,587.51,580.32,15050000
2023-03-27,574.6,578.74,578.74,570.3,14310000
2023-03-24,577.98,586.01,587.41,577.37,17370000
2023-03-23,593.89,588.65,593.89,587.58,13810000
2023-03-22,593.71,597.39,599.37,591.77,13510000
2023-03-21,589.5,589.14,593.88,586.92,13920000
2023-03-20,586.02,587.5,596.13,584.81,14270000
2023-03-17,588.85,589.85,594.89,586.52,25770000
2023-03-16,583.29,585.96,587.64,581.66,20200000
2023-03-15,595.2,597.06,603.39,592.29,18380000
2023-03-14,589.7,598.85,600.32,588.38,23790000
2023-03-13,608.47,602.3,609.36,594.53,18370000
2023-03-10,602.77,602.85,605.01,598.74,22340000
2023-03-09,611.31,610.09,618.67,609.41,27230000
2023-03-08,610.54,612.61,617.75,609.17,16900000
2023-03-07,617.72,615.35,621.11,613.43,15000000
2023-03-06,618.21,620.38,622.12,614.57,17940000
2023-03-03,616.84,627.3,628.96,616.41,20460000
2023-03-02,626.51,634.08,638.47,623.65,22570000
2023-02-28,635.64,629.82,636.22,628.31,24130000
2023-02-27,628.33,626.11,631.76,622.36,20130000
2023-02-24,628.42,622.15,634.84,621.75,19310000
2023-02-23,625.01,618.47,631.47,618.33,32140000
2023-02-22,617.87,623.97,625.92,617.57,17220000
2023-02-21,628.12,626.18,632.17,622.37,14860000
2023-02-20,625.68,622.77,627.37,618.23,11130000
2023-02-17,622.65,613.46,628.62,611.99,17720000
2023-02-16,617.46,616.26,618.67,610.8,22870000
2023-02-15,615.44,632.39,632.46,613.86,26750000
2023-02-14,636.32,653.2,654.48,635.2,19630000
2023-02-13,649.29,649.69,656.63,646.02,17350000
2023-02-10,651.49,643.34,651.94,640.65,19270000
2023-02-09,641.79,655.76,658.99,640.83,24790000
2023-02-08,657.73,653.3,666.73,651.73,25370000
2023-02-07,647.73,646.09,649.4,641.28,16250000
2023-02-06,646.63,650.99,653.0,641.84,17140000
2023-02-03,657.26,649.74,662.4,646.78,19950000
2023-02-02,651.57,666.46,666.48,649.85,28590000
2023-02-01,664.9,656.6,668.14,656.55,19880000
2023-01-31,654.56,670.68,673.34,652.59,24560000
2023-01-30,671.24,681.85,683.58,671.08,24660000
2023-01-27,686.66,684.28,690.08,678.94,26110000
2023-01-26,688.67,682.53,689.97,678.72,20790000
2023-01-25,681.93,677.15,684.82,676.82,15310000
2023-01-20,673.7,669.55,677.9,669.44,14530000
2023-01-19,670.29,666.44,673.96,666.03,17560000
2023-01-18,673.36,677.92,677.92,667.11,17410000
2023-01-17,679.66,685.86,686.83,678.53,21060000
2023-01-16,685.63,661.04,688.55,661.04,35060000
2023-01-13,660.48,651.19,662.21,646.37,26030000
2023-01-12,647.02,646.38,650.5,644.9,20800000
2023-01-11,644.41,657.51,658.51,641.58,17040000
2023-01-10,656.92,648.56,658.09,644.32,19850000
2023-01-09,651.56,653.88,656.91,643.89,21780000
2023-01-06,648.98,628.42,653.7,627.98,26760000
2023-01-05,632.86,606.36,635.07,606.36,35360000
2023-01-04,603.24,579.48,603.35,579.29,17010000
2023-01-03,583.14,579.61,585.74,568.68,15920000
2023-01-02,576.42,589.58,591.32,576.42,14820000
2022-12-29,589.98,596.42,599.74,589.98,21390000
2022-12-28,600.98,607.63,607.63,597.22,36090000
2022-12-27,630.36,628.11,630.6,624.34,30870000
2022-12-26,625.33,627.07,628.72,622.6,16230000
2022-12-23,627.67,631.5,635.1,627.25,16559999
2022-12-22,636.52,632.29,636.52,626.86,143920000
2022-12-21,633.04,633.69,635.5,629.16,12020000
2022-12-20,631.09,627.67,633.66,627.5,13600000
2022-12-19,627.38,622.32,630.38,621.79,12010000
2022-12-16,625.8,617.3,626.06,615.92,17580000
2022-12-15,624.0,634.6,636.2,624.0,16850000
2022-12-14,638.5,643.66,643.84,635.7,14320000
2022-12-13,640.35,638.44,643.51,634.41,17180000
2022-12-12,639.2,632.74,641.94,631.5,16489999
2022-12-09,635.17,623.21,637.87,622.67,22380000
2022-12-08,619.36,617.77,621.85,614.58,23910000
2022-12-07,616.49,623.67,624.13,614.9,16750000
2022-12-06,625.15,622.6,630.59,621.41,15520000
2022-12-05,627.9,627.22,630.83,622.29,18980000
2022-12-02,626.36,632.31,633.56,626.36,19850
2022-12-01,637.44,632.46,639.53,630.9,26150000
2022-11-30,626.83,613.11,627.42,613.11,36960000
2022-11-29,616.06,599.95,618.2,598.48,19000000
2022-11-28,599.37,606.71,607.52,597.92,16610000
2022-11-25,611.9,612.73,615.25,608.61,18200000
2022-11-24,612.56,603.08,612.72,602.76,20850000
2022-11-23,599.41,604.45,607.81,595.93,43910000
2022-11-22,600.04,592.29,601.64,590.94,26440000
2022-11-21,594.69,594.95,596.92,591.44,14680000
2022-11-18,592.16,589.35,598.37,587.88,16030000
2022-11-17,590.59,600.34,601.39,590.59,14720000
2022-11-16,600.26,598.89,600.64,592.06,22860000
2022-11-15,598.06,602.1,603.42,594.71,20160000
2022-11-14,599.64,597.21,603.47,597.11,33409999
2022-11-11,598.3,590.93,601.43,590.93,51440000
2022-11-10,583.16,582.14,587.46,581.53,20230000
2022-11-09,586.12,576.33,587.04,576.16,25650000
2022-11-08,573.25,573.72,574.32,564.85,19610000
2022-11-07,570.21,569.18,570.54,563.59,16230000
2022-11-04,566.48,559.87,567.98,559.87,24850000
2022-11-03,560.51,559.17,565.1,550.89,22310000
2022-11-02,567.7,559.07,568.56,558.59,37230000
2022-11-01,560.9,563.5,564.89,558.74,12070000
2022-10-31,560.7,564.4,565.27,554.94,17180000
2022-10-28,559.9,552.07,560.88,550.19,16950000
2022-10-27,552.85,541.88,552.85,541.62,18770000
2022-10-26,536.52,539.85,543.85,535.42,16660000
2022-10-25,540.57,540.35,543.1,537.23,15520000
2022-10-24,539.69,553.55,554.21,536.39,20390000
2022-10-21,546.65,548.0,549.05,541.25,17590000
2022-10-20,552.03,555.21,555.56,546.02,30170000
2022-10-19,560.27,558.73,565.09,558.36,18150000
