"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","3,333.62","3,334.38","3,345.57","3,288.31","18.51M","0.01%"
"2023- 06- 29","3,333.20","3,313.70","3,373.89","3,311.99","21.47M","0.75%"
"2023- 06- 28","3,308.39","3,348.61","3,350.79","3,299.58","15.18M","-0.62%"
"2023- 06- 27","3,329.18","3,336.23","3,336.23","3,302.38","16.09M","-0.19%"
"2023- 06- 26","3,335.46","3,320.63","3,340.55","3,306.50","16.84M","0.33%"
"2023- 06- 23","3,324.39","3,359.31","3,367.36","3,315.89","18.17M","-0.73%"
"2023- 06- 22","3,348.81","3,337.01","3,367.43","3,336.11","17.40M","-0.10%"
"2023- 06- 21","3,352.19","3,375.36","3,398.41","3,347.33","17.62M","-0.92%"
"2023- 06- 20","3,383.37","3,364.83","3,389.88","3,337.40","19.23M","-0.09%"
"2023- 06- 19","3,386.50","3,423.18","3,425.99","3,372.27","20.55M","-1.26%"
"2023- 06- 16","3,429.86","3,426.54","3,431.73","3,395.22","24.51M","0.20%"
"2023- 06- 15","3,423.03","3,440.38","3,451.53","3,400.45","21.91M","-0.08%"
"2023- 06- 14","3,425.78","3,443.17","3,451.52","3,410.87","20.33M","-0.72%"
"2023- 06- 13","3,450.74","3,434.11","3,457.73","3,424.35","24.21M","1.46%"
"2023- 06- 12","3,400.96","3,424.14","3,433.44","3,388.18","19.51M","-0.45%"
"2023- 06- 09","3,416.39","3,360.54","3,419.20","3,344.29","27.73M","1.86%"
"2023- 06- 08","3,353.91","3,341.64","3,353.91","3,317.76","29.62M","-0.04%"
"2023- 06- 07","3,355.12","3,360.11","3,372.59","3,351.38","23.23M","0.04%"
"2023- 06- 05","3,353.91","3,370.14","3,370.14","3,346.05","21.56M","0.03%"
"2023- 06- 02","3,353.04","3,354.60","3,366.58","3,331.48","24.14M","0.90%"
"2023- 06- 01","3,323.20","3,308.42","3,329.38","3,293.74","24.55M","-0.12%"
"2023- 05- 31","3,327.33","3,357.19","3,365.90","3,324.52","43.59M","-1.00%"
"2023- 05- 30","3,361.02","3,298.20","3,366.68","3,296.84","46.06M","3.30%"
"2023- 05- 26","3,253.75","3,232.96","3,268.67","3,227.03","35.11M","1.52%"
"2023- 05- 25","3,204.92","3,219.90","3,227.90","3,193.82","25.62M","0.69%"
"2023- 05- 24","3,183.08","3,159.93","3,186.87","3,156.32","13.25M","-0.10%"
"2023- 05- 23","3,186.26","3,188.05","3,199.12","3,168.35","14.56M","0.16%"
