"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","307.74","305.98","308.52","302.15","5.03M","0.71%"
"2023- 06- 29","305.58","312.20","313.00","305.58","9.76M","-1.94%"
"2023- 06- 28","311.61","319.01","319.38","311.59","4.32M","-1.71%"
"2023- 06- 27","317.02","320.56","321.86","315.36","6.41M","-1.35%"
"2023- 06- 26","321.37","316.95","329.11","316.90","12.45M","1.61%"
"2023- 06- 23","316.29","324.55","324.92","316.21","5.48M","-2.48%"
"2023- 06- 22","324.32","321.91","325.38","319.60","5.52M","1.03%"
"2023- 06- 21","321.00","322.90","324.26","319.67","4.55M","-0.30%"
"2023- 06- 20","321.97","324.98","327.67","321.61","5.31M","-1.42%"
"2023- 06- 19","326.61","322.46","327.80","322.24","6.30M","1.58%"
"2023- 06- 16","321.52","318.69","321.53","317.10","5.75M","1.53%"
"2023- 06- 15","316.68","321.11","322.36","314.17","6.17M","-0.86%"
"2023- 06- 14","319.44","328.86","329.52","319.04","6.87M","-2.68%"
"2023- 06- 13","328.24","329.23","330.91","325.70","6.15M","0.49%"
"2023- 06- 12","326.64","330.14","330.57","325.81","3.47M","-0.60%"
"2023- 06- 09","328.61","330.73","331.50","327.23","4.26M","0.23%"
"2023- 06- 08","327.85","326.55","330.81","325.58","5.32M","0.00%"
"2023- 06- 07","327.84","329.00","329.19","326.29","4.04M","0.16%"
"2023- 06- 05","327.31","325.00","329.86","324.66","5.03M","2.15%"
"2023- 06- 02","320.43","316.23","322.09","314.52","4.67M","1.75%"
"2023- 06- 01","314.92","314.38","316.03","311.29","5.01M","0.61%"
"2023- 05- 31","313.02","314.10","315.60","312.09","7.07M","-0.11%"
"2023- 05- 30","313.38","313.23","313.92","310.58","4.37M","1.50%"
"2023- 05- 26","308.76","313.38","313.95","307.95","4.55M","-1.57%"
"2023- 05- 25","313.67","317.19","319.08","313.24","4.26M","-1.61%"
"2023- 05- 24","318.80","317.09","322.22","315.77","5.54M","0.25%"
"2023- 05- 23","318.02","318.27","323.74","317.35","5.36M","0.74%"
"2023- 05- 22","315.69","308.72","315.82","308.69","6.45M","2.27%"
"2023- 05- 19","308.68","307.98","310.21","305.82","5.75M","1.00%"
"2023- 05- 18","305.63","304.89","307.13","303.04","3.74M","1.00%"
"2023- 05- 17","302.59","301.36","303.50","300.11","3.40M","-0.24%"
"2023- 05- 16","303.33","304.09","304.97","301.15","3.89M","0.07%"
"2023- 05- 15","303.11","300.13","303.11","297.95","3.40M","0.24%"
"2023- 05- 12","302.38","305.53","305.73","301.32","4.49M","-1.14%"
"2023- 05- 11","305.88","307.20","310.81","305.43","5.35M","0.08%"
"2023- 05- 10","305.63","310.48","310.99","304.16","5.17M","-2.12%"
"2023- 05- 09","312.25","310.99","313.05","306.57","5.27M","-0.25%"
"2023- 05- 08","313.02","314.02","317.26","311.34","9.29M","0.32%"
"2023- 05- 04","312.02","312.94","316.17","309.72","6.06M","-0.48%"
"2023- 05- 03","313.52","316.01","318.02","312.69","5.85M","-1.48%"
"2023- 05- 02","318.22","314.61","320.93","314.11","8.20M","1.00%"
"2023- 04- 28","315.08","319.54","319.91","312.02","7.72M","-0.62%"
"2023- 04- 27","317.05","314.70","318.11","310.53","6.99M","1.02%"
"2023- 04- 26","313.84","318.15","323.09","312.73","6.98M","-1.84%"
"2023- 04- 25","319.73","327.41","327.41","315.11","7.09M","-1.64%"
"2023- 04- 24","325.06","331.69","334.41","323.25","6.73M","-2.30%"
"2023- 04- 21","332.70","335.05","337.61","328.83","7.15M","-1.26%"
"2023- 04- 20","336.96","338.39","343.59","334.46","5.87M","-1.05%"
"2023- 04- 19","340.53","330.79","344.36","330.63","7.85M","3.05%"
"2023- 04- 18","330.44","339.71","339.71","328.62","8.46M","-1.48%"
"2023- 04- 17","335.42","322.73","335.45","322.54","8.96M","4.72%"
"2023- 04- 14","320.30","310.29","321.97","310.18","9.24M","4.63%"
"2023- 04- 13","306.13","304.37","306.98","298.95","5.33M","-0.22%"
"2023- 04- 12","306.79","306.14","311.97","305.43","6.97M","0.32%"
"2023- 04- 11","305.80","302.23","306.79","300.44","5.60M","1.47%"
"2023- 04- 10","301.37","301.88","304.38","299.33","6.26M","-0.16%"
"2023- 04- 07","301.84","299.89","302.42","297.68","6.13M","0.60%"
"2023- 04- 06","300.05","302.27","304.55","299.35","7.79M","-1.44%"
"2023- 04- 05","304.42","304.78","306.28","301.54","6.05M","0.32%"
"2023- 04- 04","303.45","304.55","308.45","301.65","6.64M","-0.12%"
"2023- 04- 03","303.80","301.23","307.12","300.18","9.15M","2.04%"
"2023- 03- 31","297.72","290.65","301.55","290.32","11.01M","2.31%"
"2023- 03- 30","291.01","289.77","293.24","285.93","9.08M","0.50%"
"2023- 03- 29","289.57","288.12","290.65","286.78","5.72M","0.32%"
"2023- 03- 28","288.65","286.56","288.65","284.34","5.77M","1.19%"
"2023- 03- 27","285.26","288.28","291.25","284.44","5.57M","-0.18%"
"2023- 03- 24","285.77","285.60","286.03","281.65","5.24M","0.18%"
"2023- 03- 23","285.27","283.86","287.39","282.18","7.28M","-0.27%"
"2023- 03- 22","286.03","289.09","290.17","285.53","5.46M","-0.20%"
"2023- 03- 21","286.60","289.43","291.70","285.42","6.69M","-0.30%"
"2023- 03- 20","287.47","286.68","292.61","285.84","5.54M","-0.11%"
"2023- 03- 17","287.79","293.04","294.05","287.48","7.33M","-1.15%"
"2023- 03- 16","291.14","285.94","294.35","285.73","9.36M","1.53%"
"2023- 03- 15","286.75","283.70","289.08","282.10","7.45M","3.17%"
"2023- 03- 14","277.94","285.58","286.35","276.18","7.20M","-2.87%"
"2023- 03- 13","286.14","284.70","286.19","278.30","6.93M","0.16%"
