Date,forward_stage,WTI,USDKRW,VIX,1,2,3,4,5,6,7,8,9,10,11,per_cn,pbr_cn
2011-04-01,down,107.94,1099.2,17.4,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,96.45,2.01
2011-04-04,down,108.47,1085.2,17.5,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,96.71,2.02
2011-04-05,down,108.34,1086.5,17.25,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,96.9,2.02
2011-04-06,down,108.83,1087.2,16.9,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,96.7,2.02
2011-04-07,neutral,110.3,1083.3,17.11,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,97.23,2.03
2011-04-08,neutral,112.79,1087.7,17.87,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,100.45,2.1
2011-04-11,neutral,109.92,1079.6,16.59,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,100.16,2.09
2011-04-12,up,106.25,1087.0,17.09,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,97.49,2.04
2011-04-13,neutral,107.11,1090.0,16.92,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,97.94,2.05
2011-04-14,down,108.11,1088.3,16.27,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,98.19,2.05
2011-04-15,down,109.66,1088.3,15.32,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,97.08,2.03
2011-04-18,down,107.12,1089.3,16.96,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,96.64,2.02
2011-04-19,neutral,108.15,1090.1,15.83,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,94.95,1.98
2011-04-20,down,111.45,1084.3,15.07,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,95.07,1.99
2011-04-21,down,112.29,1076.5,14.69,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,94.22,1.97
2011-04-25,down,112.28,1080.8,15.77,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,96.69,2.02
2011-04-26,down,112.21,1079.3,15.62,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,96.88,2.02
2011-04-27,down,112.76,1078.1,15.35,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,38.62,1.95
2011-04-28,down,112.86,1070.0,14.62,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,38.04,1.92
2011-04-29,down,113.93,1068.8,14.75,1686110.4,3.0,123.11,89.325,105.2,109.5,100.8,3.5,59.3,0.5,0.7,38.11,1.92
2011-05-02,down,113.52,1069.6,15.99,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,39.09,1.97
2011-05-03,down,111.05,1068.0,16.7,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,38.58,1.95
2011-05-04,down,109.24,1073.7,17.08,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,38.46,1.94
2011-05-06,down,97.18,1083.7,18.4,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,37.59,1.9
2011-05-09,down,102.55,1095.5,17.16,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,37.17,1.88
2011-05-11,down,98.21,1077.7,16.95,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,37.68,1.9
2011-05-12,down,98.97,1079.7,16.03,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,36.49,1.84
2011-05-13,down,99.65,1086.9,17.07,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,36.1,1.82
2011-05-16,down,97.37,1091.0,18.24,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,35.51,1.79
2011-05-17,down,96.91,1095.6,17.55,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,35.34,1.78
2011-05-18,down,100.1,1062.7,16.23,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,35.92,1.81
2011-05-19,down,98.44,1087.8,15.52,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,34.81,1.76
2011-05-20,down,99.49,1080.7,17.43,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,34.7,1.75
2011-05-23,down,97.7,1087.0,18.27,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,33.98,1.72
2011-05-24,down,99.59,1095.2,17.82,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,33.99,1.72
2011-05-25,down,101.32,1093.1,17.07,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,34.09,1.72
2011-05-26,down,100.23,1102.2,16.09,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,34.8,1.76
2011-05-27,down,100.59,1084.9,15.98,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,35.27,1.78
2011-05-31,down,102.7,1075.3,15.45,1694221.7,3.0,124.98,89.497,104.95,108.8,100.7,3.3,59.5,0.5,0.7,35.5,1.79
2011-06-01,down,100.29,1073.4,18.3,1697684.4,3.25,123.87,89.67,106.09,108.2,100.6,3.3,59.6,0.5,0.7,35.84,1.81
2011-06-02,down,100.4,1082.8,18.09,1697684.4,3.25,123.87,89.67,106.09,108.2,100.6,3.3,59.6,0.5,0.7,35.79,1.81
2011-06-03,down,100.22,1076.6,17.95,1697684.4,3.25,123.87,89.67,106.09,108.2,100.6,3.3,59.6,0.5,0.7,35.91,1.81
