"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","587.76","588.11","591.94","581.99","13.23M","0.96%"
"2023- 06- 29","582.18","588.22","591.82","582.18","12.16M","-1.84%"
"2023- 06- 28","593.10","592.11","594.94","591.14","10.80M","0.57%"
"2023- 06- 27","589.73","588.71","589.78","586.40","8.94M","0.15%"
"2023- 06- 26","588.82","584.97","592.55","581.96","10.49M","0.65%"
"2023- 06- 23","585.00","593.53","593.67","584.86","11.64M","-1.98%"
"2023- 06- 22","596.83","591.70","597.76","590.49","9.39M","1.07%"
"2023- 06- 21","590.54","592.53","593.76","589.52","12.45M","-0.63%"
"2023- 06- 20","594.30","596.79","598.95","593.31","9.23M","-0.51%"
"2023- 06- 19","597.36","602.75","602.75","596.25","10.47M","-0.87%"
"2023- 06- 16","602.58","605.66","608.07","600.51","22.31M","0.20%"
"2023- 06- 15","601.37","605.02","608.82","600.22","11.47M","-0.55%"
"2023- 06- 14","604.71","607.01","607.01","602.03","12.12M","-0.58%"
"2023- 06- 13","608.21","612.87","612.87","607.33","13.15M","-0.95%"
"2023- 06- 12","614.04","617.94","618.87","612.11","11.64M","-0.56%"
"2023- 06- 09","617.52","617.71","619.96","614.32","16.54M","0.34%"
"2023- 06- 08","615.42","614.56","617.67","613.93","18.55M","0.06%"
"2023- 06- 07","615.06","620.47","622.81","614.63","13.34M","0.00%"
"2023- 06- 05","615.05","612.41","618.24","612.15","11.61M","1.15%"
"2023- 06- 02","608.07","602.77","608.07","602.51","11.90M","1.33%"
"2023- 06- 01","600.09","606.08","609.00","599.59","12.57M","-0.95%"
"2023- 05- 31","605.85","606.92","612.95","603.38","33.00M","-0.13%"
"2023- 05- 30","606.64","605.81","607.36","600.27","13.22M","0.59%"
"2023- 05- 26","603.06","605.65","606.62","602.38","8.82M","-0.79%"
"2023- 05- 25","607.87","610.37","612.89","606.54","11.70M","-1.23%"
"2023- 05- 24","615.43","613.64","616.55","611.04","10.88M","0.10%"
"2023- 05- 23","614.80","614.19","617.61","613.88","10.96M","0.35%"
"2023- 05- 22","612.63","610.78","615.82","609.80","13.61M","0.32%"
"2023- 05- 19","610.67","605.54","611.06","604.82","12.20M","0.84%"
"2023- 05- 18","605.61","605.06","606.33","601.30","9.45M","0.73%"
"2023- 05- 17","601.21","602.06","605.29","600.56","9.85M","-0.41%"
"2023- 05- 16","603.68","602.90","609.57","601.82","12.03M","0.20%"
"2023- 05- 15","602.47","602.47","603.25","597.89","12.41M","0.15%"
"2023- 05- 12","601.55","610.08","610.45","600.64","18.03M","-1.53%"
"2023- 05- 11","610.89","606.83","615.88","606.46","16.21M","1.04%"
"2023- 05- 10","604.63","607.31","609.37","600.48","14.70M","-0.81%"
"2023- 05- 09","609.54","608.78","610.54","604.90","10.59M","-0.20%"
"2023- 05- 08","610.77","603.22","614.27","602.61","14.93M","1.76%"
"2023- 05- 04","600.23","598.28","601.66","594.99","12.07M","0.03%"
"2023- 05- 03","600.07","603.99","606.39","598.35","18.44M","-0.70%"
"2023- 05- 02","604.30","600.50","606.24","598.04","11.20M","0.52%"
"2023- 04- 28","601.19","595.44","603.49","595.44","18.88M","1.26%"
"2023- 04- 27","593.71","597.83","598.04","589.16","16.54M","-1.22%"
"2023- 04- 26","601.06","604.70","604.72","596.10","13.82M","-1.18%"
"2023- 04- 25","608.26","602.89","613.55","600.66","16.89M","1.20%"
"2023- 04- 24","601.02","607.13","607.13","599.61","11.63M","-1.07%"
"2023- 04- 21","607.55","607.07","609.03","604.43","10.11M","-0.60%"
"2023- 04- 20","611.24","604.33","611.26","601.88","12.11M","0.99%"
"2023- 04- 19","605.24","601.11","607.03","600.67","13.44M","0.88%"
"2023- 04- 18","599.97","597.91","600.70","593.29","12.19M","0.47%"
"2023- 04- 17","597.18","600.67","601.94","594.17","11.55M","-0.34%"
"2023- 04- 14","599.21","590.59","602.44","590.56","18.93M","2.04%"
"2023- 04- 13","587.23","581.99","587.57","580.36","17.41M","0.50%"
"2023- 04- 12","584.32","581.09","586.02","580.76","14.28M","0.52%"
"2023- 04- 11","581.31","576.25","584.13","574.73","15.95M","0.99%"
"2023- 04- 10","575.60","577.02","582.40","575.55","12.65M","-0.80%"
"2023- 04- 07","580.23","573.49","581.80","572.16","13.10M","1.13%"
"2023- 04- 06","573.74","585.21","585.51","573.70","16.31M","-2.15%"
"2023- 04- 05","586.35","586.78","591.69","585.36","11.63M","-0.03%"
"2023- 04- 04","586.53","582.26","586.56","578.69","12.38M","0.95%"
"2023- 04- 03","581.02","587.18","587.18","580.15","14.70M","-0.98%"
"2023- 03- 31","586.77","581.51","588.80","580.95","28.79M","0.77%"
"2023- 03- 30","582.30","584.85","587.02","580.14","53.64M","-1.00%"
"2023- 03- 29","588.17","585.65","590.57","583.23","13.62M","0.36%"
"2023- 03- 28","586.06","581.72","587.51","580.32","15.05M","1.99%"
"2023- 03- 27","574.60","578.74","578.74","570.30","14.31M","-0.58%"
"2023- 03- 24","577.98","586.01","587.41","577.37","17.37M","-2.68%"
"2023- 03- 23","593.89","588.65","593.89","587.58","13.81M","0.03%"
"2023- 03- 22","593.71","597.39","599.37","591.77","13.51M","0.71%"
"2023- 03- 21","589.50","589.14","593.88","586.92","13.92M","0.59%"
"2023- 03- 20","586.02","587.50","596.13","584.81","14.27M","-0.48%"
"2023- 03- 17","588.85","589.85","594.89","586.52","25.77M","0.95%"
"2023- 03- 16","583.29","585.96","587.64","581.66","20.20M","-2.00%"
"2023- 03- 15","595.20","597.06","603.39","592.29","18.38M","0.93%"
"2023- 03- 14","589.70","598.85","600.32","588.38","23.79M","-3.08%"
"2023- 03- 13","608.47","602.30","609.36","594.53","18.37M","0.95%"
"2023- 03- 10","602.77","602.85","605.01","598.74","22.34M","-1.40%"
"2023- 03- 09","611.31","610.09","618.67","609.41","27.23M","0.13%"
"2023- 03- 08","610.54","612.61","617.75","609.17","16.90M","-1.16%"
"2023- 03- 07","617.72","615.35","621.11","613.43","15.00M","-0.08%"
"2023- 03- 06","618.21","620.38","622.12","614.57","17.94M","0.22%"
"2023- 03- 03","616.84","627.30","628.96","616.41","20.46M","-1.54%"
"2023- 03- 02","626.51","634.08","638.47","623.65","22.57M","-1.44%"
"2023- 02- 28","635.64","629.82","636.22","628.31","24.13M","1.16%"
"2023- 02- 27","628.33","626.11","631.76","622.36","20.13M","-0.01%"
"2023- 02- 24","628.42","622.15","634.84","621.75","19.31M","0.55%"
"2023- 02- 23","625.01","618.47","631.47","618.33","32.14M","1.16%"
"2023- 02- 22","617.87","623.97","625.92","617.57","17.22M","-1.63%"
"2023- 02- 21","628.12","626.18","632.17","622.37","14.86M","0.39%"
"2023- 02- 20","625.68","622.77","627.37","618.23","11.13M","0.49%"
"2023- 02- 17","622.65","613.46","628.62","611.99","17.72M","0.84%"
"2023- 02- 16","617.46","616.26","618.67","610.80","22.87M","0.33%"
"2023- 02- 15","615.44","632.39","632.46","613.86","26.75M","-3.28%"
"2023- 02- 14","636.32","653.20","654.48","635.20","19.63M","-2.00%"
"2023- 02- 13","649.29","649.69","656.63","646.02","17.35M","-0.34%"
"2023- 02- 10","651.49","643.34","651.94","640.65","19.27M","1.51%"
"2023- 02- 09","641.79","655.76","658.99","640.83","24.79M","-2.42%"
"2023- 02- 08","657.73","653.30","666.73","651.73","25.37M","1.54%"
"2023- 02- 07","647.73","646.09","649.40","641.28","16.25M","0.17%"
"2023- 02- 06","646.63","650.99","653.00","641.84","17.14M","-1.62%"
"2023- 02- 03","657.26","649.74","662.40","646.78","19.95M","0.87%"
"2023- 02- 02","651.57","666.46","666.48","649.85","28.59M","-2.00%"
"2023- 02- 01","664.90","656.60","668.14","656.55","19.88M","1.58%"
"2023- 01- 31","654.56","670.68","673.34","652.59","24.56M","-2.48%"
"2023- 01- 30","671.24","681.85","683.58","671.08","24.66M","-2.25%"
"2023- 01- 27","686.66","684.28","690.08","678.94","26.11M","-0.29%"
"2023- 01- 26","688.67","682.53","689.97","678.72","20.79M","0.99%"
"2023- 01- 25","681.93","677.15","684.82","676.82","15.31M","1.22%"
"2023- 01- 20","673.70","669.55","677.90","669.44","14.53M","0.51%"
"2023- 01- 19","670.29","666.44","673.96","666.03","17.56M","-0.46%"
"2023- 01- 18","673.36","677.92","677.92","667.11","17.41M","-0.93%"
"2023- 01- 17","679.66","685.86","686.83","678.53","21.06M","-0.87%"
"2023- 01- 16","685.63","661.04","688.55","661.04","35.06M","3.81%"
"2023- 01- 13","660.48","651.19","662.21","646.37","26.03M","2.08%"
"2023- 01- 12","647.02","646.38","650.50","644.90","20.80M","0.41%"
"2023- 01- 11","644.41","657.51","658.51","641.58","17.04M","-1.90%"
"2023- 01- 10","656.92","648.56","658.09","644.32","19.85M","0.82%"
"2023- 01- 09","651.56","653.88","656.91","643.89","21.78M","0.40%"
"2023- 01- 06","648.98","628.42","653.70","627.98","26.76M","2.55%"
"2023- 01- 05","632.86","606.36","635.07","606.36","35.36M","4.91%"
"2023- 01- 04","603.24","579.48","603.35","579.29","17.01M","3.45%"
"2023- 01- 03","583.14","579.61","585.74","568.68","15.92M","1.17%"
"2023- 01- 02","576.42","589.58","591.32","576.42","14.82M","-2.30%"
"2022- 12- 29","589.98","596.42","599.74","589.98","21.39M","-1.83%"
"2022- 12- 28","600.98","607.63","607.63","597.22","36.09M","-4.66%"
"2022- 12- 27","630.36","628.11","630.60","624.34","30.87M","0.80%"
"2022- 12- 26","625.33","627.07","628.72","622.60","16.23M","-0.37%"
"2022- 12- 23","627.67","631.50","635.10","627.25","16.56M","-1.39%"
"2022- 12- 22","636.52","632.29","636.52","626.86","143.92M","0.55%"
"2022- 12- 21","633.04","633.69","635.50","629.16","12.02M","0.31%"
"2022- 12- 20","631.09","627.67","633.66","627.50","13.60M","0.59%"
"2022- 12- 19","627.38","622.32","630.38","621.79","12.01M","0.25%"
"2022- 12- 16","625.80","617.30","626.06","615.92","17.58M","0.29%"
"2022- 12- 15","624.00","634.60","636.20","624.00","16.85M","-2.27%"
"2022- 12- 14","638.50","643.66","643.84","635.70","14.32M","-0.29%"
"2022- 12- 13","640.35","638.44","643.51","634.41","17.18M","0.18%"
