Date,forward_stage,WTI,USDKRW,VIX,M2,1,2,3,4,5,6,7,8
2007-01-02,neutral,61,914,12,1144712,5,77,77,64,109,101,3,60
2007-01-03,neutral,58,914,12,1144712,5,77,77,64,109,101,3,60
2007-01-04,up,56,925,12,1144712,5,77,77,64,109,101,3,60
2007-01-05,up,56,925,12,1144712,5,77,77,64,109,101,3,60
2007-01-08,up,56,924,12,1144712,5,77,77,64,109,101,3,60
2007-01-09,up,56,928,12,1144712,5,77,77,64,109,101,3,60
2007-01-10,up,54,930,11,1144712,5,77,77,64,109,101,3,60
2007-01-11,up,52,930,11,1144712,5,77,77,64,109,101,3,60
2007-01-12,up,53,928,10,1144712,5,77,77,64,109,101,3,60
2007-01-16,up,51,925,11,1144712,5,77,77,64,109,101,3,60
2007-01-17,up,52,925,11,1144712,5,77,77,64,109,101,3,60
2007-01-18,up,50,924,11,1144712,5,77,77,64,109,101,3,60
2007-01-19,up,52,927,10,1144712,5,77,77,64,109,101,3,60
2007-01-22,up,51,931,11,1144712,5,77,77,64,109,101,3,60
2007-01-23,up,55,923,10,1144712,5,77,77,64,109,101,3,60
2007-01-24,up,55,928,10,1144712,5,77,77,64,109,101,3,60
2007-01-25,up,54,929,11,1144712,5,77,77,64,109,101,3,60
2007-01-26,up,55,929,11,1144712,5,77,77,64,109,101,3,60
2007-01-29,up,54,925,11,1144712,5,77,77,64,109,101,3,60
2007-01-30,up,57,931,11,1144712,5,77,77,64,109,101,3,60
2007-01-31,up,58,924,10,1144712,5,77,77,64,109,101,3,60
2007-02-01,up,57,926,10,1153967,5,71,77,61,110,101,3,60
2007-02-02,up,59,931,10,1153967,5,71,77,61,110,101,3,60
2007-02-05,up,59,925,11,1153967,5,71,77,61,110,101,3,60
2007-02-06,up,59,917,11,1153967,5,71,77,61,110,101,3,60
2007-02-07,up,58,919,10,1153967,5,71,77,61,110,101,3,60
2007-02-08,up,60,920,10,1153967,5,71,77,61,110,101,3,60
2007-02-09,up,60,922,11,1153967,5,71,77,61,110,101,3,60
2007-02-12,up,58,926,12,1153967,5,71,77,61,110,101,3,60
2007-02-13,up,59,927,10,1153967,5,71,77,61,110,101,3,60
2007-02-14,up,58,927,10,1153967,5,71,77,61,110,101,3,60
2007-02-15,up,58,923,10,1153967,5,71,77,61,110,101,3,60
