Date,1_PER,1_PBR,2_PER,2_PBR,3_PER,3_PBR,4_PER,4_PBR,5_PER,5_PBR,6_PER,6_PBR,7_PER,7_PBR,8_PER,8_PBR,9_PER,9_PBR
20170103,13.49,1.02,14.62,0.86,,0.84,10.3,0.63,11.54,1.1,21.02,1.46,9.47,0.63,10.95,1.03,10.94,0.88
20170104,13.5,1.02,14.87,0.88,,0.82,10.29,0.63,11.53,1.1,21.07,1.46,9.62,0.64,10.94,1.03,10.97,0.88
20170105,13.44,1.02,14.83,0.88,,0.84,10.18,0.63,11.5,1.1,20.95,1.45,9.47,0.63,11.07,1.04,11.05,0.89
20170106,13.51,1.02,14.8,0.88,,0.85,10.27,0.63,11.52,1.1,21.2,1.47,9.48,0.63,11.05,1.04,10.94,0.88
20170109,13.53,1.02,14.46,0.86,,0.85,10.12,0.62,11.52,1.1,21.47,1.49,9.41,0.63,10.88,1.02,10.86,0.87
20170110,13.53,1.02,14.37,0.85,,0.85,10.14,0.62,11.47,1.1,21.49,1.49,9.41,0.63,10.83,1.02,10.89,0.87
20170111,13.76,1.04,14.53,0.86,,0.87,10.82,0.67,11.74,1.12,21.93,1.52,9.51,0.63,10.92,1.03,10.81,0.87
20170112,13.85,1.05,14.74,0.87,,0.87,10.85,0.67,11.85,1.13,21.98,1.52,9.56,0.64,10.99,1.03,10.86,0.87
20170113,13.75,1.04,14.8,0.88,,0.86,10.95,0.67,11.82,1.13,21.68,1.5,9.53,0.63,11.14,1.05,10.93,0.88
20170117,13.72,1.04,14.5,0.86,,0.85,10.84,0.67,11.75,1.12,21.43,1.49,9.84,0.65,11.15,1.05,10.96,0.88
20170118,13.71,1.04,14.48,0.86,,0.85,10.85,0.67,11.62,1.11,21.41,1.48,9.87,0.66,11.08,1.04,10.99,0.88
20170119,13.74,1.04,14.21,0.84,,0.84,11.01,0.68,11.6,1.11,21.6,1.5,9.78,0.65,11.1,1.05,10.88,0.87
20170120,13.68,1.03,14.08,0.83,,0.83,10.86,0.67,11.41,1.09,21.51,1.49,9.77,0.65,11.16,1.05,10.84,0.87
20170123,13.71,1.04,14.15,0.84,,0.83,10.8,0.66,11.42,1.09,21.75,1.51,9.65,0.64,11.11,1.05,10.7,0.86
20170124,13.72,1.04,14.22,0.84,,0.83,10.85,0.67,11.44,1.09,21.78,1.51,9.62,0.64,11.21,1.06,10.63,0.85
20170125,13.77,1.04,13.94,0.82,,0.82,10.65,0.66,11.39,1.09,21.99,1.53,9.7,0.65,11.11,1.05,10.44,0.84
20170126,13.89,1.05,14.2,0.84,,0.83,10.74,0.66,11.52,1.1,22.21,1.54,9.8,0.65,11.11,1.05,10.47,0.84
20170127,,,,,,,,,,,,,,,,,,
20170130,,,,,,,,,,,,,,,,,,
20170131,13.77,1.04,14.37,0.85,,0.81,10.63,0.65,11.24,1.08,22.24,1.54,9.81,0.65,11.15,1.05,10.18,0.82
20170201,13.84,1.05,14.73,0.87,,0.84,10.89,0.67,11.45,1.1,22.44,1.56,9.88,0.66,11.08,1.04,10.28,0.82
20170202,13.79,1.04,14.48,0.86,,0.84,10.69,0.66,11.56,1.11,22.35,1.55,9.82,0.65,10.91,1.03,10.17,0.82
20170203,13.81,1.04,14.4,0.85,,0.83,10.58,0.65,11.42,1.09,22.48,1.56,9.89,0.66,10.99,1.03,10.19,0.82
20170206,13.84,1.05,14.4,0.85,,0.84,10.47,0.64,11.4,1.09,22.52,1.56,9.98,0.66,11.09,1.04,10.14,0.81
20170207,13.81,1.04,14.5,0.86,,0.84,10.38,0.64,11.3,1.08,22.43,1.56,10.03,0.67,11.16,1.05,10.3,0.83
20170208,13.75,1.04,14.38,0.85,,0.84,10.29,0.63,11.31,1.08,22.49,1.56,9.99,0.67,11.0,1.04,10.3,0.83
20170209,13.75,1.04,14.81,0.88,,0.85,10.38,0.64,11.36,1.09,22.33,1.55,10.03,0.67,10.94,1.03,10.27,0.82
20170210,13.8,1.04,14.95,0.88,,0.86,10.4,0.64,11.61,1.11,22.07,1.53,10.11,0.67,11.05,1.04,10.33,0.83
20170213,13.8,1.04,14.99,0.89,,0.86,10.58,0.65,11.69,1.12,22.0,1.53,10.11,0.67,11.15,1.05,10.37,0.83
20170214,13.76,1.04,15.05,0.89,,0.86,10.7,0.66,11.61,1.11,21.62,1.5,10.12,0.67,11.15,1.05,10.48,0.84
20170215,13.8,1.04,14.95,0.88,,0.87,10.78,0.66,11.73,1.12,21.63,1.5,10.01,0.67,11.19,1.05,10.61,0.85
