날짜,레이블,WTI,환율,VIX,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,ev_ebitda
2013-06-04,down,93.31,1118.8,16.27,1.15,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555549548.0,-973.33,17616.58,57.58,10.22,31.05,93.54,10.03,0.0676766267
2013-06-05,down,93.74,1122.4,17.5,1.13,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555553198.0,-2431.28,638.53,54.36,9.25,29.69,89.65,9.72,0.0688159875
2013-06-07,neutral,96.03,1118.2,15.14,1.13,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555556298.0,-3796.17,1969.17,51.49,8.65,28.87,81.21,9.88,0.0690489583
2013-06-10,neutral,95.77,1097.1,15.44,1.14,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555552318.0,-1236.83,4135.78,55.65,7.95,27.98,75.7,9.97,0.0685857663
2013-06-11,neutral,95.38,1097.1,17.07,1.13,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555554678.0,-1277.02,7317.06,53.58,6.72,27.32,73.63,10.29,0.0671215445
2013-06-12,neutral,95.88,1097.1,18.59,1.11,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555558958.0,-2361.62,8974.82,49.67,5.36,26.62,69.12,10.33,0.0675651066
2013-06-13,up,96.69,1127.2,16.41,1.1,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555561698.0,-3934.63,-627.66,47.03,3.97,26.35,72.16,10.35,0.068700684
2013-06-14,up,97.85,1129.2,17.15,1.1,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555556318.0,-748.25,4239.95,51.91,2.78,26.53,73.92,10.68,0.0679019343
2013-06-17,up,97.77,1126.5,16.8,1.09,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555559318.0,-2062.91,5038.99,49.18,1.0,26.49,72.25,10.97,0.0685857663
2013-06-18,up,98.44,1125.97,16.61,1.1,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555555758.0,1447.45,8421.14,52.44,-0.87,26.64,73.84,11.35,0.0685857663
2013-06-19,up,98.24,1133.5,16.64,1.07,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555558828.0,-2543.11,45426.55,49.78,-3.25,27.1,68.63,11.37,0.0708434121
2013-06-20,up,95.4,1129.6,20.49,1.03,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555563468.0,-4830.15,23004.31,45.59,-5.25,27.7,60.22,10.14,0.0737847615
2013-06-21,up,93.69,1144.9,18.9,1.01,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555571208.0,4733.77,-2514.3,37.89,-5.95,29.66,43.81,9.69,0.0743211122
2013-06-24,up,95.18,1156.9,20.11,1.01,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555577838.0,-1716.37,3842.44,30.24,-6.31,29.37,40.55,9.68,0.0743211122
2013-06-25,up,95.32,1160.6,18.47,0.99,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555581828.0,-2152.62,2227.1,25.08,-6.39,29.47,35.68,9.81,0.0750036774
2013-06-26,up,95.5,1152.3,17.21,1.0,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555576648.0,677.37,-10922.34,27.51,-5.97,29.58,40.77,9.63,0.0748667269
2013-06-27,up,97.05,1155.1,16.86,1.02,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555572358.0,2225.0,-4306.65,29.73,-5.56,29.12,44.17,9.54,0.0743211122
2013-06-28,up,96.56,1147.2,16.86,1.04,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1,-555567908.0,3862.49,-5528.65,32.28,-5.61,29.46,52.02,9.5,0.0731254482
2013-07-01,up,97.99,1121.9,16.37,1.04,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555562988.0,409.52,-840.0,35.44,-6.33,30.2,55.44,9.63,0.0722211731
2013-07-02,up,99.6,1134.3,16.44,1.05,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555559978.0,2683.81,9215.04,37.55,-7.26,31.56,44.54,9.9,0.071966344
2013-07-03,up,101.24,1133.0,16.2,1.01,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555563328.0,-3929.41,30380.02,33.45,-8.63,33.04,26.14,9.53,0.0737847615
2013-07-05,up,103.22,1138.9,14.89,1.02,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555555538.0,-1331.41,11054.05,38.61,-8.99,33.94,26.59,9.2,0.0741866408
2013-07-08,up,103.14,1141.6,14.78,1.0,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555558178.0,-1424.44,5041.89,35.61,-9.08,33.78,20.96,9.17,0.0740526551
2013-07-09,up,103.53,1147.4,14.35,1.01,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555555288.0,1248.98,-2057.84,37.45,-8.63,32.75,30.77,9.29,0.0731254482
2013-07-10,up,106.52,1140.9,14.21,1.0,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555557698.0,-2110.57,-15327.39,34.85,-8.07,30.91,26.61,9.58,0.0735201582
2013-07-11,up,104.91,1134.6,14.01,1.04,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555555248.0,4530.0,-15252.62,36.27,-6.93,28.98,33.62,9.15,0.071463327
2013-07-12,up,105.95,1123.4,13.84,1.04,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555550718.0,746.3,2832.92,39.08,-6.89,27.16,30.84,8.9,0.071463327
2013-07-15,up,106.32,1123.8,13.79,1.04,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8,-555547468.0,2321.67,-5354.45,41.23,-6.84,25.95,31.12,9.17,0.0712138087
