Date,1_PER,1_PBR,2_PER,2_PBR,3_PER,3_PBR,4_PER,4_PBR,5_PER,5_PBR,6_PER,6_PBR,7_PER,7_PBR,8_PER,8_PBR,9_PER,9_PBR
20220701,9.04,0.9,8.77,0.83,,1.15,3.17,0.44,7.75,0.89,9.49,1.04,4.71,0.45,,0.66,9.99,0.73
20220705,9.19,0.91,8.61,0.82,,1.11,3.23,0.45,7.82,0.9,9.87,1.08,4.69,0.45,,0.66,9.99,0.73
20220706,8.99,0.89,8.19,0.78,,1.04,3.07,0.42,7.45,0.86,9.71,1.06,4.51,0.44,,0.65,9.71,0.71
20220707,9.17,0.91,8.37,0.8,,1.06,3.09,0.43,7.59,0.87,9.97,1.09,4.52,0.44,,0.66,9.81,0.72
20220708,9.22,0.91,8.45,0.8,,1.07,3.11,0.43,7.65,0.88,9.94,1.09,4.59,0.44,,0.66,9.98,0.73
20220711,9.17,0.91,8.32,0.79,,1.05,3.09,0.43,7.5,0.86,9.86,1.08,4.55,0.44,,0.65,9.92,0.72
20220712,9.07,0.9,8.14,0.77,,1.04,3.01,0.42,7.34,0.84,9.75,1.07,4.5,0.43,,0.65,9.87,0.72
20220713,9.12,0.9,8.14,0.77,,1.03,3.04,0.42,7.38,0.85,9.82,1.08,4.48,0.43,,0.66,10.11,0.74
20220714,9.08,0.9,8.09,0.77,,1.03,3.02,0.42,7.45,0.86,9.84,1.08,4.43,0.43,,0.66,10.06,0.73
20220715,9.16,0.91,7.96,0.76,,1.02,3.0,0.41,7.32,0.84,10.09,1.1,4.33,0.42,,0.65,10.08,0.74
20220718,9.37,0.93,8.26,0.79,,1.06,3.06,0.42,7.44,0.86,10.24,1.12,4.5,0.43,,0.65,10.19,0.74
20220719,9.34,0.93,8.26,0.79,,1.05,3.09,0.43,7.51,0.86,10.16,1.11,4.5,0.43,,0.66,10.34,0.76
20220720,9.4,0.93,8.35,0.79,,1.05,3.12,0.43,7.63,0.88,10.3,1.13,4.61,0.45,,0.66,10.37,0.76
20220721,9.51,0.94,8.38,0.8,,1.07,3.14,0.43,7.77,0.89,10.42,1.14,4.65,0.45,,0.66,10.41,0.76
20220722,9.44,0.94,8.35,0.79,,1.08,3.13,0.43,7.67,0.88,10.32,1.13,4.59,0.44,,0.66,10.39,0.76
20220725,9.47,0.94,8.41,0.8,,1.08,3.15,0.44,7.71,0.89,10.29,1.13,4.59,0.44,,0.66,10.6,0.77
20220726,9.51,0.94,8.52,0.81,,1.08,3.17,0.44,7.79,0.9,10.33,1.13,4.57,0.44,,0.67,10.62,0.78
20220727,9.51,0.94,8.54,0.81,,1.08,3.15,0.43,7.79,0.9,10.32,1.13,4.57,0.44,,0.67,10.59,0.77
20220728,9.57,0.95,8.67,0.82,,1.1,3.18,0.44,8.02,0.92,10.41,1.14,4.59,0.44,,0.66,10.59,0.77
20220729,9.62,0.95,8.75,0.83,,1.13,3.25,0.45,8.16,0.94,10.34,1.13,4.65,0.45,,0.67,10.67,0.78
20220801,9.61,0.95,8.85,0.84,,1.15,3.25,0.45,8.22,0.95,10.35,1.13,4.6,0.44,,0.66,10.64,0.78
20220802,9.57,0.95,8.81,0.84,,1.16,3.18,0.44,8.11,0.93,10.27,1.13,4.58,0.44,,0.66,10.64,0.78
20220803,9.63,0.96,8.85,0.84,,1.17,3.2,0.44,8.16,0.94,10.36,1.13,4.64,0.45,,0.66,10.74,0.78
20220804,9.68,0.96,8.82,0.84,,1.14,3.18,0.44,8.08,0.93,10.46,1.15,4.67,0.45,,0.66,10.74,0.78
20220805,9.74,0.97,8.94,0.85,,1.16,3.27,0.45,8.26,0.95,10.51,1.15,4.76,0.46,,0.66,10.68,0.78
20220808,9.73,0.97,9.07,0.86,,1.18,3.35,0.46,8.37,0.96,10.39,1.14,4.79,0.46,,0.66,10.74,0.78
20220809,9.76,0.97,9.26,0.88,,1.19,3.38,0.47,8.42,0.97,10.43,1.14,4.83,0.47,,0.66,10.73,0.78
