Date,1_PER,1_PBR,2_PER,2_PBR,3_PER,3_PBR,4_PER,4_PBR,5_PER,5_PBR,6_PER,6_PBR,7_PER,7_PBR,8_PER,8_PBR,9_PER,9_PBR
20110401,18.73,1.66,96.45,2.01,25.3,2.0,13.17,1.22,22.87,2.51,16.69,1.95,17.97,1.29,16.18,0.92,18.13,2.21
20110404,18.68,1.65,96.71,2.02,24.94,1.97,13.16,1.22,21.94,2.41,16.75,1.95,18.34,1.32,16.33,0.93,18.06,2.21
20110405,18.82,1.66,96.9,2.02,25.37,2.01,13.21,1.23,22.58,2.48,16.84,1.96,18.27,1.31,16.35,0.93,18.15,2.22
20110406,18.78,1.66,96.7,2.02,25.64,2.03,13.19,1.22,22.91,2.51,16.57,1.93,17.85,1.28,16.18,0.92,18.58,2.27
20110407,18.74,1.66,97.23,2.03,25.94,2.05,13.21,1.23,22.99,2.52,16.39,1.91,17.84,1.28,16.03,0.91,18.48,2.26
20110408,18.79,1.66,100.45,2.1,26.69,2.11,13.2,1.22,23.24,2.55,16.29,1.9,17.7,1.27,15.98,0.91,18.48,2.26
20110411,18.75,1.66,100.16,2.09,26.6,2.1,13.18,1.22,23.36,2.56,16.31,1.9,17.45,1.25,15.83,0.9,18.51,2.26
20110412,18.45,1.63,97.49,2.04,25.97,2.05,13.08,1.21,22.86,2.51,16.08,1.88,17.28,1.24,15.73,0.89,18.12,2.21
20110413,18.75,1.66,97.94,2.05,26.31,2.08,13.17,1.22,23.23,2.55,16.39,1.91,17.38,1.25,15.82,0.9,18.78,2.29
20110414,18.92,1.67,98.19,2.05,26.54,2.1,13.28,1.23,23.52,2.58,16.46,1.92,17.29,1.24,15.87,0.9,19.35,2.36
20110415,18.9,1.67,97.08,2.03,26.26,2.08,13.3,1.23,23.74,2.61,16.37,1.91,17.29,1.24,15.87,0.9,19.41,2.37
20110418,18.88,1.67,96.64,2.02,26.22,2.07,13.08,1.21,24.55,2.69,16.14,1.88,16.87,1.21,15.8,0.9,19.67,2.4
20110419,18.75,1.66,94.95,1.98,25.25,2.0,13.08,1.21,24.21,2.66,16.3,1.9,16.73,1.2,15.69,0.89,19.52,2.38
20110420,19.19,1.7,95.07,1.99,25.11,1.98,13.41,1.24,24.86,2.73,17.01,1.98,17.21,1.24,15.87,0.9,19.83,2.42
20110421,19.48,1.72,94.22,1.97,25.81,2.04,13.32,1.24,26.32,2.89,17.28,2.02,16.93,1.22,16.08,0.91,20.04,2.45
20110425,19.61,1.73,96.69,2.02,26.76,2.11,13.31,1.23,26.53,2.91,16.87,1.97,17.07,1.23,16.08,0.91,20.76,2.53
20110426,19.52,1.73,96.88,2.02,26.4,2.09,13.14,1.22,26.3,2.89,16.8,1.96,17.04,1.22,16.04,0.91,20.75,2.53
20110427,12.96,1.51,38.62,1.95,10.75,1.74,10.9,1.1,15.77,2.28,11.43,1.63,13.05,1.18,11.99,0.86,13.57,2.09
20110428,12.97,1.51,38.04,1.92,10.89,1.76,10.9,1.1,15.93,2.31,11.25,1.61,12.98,1.17,11.88,0.85,13.91,2.15
20110429,12.87,1.5,38.11,1.92,10.81,1.75,10.63,1.07,15.45,2.24,11.15,1.59,13.41,1.21,11.98,0.86,13.63,2.1
20110502,13.09,1.53,39.09,1.97,10.91,1.77,10.78,1.09,15.54,2.25,11.51,1.64,13.45,1.21,12.14,0.87,13.93,2.15
20110503,12.92,1.51,38.58,1.95,10.56,1.71,10.71,1.08,14.97,2.17,11.53,1.65,13.4,1.21,12.2,0.87,13.58,2.1
20110504,12.79,1.49,38.46,1.94,10.3,1.67,10.76,1.09,14.96,2.17,11.24,1.61,13.25,1.19,12.31,0.88,13.5,2.08
20110505,,,,,,,,,,,,,,,,,,
20110506,12.58,1.47,37.59,1.9,9.96,1.61,10.54,1.06,14.51,2.1,11.08,1.58,13.1,1.18,12.42,0.89,13.31,2.05
20110509,12.53,1.46,37.17,1.88,9.99,1.62,10.47,1.06,14.67,2.13,11.03,1.58,12.97,1.17,12.2,0.87,13.26,2.05
20110510,,,,,,,,,,,,,,,,,,
20110511,12.7,1.48,37.68,1.9,10.17,1.65,10.51,1.06,15.06,2.18,11.18,1.6,13.08,1.18,12.14,0.87,13.53,2.09
20110512,12.43,1.45,36.49,1.84,9.85,1.59,10.24,1.03,14.56,2.11,11.09,1.59,12.83,1.16,11.95,0.85,13.15,2.03
20110513,12.42,1.45,36.1,1.82,9.74,1.58,10.28,1.04,14.34,2.08,11.37,1.62,12.56,1.13,12.02,0.86,13.07,2.02
20110516,12.32,1.44,35.51,1.79,9.7,1.57,10.1,1.02,14.44,2.09,11.23,1.61,12.37,1.11,12.06,0.86,12.93,2.0
20110517,12.31,1.44,35.34,1.78,9.55,1.54,10.05,1.01,14.55,2.11,11.11,1.59,12.42,1.12,12.06,0.86,13.11,2.02
20110518,12.53,1.46,35.92,1.81,10.01,1.62,10.28,1.04,15.11,2.19,11.09,1.59,12.48,1.12,12.1,0.87,13.45,2.08
20110519,12.29,1.43,34.81,1.76,9.83,1.59,10.11,1.02,14.83,2.15,10.85,1.55,12.25,1.1,12.05,0.86,13.16,2.03
20110520,12.39,1.45,34.7,1.75,9.93,1.61,10.18,1.03,14.8,2.14,10.91,1.56,12.25,1.1,12.29,0.88,13.42,2.07
20110523,12.05,1.41,33.98,1.72,9.4,1.52,10.01,1.01,14.11,2.04,10.67,1.53,12.12,1.09,12.27,0.88,12.93,2.0
20110524,12.08,1.41,33.99,1.72,9.35,1.51,10.02,1.01,14.31,2.07,10.6,1.51,12.17,1.1,12.22,0.87,13.07,2.02
20110525,11.93,1.39,34.09,1.72,9.2,1.49,9.84,0.99,13.87,2.01,10.47,1.5,12.06,1.09,12.18,0.87,12.99,2.0
20110526,12.27,1.43,34.8,1.76,9.53,1.54,9.94,1.0,14.57,2.11,10.73,1.53,12.19,1.1,12.22,0.87,13.62,2.1
20110527,12.31,1.44,35.27,1.78,9.62,1.55,9.87,1.0,14.5,2.1,10.83,1.55,12.16,1.1,12.16,0.87,13.76,2.12
20110531,12.57,1.47,35.5,1.79,10.28,1.66,10.0,1.01,15.38,2.23,10.81,1.54,12.24,1.1,12.34,0.88,14.03,2.17
20110601,12.56,1.47,35.84,1.81,10.37,1.67,9.97,1.01,15.45,2.24,10.82,1.55,12.4,1.12,12.33,0.88,13.72,2.12
20110602,12.39,1.45,35.79,1.81,10.44,1.69,9.81,0.99,15.26,2.21,10.51,1.5,12.24,1.1,12.13,0.87,13.64,2.1
20110603,12.39,1.45,35.91,1.81,10.47,1.69,9.75,0.98,14.86,2.16,10.46,1.5,12.52,1.13,12.28,0.88,13.68,2.11
20110606,,,,,,,,,,,,,,,,,,
