base_date,m_return,kospi,before_last
2007-02-28,0.042,1417.34,2007-02-27
2007-03-30,0.025,1452.55,2007-03-29
2007-04-30,0.062,1542.24,2007-04-29
2007-05-31,0.103,1700.91,2007-05-30
2007-06-29,0.025,1743.6,2007-06-28
2007-07-31,0.109,1933.27,2007-07-30
2007-08-31,-0.031,1873.24,2007-08-30
2007-09-28,0.039,1946.48,2007-09-27
2007-10-31,0.061,2064.85,2007-10-30
2007-11-30,-0.077,1906.0,2007-11-29
2007-12-31,-0.005,1897.13,2007-12-30
2008-01-31,-0.144,1624.68,2008-01-30
2008-02-29,0.054,1711.62,2008-02-28
2008-03-31,-0.004,1703.99,2008-03-30
2008-04-30,0.071,1825.47,2008-04-29
2008-05-30,0.015,1852.02,2008-05-29
2008-06-30,-0.096,1674.92,2008-06-29
2008-07-31,-0.048,1594.67,2008-07-30
2008-08-29,-0.076,1474.24,2008-08-28
2008-09-30,-0.018,1448.06,2008-09-29
2008-10-31,-0.231,1113.06,2008-10-30
2008-11-28,-0.033,1076.07,2008-11-27
2008-12-31,0.045,1124.47,2008-12-30
2009-01-30,0.033,1162.11,2009-01-29
2009-02-27,-0.085,1063.03,2009-02-26
2009-03-31,0.135,1206.26,2009-03-30
2009-04-30,0.135,1369.36,2009-04-29
2009-05-29,0.019,1395.89,2009-05-28
2009-06-30,-0.004,1390.07,2009-06-29
2009-07-31,0.12,1557.29,2009-07-30
2009-08-31,0.022,1591.85,2009-08-30
2009-09-30,0.051,1673.14,2009-09-29
2009-10-30,-0.055,1580.69,2009-10-29
2009-11-30,-0.016,1555.6,2009-11-29
2009-12-31,0.082,1682.77,2009-12-30
2010-01-29,-0.048,1602.43,2010-01-28
2010-02-26,-0.005,1594.58,2010-02-25
2010-03-31,0.062,1692.85,2010-03-30
2010-04-30,0.029,1741.56,2010-04-29
2010-05-31,-0.058,1641.25,2010-05-30
2010-06-30,0.035,1698.29,2010-06-29
2010-07-30,0.036,1759.33,2010-07-29
2010-08-31,-0.009,1742.75,2010-08-30
2010-09-30,0.075,1872.81,2010-09-29
2010-10-29,0.005,1882.95,2010-10-28
2010-11-30,0.012,1904.63,2010-11-29
2010-12-31,0.077,2051.0,2010-12-30
2011-01-31,0.009,2069.73,2011-01-30
2011-02-28,-0.063,1939.3,2011-02-27
2011-03-31,0.086,2106.7,2011-03-30
2011-04-29,0.041,2192.36,2011-04-28
2011-05-31,-0.023,2142.47,2011-05-30
2011-06-30,-0.02,2100.69,2011-06-29
2011-07-29,0.015,2133.21,2011-07-28
2011-08-31,-0.119,1880.11,2011-08-30
2011-09-30,-0.059,1769.65,2011-09-29
2011-10-31,0.079,1909.03,2011-10-30
2011-11-30,-0.032,1847.51,2011-11-29
2011-12-30,-0.012,1825.74,2011-12-29
2012-01-31,0.071,1955.79,2012-01-30
2012-02-29,0.038,2030.25,2012-02-28
2012-03-30,-0.008,2014.04,2012-03-29
2012-04-30,-0.016,1981.99,2012-04-29
2012-05-31,-0.07,1843.47,2012-05-30
2012-06-29,0.006,1854.01,2012-06-28
2012-07-31,0.015,1881.99,2012-07-30
2012-08-31,0.012,1905.12,2012-08-30
2012-09-28,0.048,1996.21,2012-09-27
2012-10-31,-0.042,1912.06,2012-10-30
2012-11-30,0.011,1932.9,2012-11-29
2012-12-31,0.033,1997.05,2012-12-30
2013-01-31,-0.018,1961.94,2013-01-30
2013-02-28,0.033,2026.49,2013-02-27
2013-03-29,-0.011,2004.89,2013-03-28
2013-04-30,-0.02,1963.95,2013-04-29
2013-05-31,0.019,2001.05,2013-05-30
2013-06-28,-0.069,1863.32,2013-06-27
2013-07-31,0.027,1914.03,2013-07-30
2013-08-30,0.006,1926.36,2013-08-29
2013-09-30,0.037,1996.96,2013-09-29
2013-10-31,0.017,2030.09,2013-10-30
2013-11-29,0.007,2044.87,2013-11-28
2013-12-31,-0.016,2011.34,2013-12-30
2014-01-31,-0.035,1941.15,2014-01-30
2014-02-28,0.02,1979.99,2014-02-27
2014-03-31,0.003,1985.61,2014-03-30
2014-04-30,-0.012,1961.79,2014-04-29
2014-05-30,0.017,1994.96,2014-05-29
2014-06-30,0.004,2002.21,2014-06-29
2014-07-31,0.037,2076.12,2014-07-30
2014-08-29,-0.004,2068.54,2014-08-28
2014-09-30,-0.023,2020.09,2014-09-29
2014-10-31,-0.028,1964.43,2014-10-30
2014-11-28,0.008,1980.78,2014-11-27
2014-12-31,-0.033,1915.59,2014-12-30
2015-01-30,0.018,1949.26,2015-01-29
2015-02-27,0.019,1985.8,2015-02-26
2015-03-31,0.028,2041.03,2015-03-30
2015-04-30,0.042,2127.17,2015-04-29
2015-05-29,-0.006,2114.8,2015-05-28
2015-06-30,-0.019,2074.2,2015-06-29
2015-07-31,-0.021,2030.16,2015-07-30
2015-08-31,-0.044,1941.49,2015-08-30
2015-09-30,0.011,1962.81,2015-09-29
2015-10-30,0.034,2029.47,2015-10-29
2015-11-30,-0.018,1991.97,2015-11-29
2015-12-31,-0.015,1961.31,2015-12-30
2016-01-29,-0.025,1912.06,2016-01-28
2016-02-29,0.002,1916.66,2016-02-28
2016-03-31,0.041,1995.85,2016-03-30
2016-04-29,-0.001,1994.15,2016-04-28
2016-05-31,-0.005,1983.4,2016-05-30
2016-06-30,-0.007,1970.35,2016-06-29
2016-07-29,0.023,2016.19,2016-07-28
2016-08-31,0.009,2034.65,2016-08-30
2016-09-30,0.004,2043.63,2016-09-29
2016-10-31,-0.017,2008.19,2016-10-30
2016-11-30,-0.012,1983.48,2016-11-29
2016-12-30,0.022,2026.46,2016-12-29
2017-01-31,0.02,2067.57,2017-01-30
2017-02-28,0.012,2091.64,2017-02-27
2017-03-31,0.033,2160.23,2017-03-30
2017-04-28,0.021,2205.44,2017-04-27
2017-05-31,0.064,2347.38,2017-05-30
2017-06-30,0.019,2391.79,2017-06-29
2017-07-31,0.005,2402.71,2017-07-30
2017-08-31,-0.016,2363.19,2017-08-30
2017-09-29,0.013,2394.47,2017-09-28
2017-10-31,0.054,2523.43,2017-10-30
2017-11-30,-0.019,2476.37,2017-11-29
2017-12-29,-0.004,2467.49,2017-12-28
2018-01-31,0.04,2566.46,2018-01-30
2018-02-28,-0.054,2427.36,2018-02-27
2018-03-30,0.008,2445.85,2018-03-29
2018-04-30,0.028,2515.38,2018-04-29
2018-05-31,-0.037,2423.01,2018-05-30
2018-06-29,-0.04,2326.13,2018-06-28
2018-07-31,-0.013,2295.26,2018-07-30
2018-08-31,0.012,2322.88,2018-08-30
2018-09-28,0.009,2343.07,2018-09-27
2018-10-31,-0.134,2029.69,2018-10-30
2018-11-30,0.033,2096.86,2018-11-29
2018-12-31,-0.027,2041.04,2018-12-30
2019-01-31,0.08,2204.85,2019-01-30
2019-02-28,-0.004,2195.44,2019-02-27
2019-03-29,-0.025,2140.67,2019-03-28
2019-04-30,0.029,2203.59,2019-04-29
2019-05-31,-0.073,2041.74,2019-05-30
2019-06-28,0.044,2130.62,2019-06-27
2019-07-31,-0.05,2024.55,2019-07-30
2019-08-30,-0.028,1967.79,2019-08-29
2019-09-30,0.048,2063.05,2019-09-29
2019-10-31,0.01,2083.48,2019-10-30
2019-11-29,0.002,2087.96,2019-11-28
2019-12-31,0.053,2197.67,2019-12-30
2020-01-31,-0.036,2119.01,2020-01-30
2020-02-28,-0.062,1987.01,2020-02-27
2020-03-31,-0.117,1754.64,2020-03-30
2020-04-30,0.11,1947.56,2020-04-29
2020-05-29,0.042,2029.6,2020-05-28
2020-06-30,0.039,2108.33,2020-06-29
2020-07-31,0.067,2249.37,2020-07-30
2020-08-31,0.034,2326.17,2020-08-30
2020-09-30,0.001,2327.89,2020-09-29
2020-10-30,-0.026,2267.15,2020-10-29
2020-11-30,0.143,2591.34,2020-11-29
2020-12-31,0.109,2873.47,2020-12-30
2021-01-29,0.036,2976.21,2021-01-28
2021-02-26,0.012,3012.95,2021-02-25
2021-03-31,0.016,3061.42,2021-03-30
2021-04-30,0.028,3147.86,2021-04-29
2021-05-31,0.018,3203.92,2021-05-30
2021-06-30,0.029,3296.68,2021-06-29
2021-07-30,-0.029,3202.32,2021-07-29
