날짜,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2011-04-01,down,107.94,1099.2,17.4,22.87,2.51,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-04,down,108.47,1085.2,17.5,21.94,2.41,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-05,down,108.34,1086.5,17.25,22.58,2.48,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-06,down,108.83,1087.2,16.9,22.91,2.51,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-07,neutral,110.3,1083.3,17.11,22.99,2.52,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-08,neutral,112.79,1087.7,17.87,23.24,2.55,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-11,neutral,109.92,1079.6,16.59,23.36,2.56,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-12,up,106.25,1087.0,17.09,22.86,2.51,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-13,neutral,107.11,1090.0,16.92,23.23,2.55,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-14,down,108.11,1088.3,16.27,23.52,2.58,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-15,down,109.66,1088.3,15.32,23.74,2.61,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-18,down,107.12,1089.3,16.96,24.55,2.69,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-19,neutral,108.15,1090.1,15.83,24.21,2.66,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-20,down,111.45,1084.3,15.07,24.86,2.73,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-21,down,112.29,1076.5,14.69,26.32,2.89,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-25,down,112.28,1080.8,15.77,26.53,2.91,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-26,down,112.21,1079.3,15.62,26.3,2.89,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-27,down,112.76,1078.1,15.35,15.77,2.28,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-28,down,112.86,1070.0,14.62,15.93,2.31,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-29,down,113.93,1068.8,14.75,15.45,2.24,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-05-02,down,113.52,1069.6,15.99,15.54,2.25,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
2011-05-03,down,111.05,1068.0,16.7,14.97,2.17,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
2011-05-04,down,109.24,1073.7,17.08,14.96,2.17,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
2011-05-06,down,97.18,1083.7,18.4,14.51,2.1,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
2011-05-09,down,102.55,1095.5,17.16,14.67,2.13,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
2011-05-11,down,98.21,1077.7,16.95,15.06,2.18,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
2011-05-12,down,98.97,1079.7,16.03,14.56,2.11,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
