날짜,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2011-04-01,down,107.94,1099.2,17.4,17.97,1.29,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-04,down,108.47,1085.2,17.5,18.34,1.32,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-05,down,108.34,1086.5,17.25,18.27,1.31,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-06,down,108.83,1087.2,16.9,17.85,1.28,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-07,neutral,110.3,1083.3,17.11,17.84,1.28,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-08,neutral,112.79,1087.7,17.87,17.7,1.27,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-11,neutral,109.92,1079.6,16.59,17.45,1.25,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-12,up,106.25,1087.0,17.09,17.28,1.24,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-13,neutral,107.11,1090.0,16.92,17.38,1.25,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-14,down,108.11,1088.3,16.27,17.29,1.24,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-15,down,109.66,1088.3,15.32,17.29,1.24,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-18,down,107.12,1089.3,16.96,16.87,1.21,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-19,neutral,108.15,1090.1,15.83,16.73,1.2,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-20,down,111.45,1084.3,15.07,17.21,1.24,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-21,down,112.29,1076.5,14.69,16.93,1.22,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-25,down,112.28,1080.8,15.77,17.07,1.23,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-26,down,112.21,1079.3,15.62,17.04,1.22,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-27,down,112.76,1078.1,15.35,13.05,1.18,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-28,down,112.86,1070.0,14.62,12.98,1.17,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-04-29,down,113.93,1068.8,14.75,13.41,1.21,1686110.4,3.0,89.325,123.11,105.2,109.5,100.8,3.5,59.3,0.5,0.7
2011-05-02,down,113.52,1069.6,15.99,13.45,1.21,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
2011-05-03,down,111.05,1068.0,16.7,13.4,1.21,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
2011-05-04,down,109.24,1073.7,17.08,13.25,1.19,1694221.7,3.0,89.497,124.98,104.95,108.8,100.7,3.3,59.5,0.5,0.7
