,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2013-06-04,-0.6555292735201076,-0.0313367063619631,0.5808669637585422,1.5658420758834264,0.8367619817799323,-0.0576731001571159,2.16775762501847,-0.529932261056215,down,93.31,1118.8,16.27,13.3,1.99,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-05,-0.6555494530043774,-0.0323561508956308,3.209892854002608,1.241762676539056,0.726246936759229,-0.2475639674306126,1.8376601354036777,-0.530687932415043,down,93.74,1122.4,17.5,13.1,1.96,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-07,-0.6555679969789531,-0.032779486631485,0.345450295763296,0.9231208510091882,0.6412931946684844,-0.4340639263599395,0.9636877343283236,-0.6315700588185438,neutral,96.03,1118.2,15.14,12.49,1.87,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-10,-0.6555415828825415,-0.030746252380412,0.3302838396820415,1.57236716446083,0.6287631442126224,-0.5324002683408576,0.946711292005277,-0.6519731855068922,neutral,95.77,1097.1,15.44,12.55,1.88,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-11,-0.6555624387054065,-0.0310780262666605,0.353632084164544,1.2406751617761556,0.5593466646871467,-0.587785104628961,0.8806917940823188,-0.6213684954743695,neutral,95.38,1097.1,17.07,12.34,1.85,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-12,-0.6555806629562827,-0.0317687936696488,1.12324460495575,0.9285584248236908,0.4841663619519744,-0.6262153991962163,0.9247047926976246,-0.5896302984036051,neutral,95.88,1097.1,18.59,12.28,1.84,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-13,-0.6555940667575344,-0.0325041439933141,0.6854852656154016,0.6893051769855651,0.4119932713262091,-0.6375184270101146,0.9083571074976536,-0.6073885753360567,up,96.69,1127.2,16.41,12.05,1.8,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-14,-0.655573063369885,-0.0313274035158428,0.8263767155852826,1.1656366431360154,0.3801669431683195,-0.6092608574753682,0.8857218510669251,-0.5986983547095378,up,97.85,1129.2,17.15,12.11,1.82,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-17,-0.6555884101074649,-0.0319967274589422,-0.2093175936811869,0.9144207329059836,0.3230299130895886,-0.5233578460897389,0.90144077914382,-0.5934086551977438,up,97.77,1126.5,16.8,12.02,1.8,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-18,-0.655570997462903,-0.03029090721746,-1.2289205320793302,1.3070135623130903,0.2954638020866921,-0.3967639345740743,1.4924724748350668,-0.5937864908771577,up,98.44,1125.97,16.61,12.23,1.83,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
