날짜,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2013-06-04,-0.1076419534863813,-0.0437667363011827,4.294425200267243,0.6331110854665326,1.8983943931292715,1.0353191543724602,2.4739104303766,1.3727419423808456,down,93.31,1118.8,16.27,17.58,1.15,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-05,-0.1076523571281315,-0.0440149975364669,0.1122364870106558,0.3311554961252231,1.7144011885132249,0.8639906228470664,2.253844219097778,1.2135481259589658,down,93.74,1122.4,17.5,17.29,1.13,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-07,-0.1076611930978372,-0.0442474124186145,0.4400119140713457,0.0620211664949257,1.6005909588538143,0.7606895964861672,1.7763740846007965,1.2957126763702589,neutral,96.03,1118.2,15.14,17.22,1.13,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-10,-0.1076498488528602,-0.0438116053539605,0.9737111249953828,0.4521252819172384,1.4678123575845023,0.6485701898261668,1.4646607621981471,1.3419302359766112,neutral,95.77,1097.1,15.44,17.33,1.14,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-11,-0.1076565755910878,-0.0438184489487656,1.7573531398150422,0.2580109744835394,1.2345013867827113,0.5654254612917844,1.3475561202065889,1.5062593367991968,neutral,95.38,1097.1,17.07,17.15,1.13,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-12,-0.1076687749299072,-0.0440031357595542,2.1657077601211574,-0.1086493840023361,0.976531532888048,0.4772416583007729,1.0924150886211177,1.5268004744020205,neutral,95.88,1097.1,18.59,16.96,1.11,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-13,-0.1076765847870019,-0.0442709895307496,-0.1996630259981028,-0.3562154572511117,0.7128711675104142,0.4432279057185256,1.2643948527053377,1.537071043203432,up,96.69,1127.2,16.41,16.73,1.1,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-14,-0.1076612501040934,-0.0437284094457777,0.9993712330914212,0.1014066781481395,0.4871475453525838,0.4659037407733571,1.3639620845435707,1.706535428426724,up,97.85,1129.2,17.15,16.82,1.1,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-17,-0.1076698010425182,-0.0439522711115267,1.1961980812536388,-0.154599147597753,0.1495105306963333,0.4608646663167275,1.2694863588788838,1.8554586760471927,up,97.77,1126.5,16.8,16.65,1.09,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-18,-0.1076596539289207,-0.0433545233767674,2.029320233476112,0.1511074428533862,-0.2051980184088287,0.4797611955290874,1.3594363012781967,2.0505994832740138,up,98.44,1125.97,16.61,16.69,1.1,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
