날짜,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2013-06-04,-0.709305085303323,-0.0490877233496701,0.8921448570357217,1.577969909059877,0.563111484047503,1.479695597879532,2.948751625321365,-0.8246428172217994,down,93.31,1118.8,16.27,13.37,1.03,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-05,-0.7093261875097331,-0.0496252693192366,0.5711302702290275,1.314238225108103,0.4562747206684864,1.4445928696109402,2.839183251428255,-0.8467334831475681,down,93.74,1122.4,17.5,13.22,1.02,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-07,-0.709348129225259,-0.0496978315970976,0.5494127625545225,1.026243226232766,0.3600400788461662,1.4413019888357594,1.9328622456385045,-0.8526243273944397,neutral,96.03,1118.2,15.14,13.17,1.02,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-10,-0.7093217610071226,-0.0489669003438328,0.6265978627200314,1.550541813928893,0.2532033154671497,1.4588533529700558,1.3463141571346249,-0.8371608612464015,neutral,95.77,1097.1,15.44,13.18,1.02,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-11,-0.7093417565878801,-0.0488317234005636,0.811760120619754,1.3068537379574532,0.1104824483577764,1.5279618492488454,1.1509966210642977,-0.8231701061600816,neutral,95.38,1097.1,17.07,13.02,1.01,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-12,-0.7093677050514586,-0.0485842074244937,0.3364153523106569,0.972441962706604,-0.0183741059466863,1.624494351987473,1.1051446385112027,-0.8386335723081196,neutral,95.88,1097.1,18.59,12.97,1.0,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-13,-0.7093862887305213,-0.049840963548983,0.202438298232417,0.7192595461129002,-0.1643571643042738,1.8032988741056128,1.109908480854381,-0.8128611287280562,up,96.69,1127.2,16.41,12.82,0.99,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-14,-0.7093595389173324,-0.0490356742778016,0.3594314148725484,1.2003061376409367,-0.2968836837629776,2.010624362941982,0.7555977065804648,-0.7686797968765188,up,97.85,1129.2,17.15,12.77,0.99,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-17,-0.7093798779336373,-0.0492508395431274,1.750166120899688,0.9429040141040052,-0.4669254025761452,2.2563434608221247,0.6019637910129514,-0.73259837586443,up,97.77,1126.5,16.8,12.68,0.98,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-18,-0.7094023920417422,-0.0479810801379305,0.5113178297752439,0.6443597478705962,-0.6451225995098484,2.528389604903712,0.5835039019331337,-0.7171349097163919,up,98.44,1125.97,16.61,12.6,0.98,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-19,-0.7094268904441206,-0.0489377576567915,3.726631362841904,0.3036184122049041,-0.8388152048725692,2.9068408940494663,0.2149016006296809,-0.7001987325066359,up,98.24,1133.5,16.64,12.42,0.96,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-20,-0.7094513506869937,-0.0492237562224225,2.538404271860896,-0.0550566779695087,-1.0182357235243529,3.3006496268127306,-0.3448498746938178,-0.8275882393452352,up,95.4,1129.6,20.49,12.01,0.93,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-21,-0.7094880601310563,-0.0469591979110454,-0.0496055204916234,-0.6278818955127624,-1.1018293742598428,3.522235599008216,-1.3768172222849069,-0.8923875260608232,up,93.69,1144.9,18.9,11.81,0.92,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-24,-0.7095262959553291,-0.049315415998911,-0.1386122574314749,-1.2903758855996197,-1.1226258434672085,3.4333818180783435,-1.7019494622068538,-0.8747149933202084,up,95.18,1156.9,20.11,11.68,0.91,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-25,-0.7095509469957286,-0.0494689954260673,0.4492071117341933,-1.760873209769585,-1.0904117048910928,3.3489158781820443,-1.8454602127951127,-0.8194883285057868,up,95.32,1160.6,18.47,11.67,0.9,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-26,-0.7095156112938557,-0.0487442542548245,-2.425805003179933,-1.4106375334816286,-1.0263912016448882,3.2578681767353843,-1.8198545602005272,-0.8555697495178755,up,95.5,1152.3,17.21,11.7,0.91,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-27,-0.7094905404988983,-0.0485167653168006,-1.6832664844580367,-1.1384664356433978,-0.93749649013105,3.077966694358852,-1.670389006683295,-0.9218417472951816,up,97.05,1155.1,16.86,11.98,0.93,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
