날짜,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2013-06-04,-0.4543155438349366,-0.0677246805519365,3.1564336816416416,0.8647114223787047,0.6686479176192958,0.4418187473141396,2.1287171573580785,-0.2250938845739855,down,93.31,1118.8,16.27,9.45,0.79,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-05,-0.4543561579013567,-0.0686412593427461,1.1747732735846823,0.5594564017225765,0.4780255598110646,0.2317084485088263,1.8124084811200003,-0.3938592358996374,down,93.74,1122.4,17.5,9.29,0.77,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-07,-0.4544407623842967,-0.0684675581802462,1.220947536167774,-0.1468636095766386,0.3795016445393946,0.0493713501203077,1.2300986715842948,-0.5322468239866719,neutral,96.03,1118.2,15.14,9.21,0.77,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-10,-0.4543844409500203,-0.0671189241795819,-0.3547109559715337,0.3644942534932978,0.2970414111054969,-0.1027774869456087,1.0458472955648968,-0.5423727450662108,neutral,95.77,1097.1,15.44,9.29,0.77,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-11,-0.4544103263007868,-0.0677934637211292,0.9356625230016568,0.1461366474765063,0.1181990866449654,-0.2102476972540735,0.9923955311906691,-0.4174863850852287,neutral,95.38,1097.1,17.07,9.21,0.77,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-12,-0.4544619991370995,-0.0678877543524535,6.687893229647885,-0.312859952926139,-0.0659977984281568,-0.3273781511857709,0.6377273534604977,-0.3837333148200978,neutral,95.88,1097.1,18.59,9.15,0.76,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-13,-0.4544940499967443,-0.0688242583261235,1.653458124917961,-0.6114305570715488,-0.2405564743986157,-0.426395648323907,0.4855470360656374,-0.7212640174714016,up,96.69,1127.2,16.41,8.92,0.74,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-14,-0.4544175683270882,-0.0669252521847416,-1.0590504907865188,-0.0009205157592925,-0.2726838380741602,-0.4179429351535783,0.5603795061895563,-0.7820195439486367,up,97.85,1129.2,17.15,8.97,0.75,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-17,-0.4543661890864363,-0.0673316059221744,-0.3955645717363947,0.4614182928987111,-0.3455058624053946,-0.2826995244283191,0.6251504677253855,-0.74151585963048,up,97.77,1126.5,16.8,9.05,0.75,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-18,-0.4543262111439481,-0.067307589404667,0.7267861588407089,0.8491144505203623,-0.4857953504552726,-0.2150778190656898,0.4937220117934602,-0.6368813418085757,up,98.44,1125.97,16.61,9.06,0.76,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
