,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2013-06-04,0.1563241419904341,-0.0059508942410636,0.1110362869168523,1.039438071619004,-0.0676288116630808,0.0693930205487928,1.8408736176659928,0.2495442741901354,down,93.31,1118.8,16.27,99.08,1.04,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-05,0.1562496773626353,-0.0091095603428861,-0.0001099467660841,0.7571137764788594,-0.2353652558345653,0.0717660767105975,1.5418563487132568,0.203405084019402,down,93.74,1122.4,17.5,96.92,1.01,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-07,0.1563678577532087,-0.0075659957117512,-0.1273038815511498,1.4608637530508253,-0.2912774038917268,0.0741391328724021,1.141242478726386,0.111126703677935,neutral,96.03,1118.2,15.14,97.61,1.02,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-10,0.1564304958944597,-0.0068759087926127,0.7019401554233721,1.87198562809067,-0.4222715793399337,0.1239733122703012,0.7885406421817481,0.2290379674475867,neutral,95.77,1097.1,15.44,49.25,1.05,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-11,0.1563692938265752,-0.0063153019870933,0.3173531283857024,1.6875474936742991,-0.6267502922346959,0.1773670759109069,0.8410707029437157,0.1265064337348459,neutral,95.38,1097.1,17.07,49.07,1.05,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-12,0.1562840164110757,-0.0076751392343635,0.5904178771920552,1.4175877662045258,-0.8472039045743612,0.3268696141046036,0.3515598070519765,0.1316330104204828,neutral,95.88,1097.1,18.59,48.3,1.03,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-13,0.1562107344319317,-0.006845454157419,-0.0904107776504728,1.1702964127971005,-1.002160429189923,0.5404446686670268,0.6251779257461797,0.1675190472199424,up,96.69,1127.2,16.41,48.15,1.03,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-14,0.1561205997094573,-0.007948941908649,0.1184600330427933,0.8457265114498536,-1.147532014138543,0.7231699931259894,0.4912551334739115,0.2546708508757724,up,97.85,1129.2,17.15,46.9,1.09,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-17,0.156001447857489,-0.0070587776190974,0.3203834207047336,0.3645387529445717,-1.2976960689206345,0.9296258792029988,0.2222550420994416,0.3520758079028763,up,97.77,1126.5,16.8,46.81,1.09,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-18,0.1559295597142596,-0.0063205686367201,-0.3398442602956938,0.044090374154116,-1.459042553314157,1.1206569002282778,-0.214148539615363,0.4289744581874323,up,98.44,1125.97,16.61,46.7,1.09,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-19,0.1560458816569469,-0.006002745029911,0.2077862818059631,0.6592276157550871,-1.6235840175966612,1.2725324945837782,-0.1587322117785623,0.4751136483581658,up,98.24,1133.5,16.64,47.06,1.1,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-20,0.1559021053704881,-0.0070332390429488,0.8542538660402417,-0.0094894190841598,-1.8743899388816427,1.497972829955226,-0.2591743059827636,0.5622654520139958,up,95.4,1129.6,20.49,46.45,1.08,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-21,0.155819362202106,-0.0057113154402697,0.3653583486910172,-0.4535834745783285,-2.075673671887424,1.674765514009676,-0.6730650045138684,0.6442906789841888,up,93.69,1144.9,18.9,46.08,1.07,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-24,0.155729734329055,-0.007627632652368,1.061078367649405,-0.9790776005691082,-2.2482025858923795,1.7352784461356965,-1.0546295118068394,0.6391641022985518,up,95.18,1156.9,20.11,45.21,1.05,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-25,0.155684455780558,-0.0072189834912934,0.4073061180628393,-1.2593411344308572,-2.289737324449128,1.6973095475468212,-1.5141232301203111,0.6084046421847292,up,95.32,1160.6,18.47,44.76,1.04,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-26,0.1557427012268056,-0.0067239690672421,-1.882595223366992,-1.0233839680546053,-2.229032706558496,1.5893354921847067,-1.4483163408141104,0.5007465317863514,up,95.5,1152.3,17.21,44.73,1.04,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-27,0.1558159832059495,-0.006843187004991,-1.1336366974716632,-0.7111786343777302,-2.1363782897780563,1.4113562800493538,-1.4131038825011435,0.2956834643608689,up,97.05,1155.1,16.86,45.61,1.06,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-28,0.1558581784204537,-0.006385074187385,0.0988681120721798,-0.5205582161261728,-2.1299883300000952,1.3235532020625802,-0.916088692214838,0.2341645441332236,up,96.56,1147.2,16.86,46.45,1.08,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-07-01,0.1558147160823908,-0.0072130904531607,-0.256149278644519,-0.7534242405848318,-2.2178502769470634,1.301009168525435,-1.2543591933853082,0.367455537959788,up,97.99,1121.9,16.37,46.09,1.07,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-02,0.1558544615246816,-0.0061753618086977,0.193932173902719,-0.5854721963956223,-2.2434101160589086,1.2286309555903914,-1.42407169738551,0.5571388753283588,up,99.6,1134.3,16.44,46.43,1.08,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
