,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2013-06-18,0.6557059607338244,-0.0183414554768077,0.4744069706914914,0.5395607554391906,-0.4459859615720666,0.4027469071569847,0.3295393582049948,-0.1172722501187368,up,98.44,1125.97,16.61,37.63,1.01,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-19,0.6556137783217806,-0.0198737497747087,1.2377424604028275,0.2527554691166998,-0.7210832867979028,0.4271686634253493,0.1509101069340128,-0.0212640643328079,up,98.24,1133.5,16.64,37.28,1.0,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-20,0.6555260983925872,-0.0200923699355033,1.853958320810096,-0.0330327771833708,-0.9854226160651868,0.4841527613848661,0.0298258493610656,-0.0308648829114009,up,95.4,1129.6,20.49,36.73,0.99,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-21,0.6554307168479918,-0.0194481392429863,1.1757007713007477,-0.3534003842457273,-1.2105721029120304,0.6306832989950529,-0.6463278265908386,-0.149915033285953,up,93.69,1144.9,18.9,35.98,0.97,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-24,0.6552797651861103,-0.0219098018965566,1.3530419823700643,-0.8954827161956829,-1.3242994887595827,0.8086132375217082,-1.1918064126867898,-0.2996878031120016,up,95.18,1156.9,20.11,35.22,0.95,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-25,0.6551642409550785,-0.0210655342286317,0.1261250783646008,-1.3439973660829825,-1.2904886443184185,0.8179167637191802,-1.6090076169975391,-0.460981555232362,up,95.32,1160.6,18.47,34.58,0.93,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-26,0.6553217093684541,-0.0190507502666783,-0.8144243574127658,-0.93311319702523,-1.1052974281747692,0.6876673969545697,-1.2931095786760378,-0.5800317056069141,up,95.5,1152.3,17.21,34.84,0.94,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-27,0.6554285840929573,-0.0185189672244842,-1.4654645505374724,-0.6259671102543355,-0.8978217918312612,0.3992580848329325,-1.199598963916732,-0.6549180905199388,up,97.05,1155.1,16.86,35.5,0.96,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-06-28,0.6555295344979205,-0.0178354002530209,-0.4650523567748974,-0.3127187833489203,-0.7495151332597909,0.1480628775011845,-0.9214648277095658,-0.8392538072289221,up,96.56,1147.2,16.86,36.24,0.98,1884068.8,2.5,92.71,112.94,104.47,96.1,99.7,3.1,59.9,1.2,0.1
2013-07-01,0.6553956448763144,-0.0208374465366433,-0.1477286406262165,-0.8039491141778669,-0.7011041514463057,-0.0531258765191511,-1.0970969438921083,-0.9410224841620064,up,97.99,1121.9,16.37,36.13,0.97,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-02,0.6554868793972318,-0.0183047327770356,-0.2030349258422495,-0.5252801480347374,-0.594292620143537,-0.1822123025090777,-0.9520356056116464,-0.885337736406168,up,99.6,1134.3,16.44,36.52,0.98,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-03,0.6553990809816477,-0.0209970508047684,-0.5681093710775157,-0.8527670352540352,-0.5228287898474399,-0.3206022546964759,-1.3368677509672515,-0.8680562629647007,up,101.24,1133.0,16.2,36.28,0.98,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-05,0.6556488502934579,-0.0157519543788703,0.1209117124976547,-0.0625269378335559,-0.3253427211797305,-0.5450498242104919,-0.5474223686723421,-1.1560808203224875,up,103.22,1138.9,14.89,37.45,1.01,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-08,0.6554782298907033,-0.0205468981271421,0.7503187833213127,-0.6991939918685882,-0.3637641353174172,-0.4822510223775549,-1.215783493394304,-1.161841311469643,up,103.14,1141.6,14.78,36.94,0.99,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-09,0.6555798912140113,-0.0184486708691157,0.2661763579659428,-0.3584855843578279,-0.306900442393641,-0.4148004574458819,-1.3590465506217022,-1.2405680238141048,up,103.53,1147.4,14.35,36.96,0.99,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-10,0.6554696988705656,-0.0193114911244272,-1.0109363057953036,-0.7907275938864042,-0.2415840383595737,-0.5020210155471835,-1.7588643714195038,-1.2002445857840147,up,106.52,1140.9,14.21,36.76,0.99,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-11,0.6555410276778283,-0.0176502466548225,-0.5865300161743974,-0.5629106288642846,-0.1132565151397004,-0.6834397763978906,-1.5238889804858633,-1.3327358821685966,up,104.91,1134.6,14.01,37.47,1.01,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-12,0.6556322621987457,-0.0176843736242538,0.0411345525083051,-0.25474750207097,-0.0863615252433198,-0.7799638606966642,-1.4423669060803146,-1.3730593201986865,up,105.95,1123.4,13.84,37.55,1.01,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-15,0.6555397243275295,-0.0191774565850422,0.4757959589344295,-0.6015581497162509,-0.0717613878709988,-0.7636826898510879,-1.427980657655806,-1.290492280422788,up,106.32,1123.8,13.79,37.46,1.01,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-16,0.6554308353343826,-0.0199227932691829,0.0101313836521659,-1.035834239289668,-0.0333399737333122,-0.7474015190055115,-2.2042386455615826,-1.3000930990013808,up,106.0,1120.9,14.42,37.17,1.0,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-17,0.6555115245665186,-0.0168837106562875,-0.6817711595681184,-0.7978468740433455,0.0757768424177177,-0.8392738402055493,-1.0587336147600852,-1.3154544087271294,up,106.48,1113.8,13.78,37.61,1.01,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-18,0.6556576182863773,-0.0187465016026378,-0.094607071299932,-0.3310255037524834,0.141093246451785,-0.938123806053691,-0.1008492404948874,-1.4076222670816212,up,108.04,1116.1,13.77,37.75,1.02,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-19,0.6557923373127189,-0.0191092408936796,-0.8701612868318384,0.1591877870540431,0.2056412222030985,-0.9404496876030588,-0.3699919714367359,-1.484428815710364,up,108.05,1123.6,12.54,37.71,1.01,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-22,0.6558744483815445,-0.0212822573134209,0.0282255104577878,0.4826065141836602,0.2824840504784717,-0.8857914711929101,0.0076470497066146,-1.49018930685752,up,106.91,1118.4,12.29,37.81,1.02,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-23,0.6559663938208068,-0.0180459833391258,-0.0592865336201857,0.8650135626136476,0.3631690201676137,-0.8253185509093409,0.6778064554816402,-1.4921094705732385,up,107.23,1117.6,12.66,38.13,1.03,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-24,0.6558798987555214,-0.0191249835647248,0.0344338572595179,0.6107535570086027,0.3931377231950092,-0.7346091704839876,0.6472356775795596,-1.4498658688274295,up,105.39,1116.3,13.18,38.11,1.03,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-25,0.6559807306740938,-0.0189013504315825,0.1506460878361818,1.0338422063353978,0.4377065635947257,-0.6729733094257343,0.5039726203521614,-1.3768996476301238,up,105.49,1115.0,12.97,38.07,1.02,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-26,0.6558904440443029,-0.0183526517950066,-0.2139450074876129,0.7836503608200335,0.4845806888427034,-0.6066856852687451,0.4787966856092712,-1.3039334264328175,up,104.7,1115.4,12.72,38.0,1.02,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-29,0.6559586922054047,-0.0180829100255652,-0.3236255867339963,1.0663874870528436,0.5483602363112632,-0.4857398447016071,1.05304776855424,-1.2808914618441951,up,104.55,1086.9,13.39,38.21,1.03,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-30,0.6560608274742759,-0.0180713210330319,-0.1383630933389188,1.507782856783202,0.5683393716628603,-0.3647940041344686,1.5541687553412893,-1.2866519529913507,up,103.08,1111.4,13.39,38.27,1.03,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-07-31,0.6561775365692156,-0.0172436068831545,-0.2984695377510674,2.0529163088004183,0.5721815130766289,-0.3461869517395243,2.3094467976279907,-1.284731789275632,up,105.03,1113.3,13.45,38.59,1.04,1887385.3,2.5,92.909,120.26,107.11,96.7,99.8,3.2,59.9,0.9,0.8
2013-08-01,0.65607623070508,-0.018881219497358,0.0012864659237668,1.8505253443388008,0.5114756787390841,-0.3589793002610488,2.414945952741054,-1.2559293335398534,up,107.89,1122.5,12.94,38.55,1.04,1885134.6,2.5,93.238,115.17,105.93,97.3,99.8,3.2,59.9,0.9,0.8
2013-08-02,0.6559752803001169,-0.0201093722242188,0.0736893260004703,1.6349128595857243,0.4261801393534197,-0.4648069107572947,2.3999602772988573,-1.2002445857840147,up,106.94,1122.4,11.98,38.42,1.03,1885134.6,2.5,93.238,115.17,105.93,97.3,99.8,3.2,59.9,0.9,0.8
2013-08-05,0.6558853491294984,-0.0201039385293699,0.5121751100506028,1.4335389351465284,0.3316634605747106,-0.5776121659016447,2.0840622389773564,-1.1656816389010805,up,106.56,1123.6,11.84,38.4,1.03,1885134.6,2.5,93.238,115.17,105.93,97.3,99.8,3.2,59.9,0.9,0.8
2013-08-06,0.6558105842169024,-0.0199691160914826,0.6173139998362733,1.2606421313350975,0.2056412222030985,-0.6752991909751023,1.84788799400834,-1.1560808203224875,up,105.3,1112.9,12.72,38.14,1.03,1885134.6,2.5,93.238,115.17,105.93,97.3,99.8,3.2,59.9,0.9,0.8
2013-08-07,0.6557301319575479,-0.0210479582274146,0.2935203366013295,1.0704556471425242,0.1026718323140983,-0.7276315258358832,1.4516667353166652,-1.230967205235512,up,104.37,1113.1,12.98,37.73,1.02,1885134.6,2.5,93.238,115.17,105.93,97.3,99.8,3.2,59.9,0.9,0.8
2013-08-08,0.6558056077884887,-0.0192273415245188,0.4255057145549946,1.3643802136219554,0.0557977070661207,-0.7415868151320916,1.2640460787803658,-1.2520890061084162,up,103.4,1114.2,12.73,37.97,1.02,1885134.6,2.5,93.238,115.17,105.93,97.3,99.8,3.2,59.9,0.9,0.8
