Date,forward_stage,WTI,USDKRW
010107,neutral,61.05,917.23
020107,neutral,61.05,914.42
030107,neutral,58.32,914.31
040107,neutral,55.59,925.24
050107,up,56.31,925.44
080107,up,56.09,924.37
090107,up,55.64,928.17
100107,up,54.02,930.16
110107,up,51.88,930.31
120107,up,52.99,927.66
150107,up,52.99,926.67
160107,up,51.21,925.49
170107,up,52.24,925.15
180107,up,50.48,923.89
190107,up,51.99,926.73
220107,up,51.13,930.53
230107,up,55.04,923.28
240107,up,55.37,927.95
250107,up,54.23,928.7
260107,up,55.42,928.68
290107,up,54.01,924.89
300107,up,56.97,930.85
310107,up,58.14,924.04
010207,up,57.3,926.29
020207,up,59.02,931.34
050207,up,58.74,925.15
060207,up,58.88,916.77
070207,up,57.71,918.91
080207,up,59.71,920.3
090207,up,59.89,922.18
120207,up,57.81,926.23
130207,up,59.06,927.4
140207,up,58.0,927.08
150207,up,57.99,922.6
160207,up,59.39,924.93
190207,up,59.39,924.49
200207,up,58.07,896.01
210207,up,60.07,927.69
220207,up,60.95,894.66
230207,up,61.14,927.28
260207,up,61.39,925.0
270207,up,61.46,927.55
280207,up,61.79,928.6
010307,up,62.0,903.6
020307,up,61.64,903.97
050307,up,60.07,909.89
060307,up,60.69,933.54
070307,up,61.82,933.64
080307,up,61.64,934.63
090307,up,60.05,934.73
120307,up,58.91,932.02
130307,up,57.93,932.29
140307,up,58.16,935.76
150307,up,57.55,929.0
160307,up,57.11,933.65
190307,up,56.59,931.93
200307,up,56.73,927.27
210307,up,59.61,920.48
220307,up,61.69,929.31
230307,up,62.28,927.41
260307,up,62.91,926.83
270307,up,62.93,927.0
280307,up,64.08,930.4
290307,up,66.03,928.52
300307,up,65.87,932.36
020407,up,65.94,925.61
030407,up,64.64,928.99
040407,up,64.38,922.71
050407,up,64.28,921.52
060407,up,64.28,923.58
090407,up,61.51,926.73
100407,up,61.89,922.29
110407,up,62.01,921.04
120407,up,63.85,918.86
130407,up,63.63,918.26
160407,up,63.61,921.68
170407,up,63.1,919.68
180407,up,63.13,916.07
190407,up,61.83,926.26
200407,up,63.38,927.3
230407,up,65.89,925.01
240407,up,64.58,925.17
250407,up,65.84,926.14
260407,up,65.06,927.63
270407,up,66.46,926.16
300407,up,65.71,930.55
010507,up,64.4,891.62
020507,up,63.68,929.83
030507,up,63.19,926.61
040507,up,61.93,926.67
070507,up,61.47,922.47
080507,up,62.26,921.3
090507,up,61.55,924.22
100507,up,61.81,926.06
110507,up,62.37,925.68
140507,up,62.46,923.41
150507,up,63.17,923.76
160507,up,62.55,922.97
170507,up,64.86,890.42
180507,up,64.94,932.75
210507,up,66.27,928.35
220507,up,64.97,929.72
230507,up,65.77,931.41
240507,neutral,64.18,931.41
250507,down,65.2,927.27
280507,up,65.2,912.1
290507,up,63.15,931.41
300507,up,63.49,931.41
310507,up,64.01,931.41
010607,up,65.08,927.51
040607,neutral,66.21,931.41
050607,up,65.61,926.03
060607,up,65.96,931.41
070607,up,66.93,927.84
080607,up,64.76,929.84
110607,up,65.97,931.41
120607,up,65.35,931.41
130607,up,66.26,931.41
140607,up,67.65,931.41
150607,up,68.0,926.43
180607,neutral,69.09,931.41
190607,neutral,69.1,926.01
200607,neutral,68.19,931.41
210607,neutral,68.65,926.64
220607,up,69.14,924.92
250607,up,69.18,931.41
260607,up,67.77,931.41
270607,up,68.97,925.16
280607,up,69.57,931.41
290607,up,70.68,921.56
020707,up,71.09,920.02
030707,up,71.41,917.26
040707,up,71.41,919.17
050707,up,71.81,920.54
060707,up,72.81,918.23
090707,up,72.19,919.83
100707,up,72.81,915.85
110707,up,72.56,918.32
120707,up,72.5,916.33
130707,neutral,73.93,916.3
160707,neutral,74.15,917.61
170707,neutral,74.02,916.78
180707,up,75.05,915.45
190707,up,75.92,915.71
200707,neutral,75.57,914.05
230707,neutral,74.89,915.21
240707,neutral,73.56,912.97
250707,down,75.88,911.91
260707,neutral,74.95,916.01
270707,up,77.02,921.41
300707,down,76.83,920.3
310707,neutral,78.21,920.44
010807,up,76.53,931.41
020807,up,76.86,920.78
030807,up,75.48,921.86
060807,up,72.06,922.09
070807,up,72.42,922.13
080807,up,72.15,923.53
090807,up,71.59,923.47
100807,up,71.47,930.65
130807,up,71.62,929.28
140807,up,72.38,934.34
150807,up,73.33,931.41
160807,up,71.0,943.87
170807,up,71.98,949.41
200807,up,71.12,941.68
210807,up,69.47,944.36
220807,up,69.26,941.98
230807,up,69.83,941.08
240807,up,71.09,939.09
270807,up,71.97,938.05
280807,neutral,71.73,940.29
290807,down,73.51,940.65
300807,down,73.36,939.78
310807,down,74.04,937.1
030907,down,74.04,931.41
040907,down,75.08,937.31
050907,down,75.73,937.89
060907,down,76.3,938.18
070907,neutral,76.7,936.97
100907,neutral,77.49,936.97
110907,neutral,78.23,931.41
120907,up,79.91,931.41
130907,up,80.09,931.41
140907,neutral,79.1,925.46
170907,neutral,80.57,931.41
180907,up,81.51,922.41
190907,neutral,81.93,924.27
200907,neutral,83.32,922.9
210907,down,81.62,919.09
240907,down,80.95,920.59
250907,down,79.53,918.67
260907,down,80.3,919.5
270907,down,82.88,918.31
280907,down,81.66,911.39
011007,down,80.24,912.25
021007,down,80.05,913.48
031007,down,79.94,899.36
041007,down,81.44,915.31
051007,down,81.22,916.6
081007,down,79.02,914.01
091007,down,80.26,916.77
101007,down,81.3,915.93
111007,down,83.08,917.53
121007,down,83.69,915.6
151007,down,86.13,917.11
161007,down,87.61,915.42
171007,down,87.4,916.81
181007,down,89.47,916.52
191007,down,88.6,912.78
221007,down,87.56,913.14
231007,down,85.27,916.25
241007,down,87.1,915.03
251007,down,90.46,913.81
261007,down,91.86,908.17
291007,down,93.53,905.64
301007,down,90.38,904.89
311007,down,94.53,898.69
011107,down,93.49,904.73
021107,down,95.93,908.03
051107,down,93.98,906.51
061107,down,96.7,906.38
071107,down,96.37,907.65
081107,down,95.46,907.16
091107,down,96.32,905.02
121107,down,94.62,911.51
131107,down,91.17,916.03
141107,down,94.09,913.96
151107,down,93.43,915.6
161107,down,95.1,917.67
191107,down,94.64,917.57
201107,down,98.03,918.2
211107,down,97.29,931.41
221107,down,97.29,932.03
231107,down,98.18,931.32
261107,down,97.7,931.32
271107,down,94.42,931.41
281107,down,90.62,931.41
291107,down,91.01,928.18
301107,down,88.71,919.48
031207,down,89.31,931.41
041207,down,88.32,921.14
051207,down,87.49,931.41
061207,down,90.23,919.91
071207,down,88.28,918.54
101207,down,87.86,922.82
111207,down,90.02,925.38
121207,down,94.39,924.64
131207,down,92.25,921.34
141207,down,91.27,928.59
171207,down,90.63,929.69
181207,down,90.49,929.69
191207,down,91.24,935.68
201207,down,91.06,943.18
211207,down,93.31,937.68
241207,down,94.13,921.89
251207,down,94.13,937.09
261207,down,95.97,931.2
271207,down,96.62,938.7
281207,down,96.0,935.07
311207,down,95.98,926.36
010108,down,95.98,941.12
020108,down,99.62,937.12
030108,down,99.18,935.15
040108,down,97.91,939.53
070108,down,95.09,939.27
080108,down,96.33,938.89
090108,down,95.67,936.71
100108,down,93.71,932.77
110108,down,92.69,936.83
140108,neutral,94.2,936.84
150108,neutral,91.9,937.01
160108,neutral,90.84,937.83
170108,neutral,90.13,947.44
180108,neutral,90.57,941.76
210108,neutral,90.57,949.02
220108,up,89.85,950.29
230108,up,86.99,947.98
240108,up,89.41,946.02
250108,up,90.71,945.5
280108,up,90.99,949.17
290108,up,91.64,942.93
300108,up,92.33,940.64
310108,up,91.75,941.22
010208,up,88.96,946.46
040208,up,90.02,942.17
050208,up,88.41,943.06
060208,up,87.14,942.32
070208,up,88.11,941.84
080208,up,91.77,940.57
110208,up,93.59,944.48
120208,up,92.78,945.29
130208,up,93.27,945.52
140208,up,95.46,943.82
150208,up,95.5,943.77
180208,up,95.5,944.36
190208,up,100.01,943.61
200208,up,100.74,941.68
210208,up,98.23,947.31
220208,up,98.81,947.35
250208,up,99.23,945.45
260208,up,100.88,939.41
270208,up,99.64,941.08
280208,up,102.59,934.04
290208,up,101.84,937.84
030308,up,102.45,945.48
040308,up,99.52,946.24
050308,up,104.52,947.55
060308,up,105.47,947.07
070308,up,105.15,955.47
100308,up,107.9,964.74
110308,up,108.75,969.04
120308,up,109.92,967.05
130308,up,110.33,979.5
140308,up,110.21,996.22
170308,up,105.68,987.99
180308,up,109.42,1017.4
190308,up,104.48,1010.3
200308,up,101.84,1008.1
210308,up,101.84,978.14
240308,up,100.86,1008.4
250308,up,101.22,974.92
260308,up,105.9,982.31
270308,neutral,107.58,985.64
280308,neutral,105.62,991.89
310308,neutral,101.58,992.28
010408,neutral,100.98,992.28
020408,down,104.83,970.1
030408,down,103.83,974.53
040408,down,106.23,972.87
070408,down,109.09,974.55
080408,down,108.5,975.75
090408,down,110.87,974.21
100408,down,110.11,975.75
110408,down,110.14,973.29
140408,down,111.76,979.01
150408,down,113.79,986.73
160408,down,114.93,989.6
170408,down,114.86,992.3
180408,down,116.69,1000.2
210408,down,117.48,995.16
220408,down,119.37,997.47
230408,down,118.3,991.32
240408,down,116.06,994.52
250408,down,118.52,995.0
280408,down,118.75,994.99
290408,down,115.63,1004.0
300408,down,113.46,1002.4
010508,down,112.52,1002.4
020508,down,116.32,1008.4
050508,down,119.97,1006.5
060508,down,121.84,1015.4
070508,down,123.53,1028.5
080508,down,123.69,1040.4
090508,down,125.96,1041.1
