Date,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR
2011-03-16,-1551300.0,163463.9,1699.19,43.34,-17.98,43.16,49.44,38.26
2011-03-17,-1245600.0,275684.6,-1119.35,47.24,-17.39,43.91,51.45,38.52
2011-03-18,-954300.0,145173.73,3230.25,50.77,-14.97,43.42,52.74,37.84
2011-03-21,-662000.0,237233.7,1447.02,54.12,-11.13,42.29,59.97,36.87
2011-03-22,-357900.0,170818.01,590.61,57.39,-7.17,40.82,63.32,35.15
2011-03-23,-670500.0,-63650.71,187.95,53.19,-4.11,39.25,57.42,33.82
2011-03-24,-375000.0,289529.37,785.98,56.47,0.3,37.23,55.94,33.18
2011-03-25,-63800.0,101723.12,1282.96,59.7,5.13,34.58,64.01,32.49
2011-03-28,221600.0,158912.28,53.02,62.45,9.04,32.12,62.04,31.3
2011-03-29,472100.0,250500.0,805.49,64.74,13.26,30.22,63.58,30.64
2011-03-30,789000.0,101396.07,2138.06,67.48,17.95,29.29,71.16,30.46
2011-03-31,1106900.0,316455.22,593.06,70.0,22.64,28.6,80.39,29.54
2011-04-01,1444800.0,337547.49,766.4,72.47,27.2,28.33,80.28,28.8
2011-04-04,1143000.0,33226.37,233.79,67.16,30.05,28.2,96.77,28.29
2011-04-05,1470700.0,327700.0,306.19,69.76,33.1,28.22,96.44,27.89
2011-04-06,1047700.0,-64353.23,348.72,62.83,34.82,28.39,94.51,27.09
2011-04-07,664900.0,-47319.74,-274.25,57.29,35.41,28.13,91.27,26.88
2011-04-08,1057700.0,28219.46,163.24,61.09,35.93,27.9,90.34,26.19
2011-04-11,741600.0,-104718.27,-107.01,56.73,35.48,27.53,86.31,25.71
2011-04-12,430500.0,-295185.73,-2079.73,52.78,32.09,25.84,71.31,26.28
2011-04-13,778600.0,347925.56,-113.04,56.45,31.67,24.01,72.51,27.26
2011-04-14,1150300.0,371463.32,1978.86,60.05,32.5,23.05,72.78,27.56
2011-04-15,793600.0,258896.12,420.28,55.31,32.74,22.22,72.22,26.74
2011-04-18,435300.0,-33941.29,244.32,50.95,32.33,21.71,68.6,26.36
2011-04-19,60300.0,-47192.37,-977.49,46.82,30.44,20.43,59.1,26.34
2011-04-20,434600.0,373578.1,2503.75,51.15,32.38,20.45,65.49,27.84
2011-04-21,850600.0,32872.73,2882.39,55.55,35.82,21.56,67.76,28.81
2011-04-22,459800.0,-74796.49,89.07,50.91,38.04,22.58,69.16,27.98
2011-04-25,813800.0,276042.31,488.85,54.63,40.81,23.77,69.67,27.43
2011-04-26,374500.0,-114421.61,58.14,49.61,41.73,24.98,67.81,27.31
2011-04-27,797700.0,-105561.57,185.97,54.0,42.01,26.31,69.28,28.19
2011-04-28,1152600.0,-31847.58,-166.6,57.35,41.88,27.54,68.68,28.41
2011-04-29,788500.0,-110448.75,-1268.57,53.1,40.03,27.72,65.51,29.36
2011-05-02,1091000.0,299491.73,1497.1,56.05,41.04,28.16,80.45,29.89
2011-05-03,715900.0,-137998.95,-844.15,51.73,39.12,27.76,67.53,30.67
2011-05-04,322200.0,-188281.03,-1492.01,47.63,35.56,26.63,58.76,30.52
2011-05-06,-22000.0,62086.46,-2790.97,44.37,29.72,25.42,51.34,31.67
2011-05-09,-275900.0,-202201.19,386.24,42.09,24.14,24.09,50.27,31.22
2011-05-11,102100.0,378000.0,374.4,46.53,21.69,22.66,57.95,30.95
2011-05-12,-280200.0,-380880.13,-1387.29,42.98,16.01,22.12,41.35,31.88
2011-05-13,-677300.0,32430.1,-1364.28,39.63,11.18,22.22,34.12,31.85
2011-05-16,-950900.0,-61254.17,-832.44,37.47,5.99,22.48,32.14,31.22
2011-05-17,-1251700.0,16673.34,-274.91,35.2,1.72,22.86,26.89,30.35
2011-05-18,-991700.0,212684.41,2570.51,38.69,1.02,21.95,36.92,30.78
2011-05-19,-1275100.0,-251044.27,-816.48,36.41,-2.76,21.55,32.03,32.21
2011-05-20,-992300.0,263296.89,-1983.77,40.19,-4.41,21.45,35.04,31.94
2011-05-23,-1285300.0,-293000.0,-3083.02,37.73,-10.1,22.14,31.2,33.64
2011-05-24,-1016800.0,52631.7,-1520.37,41.26,-13.97,22.96,24.89,32.82
2011-05-25,-1361800.0,-275383.84,-476.36,38.27,-18.9,24.15,25.07,34.15
2011-05-26,-1065100.0,258453.78,2427.02,42.21,-18.08,24.64,37.9,35.88
2011-05-27,-792300.0,40521.72,2190.72,45.68,-16.56,24.3,43.09,35.19
2011-05-30,-1005500.0,-100353.2,376.17,43.48,-15.7,23.78,43.32,34.84
2011-05-31,-702200.0,243769.05,3460.08,47.41,-10.97,22.09,46.65,36.14
2011-06-01,-996900.0,-45742.95,1235.86,44.18,-7.22,20.75,52.94,34.99
2011-06-02,-1245700.0,57822.43,-4290.48,41.64,-6.37,20.31,49.14,35.88
2011-06-03,-1509800.0,-156546.25,873.74,39.06,-5.69,19.7,51.42,34.97
2011-06-07,-1756400.0,20718.31,-1345.64,36.79,-6.19,19.65,49.6,34.06
2011-06-08,-2037800.0,-78076.95,-1448.96,34.35,-7.81,20.19,41.87,34.51
2011-06-09,-2321500.0,-181123.34,-804.45,32.06,-9.95,20.71,45.91,33.56
2011-06-10,-2587400.0,-250283.92,-1576.95,30.04,-13.48,21.74,39.3,34.64
2011-06-13,-2368900.0,97691.79,-4138.25,33.69,-15.93,23.11,48.6,34.47
2011-06-14,-2159400.0,154857.46,3954.65,37.12,-15.43,23.3,52.78,34.98
2011-06-15,-1930200.0,150932.62,1877.83,40.75,-14.09,23.12,59.93,34.35
2011-06-16,-2164400.0,-179977.08,-2279.97,38.35,-16.06,23.48,40.53,34.95
2011-06-17,-2446900.0,-20691.63,-3922.02,35.64,-18.59,24.54,36.08,36.01
2011-06-20,-2676100.0,-196213.68,-185.31,33.58,-21.34,25.53,35.24,35.55
2011-06-21,-2397500.0,230970.31,152.8,38.28,-20.98,26.26,29.59,35.54
2011-06-22,-2133700.0,-105176.22,1910.95,42.49,-19.2,25.93,34.24,34.87
2011-06-23,-2393300.0,-19966.35,-677.04,39.64,-18.23,25.92,37.12,33.59
2011-06-24,-2099200.0,293893.85,1945.12,44.26,-14.48,24.89,45.66,33.69
2011-06-27,-2345700.0,69671.79,-667.15,41.42,-13.01,24.04,44.5,33.6
2011-06-28,-2674300.0,-328600.0,1550.06,37.91,-12.29,22.43,46.05,33.84
2011-06-29,-2418200.0,121512.86,599.46,42.06,-9.08,20.94,54.13,34.0
2011-06-30,-2160900.0,86241.37,444.31,45.98,-5.96,19.57,60.4,32.6
2011-07-01,-1887500.0,57089.88,1419.77,49.91,-1.45,19.17,63.62,32.48
2011-07-04,-1597000.0,-119947.42,913.37,53.79,3.66,19.41,62.49,32.13
2011-07-05,-1312100.0,232148.98,429.06,57.3,8.93,19.89,63.39,31.13
2011-07-06,-1036200.0,275900.0,496.66,60.45,13.72,20.54,74.87,30.04
2011-07-07,-680600.0,199278.13,655.86,64.14,18.06,21.48,80.33,29.3
2011-07-08,-1003600.0,-104239.92,487.82,58.77,21.23,22.55,84.48,28.56
2011-07-11,-1244300.0,-109030.6,-1763.99,55.1,21.63,22.49,73.93,28.55
2011-07-12,-1530700.0,-251277.72,-3963.26,51.09,17.91,20.96,58.83,30.03
2011-07-13,-1224600.0,306100.0,-275.4,54.88,16.38,19.54,63.6,29.46
2011-07-14,-917200.0,307152.26,-78.78,58.36,15.03,18.31,58.29,29.13
2011-07-15,-645100.0,272100.0,1341.29,61.23,15.01,17.37,66.19,28.63
2011-07-18,-974100.0,-125122.45,150.21,56.19,13.65,16.67,64.15,28.6
