"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","1,559.71","1,544.03","1,564.81","1,544.03","10.32M","1.91%"
"2023- 06- 29","1,530.52","1,541.91","1,547.68","1,530.52","8.00M","-1.25%"
"2023- 06- 28","1,549.88","1,545.56","1,553.58","1,537.65","8.89M","0.32%"
"2023- 06- 27","1,544.96","1,517.41","1,545.24","1,514.82","9.23M","1.93%"
"2023- 06- 26","1,515.64","1,501.58","1,519.78","1,496.15","8.29M","1.13%"
"2023- 06- 23","1,498.65","1,518.82","1,518.82","1,498.65","7.59M","-1.39%"
"2023- 06- 22","1,519.77","1,522.07","1,523.82","1,509.05","6.51M","-0.42%"
"2023- 06- 21","1,526.20","1,499.57","1,528.73","1,491.45","10.68M","1.57%"
"2023- 06- 20","1,502.68","1,510.34","1,516.91","1,498.67","7.99M","-0.69%"
"2023- 06- 19","1,513.14","1,506.69","1,513.30","1,503.21","6.37M","0.21%"
"2023- 06- 16","1,510.03","1,522.24","1,523.79","1,504.62","8.66M","-0.10%"
"2023- 06- 15","1,511.51","1,524.26","1,529.24","1,509.40","7.85M","-0.46%"
"2023- 06- 14","1,518.55","1,516.87","1,526.73","1,513.21","8.21M","0.21%"
"2023- 06- 13","1,515.35","1,513.78","1,520.69","1,509.85","8.98M","0.28%"
"2023- 06- 12","1,511.05","1,524.50","1,526.49","1,504.18","8.87M","-0.75%"
"2023- 06- 09","1,522.53","1,516.77","1,525.98","1,511.74","12.09M","0.87%"
"2023- 06- 08","1,509.42","1,511.17","1,516.44","1,500.81","11.55M","-0.19%"
"2023- 06- 07","1,512.34","1,557.49","1,559.66","1,508.28","12.12M","-2.37%"
"2023- 06- 05","1,549.08","1,541.96","1,551.94","1,539.34","6.88M","1.12%"
"2023- 06- 02","1,531.97","1,526.77","1,533.33","1,517.08","7.34M","0.94%"
"2023- 06- 01","1,517.71","1,532.29","1,537.39","1,516.10","7.92M","-1.01%"
"2023- 05- 31","1,533.14","1,542.44","1,558.13","1,532.35","13.27M","-0.44%"
"2023- 05- 30","1,539.90","1,567.24","1,567.63","1,537.68","8.56M","-1.40%"
"2023- 05- 26","1,561.84","1,555.09","1,563.31","1,544.51","7.32M","0.14%"
"2023- 05- 25","1,559.58","1,574.91","1,579.74","1,558.97","8.65M","-1.71%"
"2023- 05- 24","1,586.67","1,579.35","1,589.41","1,575.06","8.61M","-0.01%"
"2023- 05- 23","1,586.87","1,595.16","1,597.61","1,583.45","7.28M","-0.04%"
"2023- 05- 22","1,587.48","1,582.31","1,594.92","1,572.69","7.70M","0.52%"
"2023- 05- 19","1,579.33","1,581.36","1,589.82","1,571.28","10.37M","-0.46%"
"2023- 05- 18","1,586.67","1,575.04","1,587.45","1,570.65","13.52M","1.39%"
"2023- 05- 17","1,564.93","1,549.90","1,567.57","1,549.61","12.66M","1.11%"
"2023- 05- 16","1,547.71","1,569.96","1,573.67","1,540.24","15.18M","-2.15%"
"2023- 05- 15","1,581.64","1,573.55","1,583.55","1,558.82","13.83M","0.49%"
"2023- 05- 12","1,573.91","1,582.89","1,583.44","1,568.64","11.05M","-0.80%"
"2023- 05- 11","1,586.55","1,593.70","1,600.61","1,580.29","10.96M","0.04%"
"2023- 05- 10","1,585.96","1,561.07","1,593.18","1,559.20","12.54M","1.54%"
"2023- 05- 09","1,561.93","1,548.85","1,564.19","1,537.30","7.64M","0.54%"
"2023- 05- 08","1,553.60","1,542.96","1,558.67","1,541.23","8.95M","1.26%"
"2023- 05- 04","1,534.25","1,539.24","1,539.24","1,527.23","6.78M","-0.60%"
"2023- 05- 03","1,543.57","1,548.27","1,558.26","1,537.39","7.40M","-0.84%"
"2023- 05- 02","1,556.65","1,527.62","1,557.70","1,525.77","9.78M","2.41%"
"2023- 04- 28","1,519.95","1,534.74","1,536.67","1,514.68","9.24M","-0.92%"
"2023- 04- 27","1,534.02","1,532.74","1,552.66","1,525.67","9.42M","-0.07%"
"2023- 04- 26","1,535.13","1,573.12","1,581.29","1,533.26","13.48M","-1.66%"
"2023- 04- 25","1,561.09","1,543.36","1,564.03","1,523.00","12.33M","1.52%"
"2023- 04- 24","1,537.65","1,529.43","1,541.61","1,525.12","9.58M","0.88%"
"2023- 04- 21","1,524.17","1,528.62","1,533.38","1,508.51","12.22M","-1.17%"
"2023- 04- 20","1,542.25","1,548.81","1,554.66","1,535.44","9.46M","-0.76%"
"2023- 04- 19","1,554.13","1,537.69","1,558.96","1,533.65","9.77M","1.29%"
"2023- 04- 18","1,534.40","1,536.13","1,536.60","1,508.97","13.68M","-0.86%"
"2023- 04- 17","1,547.71","1,556.94","1,557.82","1,540.72","9.51M","-0.71%"
"2023- 04- 14","1,558.84","1,570.39","1,574.62","1,555.23","10.57M","-0.49%"
"2023- 04- 13","1,566.47","1,556.44","1,566.47","1,546.02","13.44M","0.14%"
"2023- 04- 12","1,564.35","1,546.36","1,568.37","1,544.86","21.20M","2.38%"
"2023- 04- 11","1,527.93","1,480.26","1,530.19","1,477.02","19.86M","3.42%"
"2023- 04- 10","1,477.44","1,475.21","1,488.18","1,465.68","13.06M","0.16%"
"2023- 04- 07","1,475.04","1,483.69","1,483.69","1,472.35","8.30M","-0.48%"
"2023- 04- 06","1,482.20","1,502.00","1,507.42","1,480.65","12.84M","-1.10%"
"2023- 04- 05","1,498.73","1,491.30","1,502.05","1,487.06","9.75M","0.87%"
"2023- 04- 04","1,485.76","1,488.43","1,497.57","1,481.42","9.88M","-0.13%"
"2023- 04- 03","1,487.66","1,495.50","1,501.60","1,484.23","9.17M","-0.46%"
"2023- 03- 31","1,494.50","1,481.94","1,497.24","1,479.72","9.91M","1.52%"
"2023- 03- 30","1,472.06","1,461.83","1,479.48","1,456.95","9.96M","0.06%"
"2023- 03- 29","1,471.23","1,451.15","1,472.20","1,450.83","9.42M","1.70%"
"2023- 03- 28","1,446.64","1,438.92","1,446.64","1,434.23","6.59M","0.89%"
"2023- 03- 27","1,433.84","1,437.65","1,437.86","1,421.43","7.95M","-0.29%"
"2023- 03- 24","1,437.96","1,446.64","1,451.22","1,427.26","7.52M","-1.33%"
"2023- 03- 23","1,457.29","1,446.71","1,465.89","1,443.10","9.96M","-0.02%"
"2023- 03- 22","1,457.59","1,456.14","1,458.18","1,445.88","8.89M","0.81%"
"2023- 03- 21","1,445.92","1,449.40","1,454.67","1,439.18","7.02M","0.60%"
"2023- 03- 20","1,437.28","1,457.67","1,459.21","1,436.66","7.46M","-1.33%"
