"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","1,490.35","1,480.08","1,494.67","1,469.48","7.99M","1.24%"
"2023- 06- 29","1,472.14","1,495.18","1,504.46","1,472.14","9.95M","-1.54%"
"2023- 06- 28","1,495.19","1,548.44","1,549.90","1,494.83","11.28M","-2.90%"
"2023- 06- 27","1,539.77","1,544.97","1,552.94","1,534.67","9.15M","-0.55%"
"2023- 06- 26","1,548.29","1,555.95","1,556.35","1,541.02","9.01M","-1.75%"
"2023- 06- 23","1,575.81","1,607.28","1,609.84","1,571.28","9.77M","-1.60%"
"2023- 06- 22","1,601.41","1,591.95","1,606.68","1,583.96","10.62M","0.50%"
"2023- 06- 21","1,593.45","1,616.83","1,617.50","1,591.97","8.04M","-1.54%"
"2023- 06- 20","1,618.33","1,628.98","1,634.26","1,615.09","9.52M","-0.51%"
"2023- 06- 19","1,626.66","1,612.17","1,628.87","1,602.69","7.87M","1.00%"
"2023- 06- 16","1,610.61","1,610.62","1,619.43","1,604.56","9.43M","0.61%"
"2023- 06- 15","1,600.78","1,618.39","1,626.56","1,590.33","13.02M","-0.75%"
"2023- 06- 14","1,612.95","1,632.96","1,648.02","1,609.24","16.65M","-1.04%"
"2023- 06- 13","1,629.86","1,649.82","1,649.82","1,627.59","9.24M","-0.82%"
"2023- 06- 12","1,643.34","1,656.37","1,662.63","1,639.02","10.53M","-0.29%"
"2023- 06- 09","1,648.07","1,644.62","1,653.80","1,634.92","12.07M","0.65%"
"2023- 06- 08","1,637.44","1,643.29","1,654.23","1,628.36","8.15M","-0.61%"
"2023- 06- 07","1,647.55","1,624.20","1,653.90","1,623.62","6.37M","1.85%"
"2023- 06- 05","1,617.70","1,615.77","1,624.35","1,610.40","5.88M","1.00%"
"2023- 06- 02","1,601.73","1,564.85","1,602.14","1,560.28","9.03M","2.97%"
"2023- 06- 01","1,555.55","1,560.85","1,572.16","1,554.16","5.56M","0.16%"
"2023- 05- 31","1,553.06","1,566.85","1,577.28","1,553.06","10.49M","-1.26%"
"2023- 05- 30","1,572.94","1,574.06","1,582.68","1,564.60","10.02M","0.78%"
"2023- 05- 26","1,560.74","1,571.67","1,574.60","1,552.46","4.32M","-0.75%"
"2023- 05- 25","1,572.58","1,580.49","1,588.95","1,571.77","4.98M","-0.82%"
"2023- 05- 24","1,585.54","1,580.01","1,590.97","1,576.31","3.93M","0.03%"
"2023- 05- 23","1,585.11","1,576.83","1,601.75","1,576.83","5.61M","0.93%"
"2023- 05- 22","1,570.43","1,552.99","1,573.71","1,548.94","5.68M","1.25%"
"2023- 05- 19","1,551.06","1,565.33","1,566.42","1,548.11","5.41M","-0.81%"
"2023- 05- 18","1,563.77","1,562.59","1,566.58","1,550.10","3.81M","0.59%"
"2023- 05- 17","1,554.64","1,527.10","1,557.86","1,523.42","4.48M","1.40%"
"2023- 05- 16","1,533.23","1,535.46","1,546.72","1,529.14","3.90M","0.01%"
"2023- 05- 15","1,533.05","1,530.10","1,534.79","1,518.34","6.66M","0.30%"
"2023- 05- 12","1,528.51","1,541.97","1,543.71","1,526.62","4.99M","-0.82%"
"2023- 05- 11","1,541.09","1,549.62","1,563.23","1,541.09","5.72M","-0.33%"
"2023- 05- 10","1,546.24","1,561.26","1,567.66","1,541.01","4.79M","-1.47%"
"2023- 05- 09","1,569.34","1,576.50","1,584.76","1,553.46","5.21M","-0.25%"
"2023- 05- 08","1,573.20","1,573.65","1,592.12","1,570.55","6.04M","0.66%"
