"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","359.82","354.91","360.98","353.54","23.56M","1.89%"
"2023- 06- 29","353.14","354.09","358.46","352.58","14.95M","-0.41%"
"2023- 06- 28","354.61","362.18","362.36","354.24","17.05M","-1.53%"
"2023- 06- 27","360.12","355.84","361.26","352.51","17.69M","1.15%"
"2023- 06- 26","356.03","356.98","360.38","353.77","21.61M","-0.34%"
"2023- 06- 23","357.26","360.44","363.22","356.19","21.92M","-1.49%"
"2023- 06- 22","362.65","367.96","368.10","360.66","29.75M","-1.65%"
"2023- 06- 21","368.72","368.58","374.10","366.29","38.63M","-0.44%"
"2023- 06- 20","370.35","364.82","373.49","364.73","50.88M","1.74%"
"2023- 06- 19","364.03","361.21","365.49","360.78","31.16M","1.05%"
"2023- 06- 16","360.25","350.99","361.58","349.76","37.02M","3.17%"
"2023- 06- 15","349.19","347.77","349.92","345.67","25.15M","0.71%"
"2023- 06- 14","346.74","344.86","349.82","343.98","24.74M","0.82%"
"2023- 06- 13","343.91","345.85","347.64","343.63","25.97M","-0.42%"
"2023- 06- 12","345.37","346.64","348.52","341.02","27.07M","0.11%"
"2023- 06- 09","344.99","343.52","346.15","340.21","33.66M","0.67%"
"2023- 06- 08","342.69","339.51","345.08","339.20","32.73M","1.00%"
"2023- 06- 07","339.30","338.38","339.91","336.27","21.90M","0.63%"
"2023- 06- 05","337.16","326.41","337.40","326.36","40.74M","4.43%"
"2023- 06- 02","322.86","318.10","322.98","317.49","13.88M","2.07%"
"2023- 06- 01","316.32","317.65","321.20","315.12","12.41M","0.04%"
"2023- 05- 31","316.18","318.99","320.03","315.74","14.32M","-0.99%"
"2023- 05- 30","319.34","320.05","323.14","316.69","17.32M","0.67%"
"2023- 05- 26","317.22","319.29","320.58","314.86","15.10M","-1.14%"
"2023- 05- 25","320.87","321.87","325.37","319.41","14.79M","-0.87%"
"2023- 05- 24","323.69","317.91","326.67","317.31","28.34M","1.08%"
"2023- 05- 23","320.22","320.84","321.54","318.50","18.93M","0.28%"
"2023- 05- 22","319.34","308.42","319.97","308.34","28.80M","4.02%"
"2023- 05- 19","307.01","304.34","307.29","303.19","13.55M","1.12%"
"2023- 05- 18","303.60","300.25","303.69","299.10","11.61M","1.62%"
"2023- 05- 17","298.77","301.88","304.20","298.22","16.08M","-1.25%"
"2023- 05- 16","302.54","302.81","304.08","300.62","15.39M","0.44%"
"2023- 05- 15","301.20","297.65","304.98","297.08","12.08M","1.10%"
"2023- 05- 12","297.93","303.97","304.07","297.24","13.39M","-2.27%"
"2023- 05- 11","304.86","303.06","306.97","302.85","14.24M","1.50%"
"2023- 05- 10","300.36","303.59","305.26","299.60","14.66M","-1.21%"
"2023- 05- 09","304.03","299.58","306.49","299.22","18.98M","1.79%"
"2023- 05- 08","298.67","299.81","302.39","297.59","15.26M","0.29%"
"2023- 05- 04","297.81","297.40","301.71","297.01","23.16M","0.29%"
"2023- 05- 03","296.96","298.57","304.01","296.53","22.35M","-1.27%"
"2023- 05- 02","300.79","302.43","303.05","297.76","27.06M","-0.92%"
"2023- 04- 28","303.57","306.30","310.66","301.51","39.11M","-0.32%"
"2023- 04- 27","304.53","304.24","306.34","300.12","31.39M","-0.18%"
"2023- 04- 26","305.09","308.72","310.37","305.06","35.54M","-2.11%"
"2023- 04- 25","311.66","313.28","317.55","309.84","40.48M","-0.02%"
"2023- 04- 24","311.73","312.81","316.97","310.25","33.76M","0.35%"
"2023- 04- 21","310.63","309.82","311.85","303.19","40.64M","0.02%"
"2023- 04- 20","310.56","306.66","313.21","306.11","49.11M","1.09%"
"2023- 04- 19","307.21","302.77","310.55","302.60","24.44M","0.99%"
"2023- 04- 18","304.20","306.65","308.27","301.84","24.18M","-0.98%"
"2023- 04- 17","307.20","301.07","308.62","300.49","40.54M","2.43%"
"2023- 04- 14","299.92","296.31","302.11","293.09","30.31M","1.84%"
"2023- 04- 13","294.51","290.15","294.78","287.14","31.58M","1.34%"
"2023- 04- 12","290.61","281.24","291.25","281.12","50.29M","3.78%"
"2023- 04- 11","280.02","278.06","281.55","275.31","14.20M","0.69%"
"2023- 04- 10","278.11","278.38","280.06","274.09","14.38M","-0.35%"
"2023- 04- 07","279.08","280.88","281.40","278.50","12.68M","-0.71%"
"2023- 04- 06","281.08","284.07","286.60","280.79","17.66M","-1.03%"
"2023- 04- 05","284.01","286.60","287.08","281.18","22.01M","-1.15%"
"2023- 04- 04","287.32","281.52","287.90","281.10","23.03M","2.58%"
"2023- 04- 03","280.10","280.92","282.49","278.25","16.74M","0.24%"
"2023- 03- 31","279.42","276.01","280.50","275.41","22.43M","1.91%"
"2023- 03- 30","274.17","272.41","275.86","269.37","15.41M","0.65%"
"2023- 03- 29","272.40","272.54","274.26","268.61","16.75M","0.38%"
"2023- 03- 28","271.38","264.64","272.33","264.62","15.19M","2.92%"
"2023- 03- 27","263.68","266.24","266.33","261.01","13.25M","-0.83%"
"2023- 03- 24","265.89","264.94","268.20","264.10","14.08M","0.15%"
"2023- 03- 23","265.49","267.21","268.28","264.64","14.16M","-1.29%"
"2023- 03- 22","268.96","274.62","274.69","268.42","13.19M","-1.14%"
"2023- 03- 21","272.05","271.05","272.95","269.48","12.78M","1.29%"
"2023- 03- 20","268.58","268.63","274.92","267.93","14.09M","0.16%"
"2023- 03- 17","268.16","271.49","271.62","267.29","13.97M","-0.23%"
"2023- 03- 16","268.77","269.73","270.47","265.86","17.21M","-1.38%"
"2023- 03- 15","272.54","268.51","273.30","267.58","18.83M","3.42%"
"2023- 03- 14","263.52","271.47","272.35","263.42","19.44M","-3.82%"
"2023- 03- 13","273.99","272.39","274.31","266.51","17.69M","0.06%"
"2023- 03- 10","273.82","275.71","278.68","273.49","19.75M","-1.70%"
"2023- 03- 09","278.56","278.06","281.91","277.49","37.87M","0.76%"
"2023- 03- 08","276.45","275.51","278.18","274.96","29.88M","-0.98%"
"2023- 03- 07","279.20","280.30","281.86","278.29","14.25M","-0.30%"
"2023- 03- 06","280.05","280.95","281.66","278.15","18.07M","0.02%"
"2023- 03- 03","279.98","283.94","284.14","277.87","16.30M","-1.10%"
"2023- 03- 02","283.10","278.80","284.53","278.63","17.87M","1.85%"
"2023- 02- 28","277.95","282.53","283.31","277.49","15.29M","-1.08%"
"2023- 02- 27","280.98","282.99","283.16","279.54","14.14M","-1.46%"
"2023- 02- 24","285.13","285.08","288.23","283.92","13.25M","0.01%"
"2023- 02- 23","285.09","287.24","287.54","281.98","19.65M","-0.28%"
"2023- 02- 22","285.90","282.89","287.20","282.62","16.03M","-0.20%"
"2023- 02- 21","286.46","281.77","287.30","280.57","17.34M","2.12%"
"2023- 02- 20","280.52","281.74","282.25","278.36","13.04M","-0.33%"
"2023- 02- 17","281.46","277.43","282.66","277.19","21.67M","0.58%"
"2023- 02- 16","279.84","279.01","280.93","278.54","13.41M","0.89%"
