"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","767.89","764.25","770.98","759.21","4.58M","0.74%"
"2023- 06- 29","762.22","769.83","774.01","762.22","5.16M","-1.74%"
"2023- 06- 28","775.75","784.85","786.13","774.73","3.63M","-0.93%"
"2023- 06- 27","783.01","777.04","786.04","776.56","7.63M","0.58%"
"2023- 06- 26","778.48","770.07","779.22","762.31","3.67M","1.27%"
"2023- 06- 23","768.73","777.09","778.13","768.18","4.12M","-1.36%"
"2023- 06- 22","779.36","781.05","781.44","776.91","3.23M","-0.11%"
"2023- 06- 21","780.19","788.60","788.60","778.38","5.03M","-0.87%"
"2023- 06- 20","787.04","792.72","798.36","785.63","3.90M","-0.38%"
"2023- 06- 19","790.01","798.24","798.79","787.52","4.24M","-1.06%"
"2023- 06- 16","798.51","795.93","802.99","795.13","5.42M","0.97%"
"2023- 06- 15","790.80","792.62","799.31","789.71","4.65M","0.04%"
"2023- 06- 14","790.45","797.28","797.73","789.15","5.29M","-1.11%"
"2023- 06- 13","799.31","803.68","805.09","797.68","4.04M","-0.24%"
"2023- 06- 12","801.24","810.45","810.45","798.77","4.14M","-1.12%"
"2023- 06- 09","810.35","812.64","820.36","808.96","4.78M","0.14%"
"2023- 06- 08","809.18","815.29","816.76","807.38","5.53M","-0.49%"
"2023- 06- 07","813.15","817.58","821.55","812.94","4.23M","-0.07%"
"2023- 06- 05","813.74","810.62","815.96","809.93","3.57M","0.79%"
"2023- 06- 02","807.40","807.07","808.06","803.52","3.73M","0.18%"
"2023- 06- 01","805.92","807.42","810.22","804.43","5.96M","0.13%"
"2023- 05- 31","804.84","804.05","811.97","803.68","8.92M","-0.03%"
"2023- 05- 30","805.08","817.88","817.97","804.90","4.26M","-1.33%"
"2023- 05- 26","815.92","816.07","817.79","812.68","2.81M","-0.30%"
"2023- 05- 25","818.37","820.64","824.86","817.97","3.43M","-0.87%"
"2023- 05- 24","825.57","826.81","829.48","823.56","3.36M","-0.35%"
"2023- 05- 23","828.46","827.87","830.99","825.32","3.40M","0.22%"
"2023- 05- 22","826.62","822.04","829.74","820.14","3.83M","0.66%"
"2023- 05- 19","821.17","819.79","823.49","818.07","3.79M","0.27%"
