"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","861.73","856.39","863.01","852.33","1.35M","1.09%"
"2023- 06- 29","852.40","861.52","869.25","852.40","1.98M","-1.24%"
"2023- 06- 28","863.07","881.04","881.81","862.83","2.15M","-1.63%"
"2023- 06- 27","877.36","875.60","881.04","869.49","2.17M","0.28%"
"2023- 06- 26","874.93","869.63","883.36","867.48","2.71M","1.04%"
"2023- 06- 23","865.94","882.25","884.06","864.20","2.51M","-1.85%"
"2023- 06- 22","882.30","872.88","886.20","868.52","2.18M","0.85%"
"2023- 06- 21","874.87","885.70","886.80","873.18","2.19M","-1.35%"
"2023- 06- 20","886.84","890.97","896.64","884.22","20.33M","-0.39%"
"2023- 06- 19","890.30","877.17","891.39","874.88","4.24M","1.61%"
"2023- 06- 16","876.22","874.84","879.79","872.49","4.89M","0.89%"
"2023- 06- 15","868.46","882.78","885.10","866.60","2.89M","-1.25%"
"2023- 06- 14","879.45","872.46","900.58","871.77","4.62M","1.54%"
"2023- 06- 13","866.13","873.33","873.33","864.32","1.82M","-0.49%"
"2023- 06- 12","870.42","876.69","878.76","869.20","1.59M","-0.36%"
"2023- 06- 09","873.54","875.43","877.06","869.55","2.32M","0.39%"
"2023- 06- 08","870.18","865.45","876.76","864.86","2.58M","0.51%"
"2023- 06- 07","865.77","870.05","872.74","864.97","1.93M","-0.12%"
"2023- 06- 05","866.85","860.08","869.23","858.88","2.59M","1.70%"
"2023- 06- 02","852.36","837.15","853.30","833.76","1.96M","2.32%"
"2023- 06- 01","833.00","833.49","836.39","827.13","2.36M","0.13%"
"2023- 05- 31","831.95","837.73","842.48","830.84","2.83M","-0.55%"
"2023- 05- 30","836.59","842.39","844.42","834.71","1.81M","-0.20%"
"2023- 05- 26","838.25","849.63","850.49","834.09","4.32M","-1.38%"
"2023- 05- 25","850.02","856.29","859.42","847.92","2.35M","-1.55%"
"2023- 05- 24","863.44","863.83","868.07","860.57","2.18M","-0.64%"
"2023- 05- 23","868.97","870.26","876.04","867.21","2.26M","0.21%"
"2023- 05- 22","867.12","856.83","868.96","853.69","1.78M","1.05%"
"2023- 05- 19","858.11","862.98","864.35","853.62","2.08M","-0.42%"
"2023- 05- 18","861.77","854.79","862.74","852.84","2.61M","1.49%"
"2023- 05- 17","849.16","853.93","853.93","845.39","2.07M","-0.85%"
"2023- 05- 16","856.41","862.72","865.86","852.48","2.14M","-0.59%"
"2023- 05- 15","861.50","856.12","862.05","848.30","2.43M","0.26%"
"2023- 05- 12","859.28","870.31","870.31","856.46","3.16M","-1.32%"
"2023- 05- 11","870.78","872.13","882.80","870.64","2.61M","0.42%"
"2023- 05- 10","867.16","877.87","886.25","864.02","2.98M","-1.77%"
"2023- 05- 09","882.77","883.00","886.95","870.53","2.93M","-0.21%"
"2023- 05- 08","884.64","894.18","896.99","882.77","3.29M","-0.25%"
"2023- 05- 04","886.82","890.11","894.97","879.16","3.27M","-0.87%"
"2023- 05- 03","894.64","907.54","910.59","892.49","3.50M","-1.95%"
"2023- 05- 02","912.39","896.45","913.67","896.33","6.15M","2.41%"
"2023- 04- 28","890.94","919.80","920.25","889.04","12.31M","-2.50%"
"2023- 04- 27","913.76","899.69","916.21","886.07","8.10M","1.87%"
"2023- 04- 26","897.01","909.90","909.98","878.98","5.81M","-1.79%"
"2023- 04- 25","913.35","938.11","938.32","903.35","7.20M","-2.27%"
